,text,text_count
158,"Arthur van Amerongen 13 juli 2015, 2:00 Het is nu zo heet dat mijn gekko's smelten.  Op de radio waarschuwt het Instituto Portugues do Mar e da Atmosfera voor bosbranden",1
163,De tolerantie ontmaskerd Tegelijk met de WTC-torens lijkt de mythe van de Nederlandse tolerantie te zijn ingestort.  Onderhuids heeft altijd wantrouwen gesluimerd jegens moslims,1
168,"Jan Pieter Ekker 15 april 2004, 0:00 Toen Jan Decleir vorig jaar op het Nederlands Film Festival een Gouden Kalf voor zijn gehele oeuvre kreeg, sprak hij de hoop uit dat het eerbetoon geen fin de carrière zou betekenen.  Het was misplaatste angst; Decleir, van 14 februari 1946, speelde sindsdien alweer een groot aantal memorabele rollen",1
173,"Fractievoorzitter Sybrand Buma op een CDA-congres in Nijmegen.  © ANP Door: Robert Giebels 4 november 2017, 17:24 ",1
178,Interview Rachid Guernaoui In Marokko is Rachid Guernaoui analfabeet: ‘Ik zou niet eens weten hoe ik een buskaartje moet kopen’ Rachid Gernaoui Beeld Casper Kofi Als kind kon Haagse wethouder Rachid Guernaoui (46) moeilijk aansluiting vinden bij de Nederlandse cultuur.  Nu voelt hij zich Hollander,1
184,"Vijf korhoenders uitgezet in Salland, 'meer zullen volgen' Op de Sallandse Heuvelrug lopen sinds vanavond vijf wilde, Zweedse korhoenders rond.  De uitgezette vogels moeten voorkomen dat de Nederlandse populatie uitsterft",1
188,"Eurofondsen zijn laagrenderende vluchtheuvel De onrust op de valutamarkten houdt ook de Nederlandse fondsbelegger flink bezig.  Een groot deel van de gangbare beleggingsfondsen belegt namelijk in Amerikaanse aandelen, obligaties of andere waardepapieren",1
193,Hackers foppen Samsung opnieuw: Galaxy S8 kan worden ontgrendeld met geprinte iris Na de gezichtsherkenning van de Galaxy S8 blijken hackers nu ook de irisscanner te kunnen foppen via een printje.  Beide ontgrendelingsmethodes zijn doorgevoerd op het nieuwste toestel van Samsung,1
203,"Huiver voor DNA in strafproces is overdreven Het gebruik van DNA-materiaal in het strafproces is geen inbreuk op de lichamelijke integriteit, meent Boris O.  Dittrich",1
208,Lerarenopleiding doodt alle talent en motivatie De universitaire leraren-opleiding heeft geen inhoud en duldt geen kritisch denkvermogen.  Marijn van Dijk en studeerde Nederlands aan de Universiteit van Amsterdam en volgde de Master Leraar Voorbereidend Hoger Onderwijs aan de VU,1
214,"Poetin: ‘Rusland op eenzame hoogte met nieuwe, hypersonische raket’ Redactie 28 december 2019, 4:36 De Russische president Vladimir Poetin (midden) tijdens een bespreking met de Russische militaire leiders dinsdag in het nationale defensie-controlecentrum in Moskou.  Beeld AP ‘Vandaag hebben we een unieke situatie in onze nieuwe en recente geschiedenis",1
218,Politie N-Ierland maakt op valreep bom onschadelijk In Noord-Ierland is zondag op het nippertje een bomaanslag verijdeld.  Een zware autobom (,1
223,"Kieren in het gordijn HET HERMETISCH GESLOTEN NOORD-KOREA LIJKT VOORZICHTIG CONTACT TE ZOEKEN MET HET WESTEN.  VERSLAGGEVER NELL WESTERLAKEN REISDE DOOR DE LAATSTE ORWELLIAANSE REPUBLIEK OP AARDE, LOGEERDE IN LEGE HOTELS EN ONTSNAPTE AAN HAAR BEWAKERS",1
229,"Facebook heeft toch niet zo’n zin in strengere Europese privacyregels voor al zijn gebruikers Laurens Verhagen 19 april 2018, 22:13 Mark Zuckerberg, CEO ",1
233,"Waar ter wereld je ook bent: mensen eten allemaal hetzelfde Het voedingspatroon van de wereldbewoners wordt steeds meer hetzelfde, blijkt uit onderzoek van onder meer Wageningen Universiteit.  Dat is een bedreiging voor de landbouw en wellicht ook voor de menselijke gezondheid, schrijven de onderzoekers in PNAS",1
239,"Anneke Stoffelen en Sybren Kooistra 20 november 2014, 2:00 Meerdere gemeenten zijn van plan om een deel van de zorg te laten afhangen van vrienden en familie.  Beeld anp Het inschakelen van de sociale ",1
243,"Carmen Wijnen 4 oktober 2014, 2:00 De site interiorjunkie. com, een interieur- en lifestyleblog, gebaseerd op Jacobs' 'passie voor interieur'",1
248,"18 augustus 2017, 23:00 Theater Alles is anders bij de Nederlandse vrouwenhockeyploeg na de exodus van bepalende internationals, die afscheid namen met een zilveren medaille op ",1
253,Ad Smit.  © Klaas Jan van der Weij / de Volkskrant Amsterdamse politiechef ontslagen wegens privé-uitgaven met politiegeld Korpschef Akerboom: 'Gedragingen zijn onaanvaardbaar' De Amsterdamse politiecommissaris Ad Smit is ontslagen 'wegens zeer ernstig plichtsverzuim',1
258,"Rembrandt twijfelde bij maken 'De Staalmeesters' Rembrandt heeft zijn wereldberoemde late werk De Staalmeesters tweemaal in detail uitgewerkt, tot hij voor de compositie koos die nu in het Rijksmuseum hangt.  Dit bevestigt onderzoek met nieuwe scantechnieken waarmee de verflagen zijn onderzocht",1
263,"Er is een knus Amerikaans pretpark waar christelijke waarden regeren én homo's welkom zijn.  Het heet Dollywood en is, jawel, van Dolly Parton",1
268,"Lezersbrieven Dinsdag 11 december Straks zijn er geen overlevenden meer die de verschrikkingen nog kunnen navertellen De ingezonden lezersbrieven van dinsdag 11 december.  Redactie 10 december 2018, 18:44 Schoolklas bij de gedenkplaat voor Nederlandse slachtoffers in Auschwitz",1
273,"Morid twijfelde over zijn geloof, zijn vriendin verlinkte hem in een volle moskee in Afghanistan Het persoonlijke verhaal van een Afghaanse vluchteling Morid moest vluchten uit Afghanistan toen zijn vriendin radicaliseerde en hem verlinkte met een stiekem opgenomen geluidsbandje.  Janny Groen 5 december 2017, 2:00 Morid Aziz, afvallige Afghaanse student (23)",1
278,"Hoe Jelte Jett werd Het wonderjoch dat afgelopen zomer de festivalpodia veroverde, heeft zijn eerste album klaar.  Wie gaat er schuil achter Jett Rebel",1
283,"A Chorus Line is muzikaal niet opzienbarend Halverwege de jaren zeventig verkeerde Broadway in een crisis, die parallel liep aan de economische narigheid.  Zingende acteurs en dansers stonden in een lange rij om een rol(letje) te bemachtigen",1
288,"Beschouwing Racestrateeg Verstappen Ze stond een beetje onwennig naast Max Verstappen, haar haren doorweekt door liters champagne.  Volgens Red Bull-teambaas Christian Horner had er alleen niemand meer recht om zondag met Verstappen in Brazilië op het podium te staan dan racestrateeg Hannah Schmitz",1
293,"Vrede, stabiliteit en anticommunisme wogen zwaarder dan rechtvaardigheid Arnon Grunberg 3 december 2014, 2:00 Diverse kranten meldden de dood van Alois Brunner, rechterhand van Adolf Eichmann.  Brunner wordt verantwoordelijk gehouden voor de moord op 128 duizend mensen",1
298,NAVO-ingrijpen in Kosovo-crisis galmt nog na in Azië Veel landen in Azië waren tegen het NAVO-ingrijpen in de Kosovo-crisis.  De gewapende minderheden kunnen het westerse succes immers aangrijpen om de strijd te intensiveren en te speculeren over westerse steun,1
303,"De roman Beatles uit 1984 van Lars Saabye Christensen – over vier fans in Oslo – is in de vertaling van Paula Stevens Yesterday geworden (De Geus; euro 24,90).  ‘Ik kom je tegen bij het kattevoer’, is de openingsregel van het titelgedicht in Kater van debuterend dichteres Froukje van der Ploeg (Nieuw Amsterdam; euro 14,95)",1
308,"Irene de Zwaan 23 januari 2018, 2:00 Vluchtelingenkamp Heumensoord.  Foto Marcel van den Bergh / de Volkskrant De Internationale Organisatie voor Migratie (IOM), die migranten begeleidt bij vrijwillige terugkeer naar het land van herkomst, krijgt sinds een half jaar wekelijks zo'n tien telefoontjes met vragen hierover - zowel van Syriërs die nog in de asielprocedure zitten als van Syriërs die al een verblijfsvergunning hebben",1
313,"Het zijn bedeesde meisjes, maar voor de terreurbeweging Boko Haram vormt hun klasje een radicaal opgestoken middelvinger.  Het onderwijs moet door",1
318,Terroristen die live een aanslag plegen.  De onmiddellijkheid van een vliegtuig die zich zichtbaar voor de kijker in een toren boort,1
323,AnalyseDraagplicht Is het een kwestie van tijd voordat u gemaskerd over straat gaat.  De westerse wereld raakt steeds meer in de ban van het mondkapje,1
333,"Bestuurder Haaksbergen: 'Ik heb 1000 procent zeker geremd' 'Ik heb 1000 procent zeker geremd', zei stuntman Mario ",1
338,"Door: Robert Giebels 25 april 2017, 18:18 Dat vinden de milieucommissies van de vier politieke partijen die nu de formatieonderhandelingen voeren.  De tekst kan zo dienen als die van het hoofdstuk in het nieuwe regeerakkoord over duurzaamheid, vinden ze",1
343,"Rechter gaat in de zaak Denk versus BNNVara voorbij aan regels van vertrouwelijkheid De uitspraak van de rechter dat journalisten stiekem een gesprek in de fractiekamer van Kamerlid Farid Azarkan mochten opnemen is slecht nieuws voor de democratie en de journalistiek, menen Egbert Dommering en Nico van Eijk, hoogleraar aan het Instituut voor Informatierecht.  Egbert Dommering en Nico van Eijk 20 augustus 2018, 16:27 ",1
348,"De Volkskrant tv-selectie voor maandag 5 december Redactie 5 december 2016, 2:00 Lake Bell in de door haar geschreven en geregisseerde film In a World.  2Doc: De claim - Zoektocht naar roofkunst uit WO II In deze documentaire volgt Ditteke Mensink de Restitutiecommissie, die zaken behandelt waarbij door de nazi's geroofde kunstschatten door Nederlandse Holocaustoverlevenden worden geclaimd",1
353,"Tv-tips maandag 22 april De Volkskrant film- en tv-tips voor maandag 22 april Kevin Toma 22 april 2019, 2:00 Buster Keaton en Natalie Talmadge in Our Hospitality (Buster Keaton en Jack G.  Blystone, 1923) Arte, 00",1
358,"Dynamiek, karakters, kippenvel 27/6, Bimhuis, Amsterdam TIM SPRANGERS 29 juni 2013, 0:00 THE AMSTERDAM REAL BOOK - Er wordt wel eens neerbuigend gedaan over de hardcore improvisatiecultuur van Amsterdam.  Zeker de jonge lichting lijkt met hun vaak op rock gebaseerde muziek op een stel losgeslagen vrijbuiters die provocerend de extremen zoeken",1
363,"'Jullie navelstreng trekt jullie nog steeds' Buiten, te midden van barbequende Surinamers, wordt 'Vene' verafgood als een popster van het 'R & B-genre'.  Geduw en getrek rond het staatshoofd",1
368,"Toen Job Cohen verklaarde dat de PvdA en de SP veel gemeen hebben, werd hem dat niet in dank afgenomen.  Nu doet zijn opvolger Diederik Samsom een nieuwe toenaderingspoging tot de partij van Roemer",1
373,"Albumrecensie Cecilia Bartoli – Farinelli Op haar nieuwe album eert Cecilia Bartoli de 18de-eeuwse castraat Farinelli ★★★☆☆ Guido van Oorschot 9 januari 2020, 16:22 De Italiaanse mezzosopraan Cecilia Bartoli liet zich in het verleden al eens op cd-hoesjes afbeelden als antiek standbeeld en als missionaris met een kale kop.  Dit keer draagt ze een baard",1
378,Lezersbrieven over seksisme: 'Ook hier lopen een heleboel 'Harvey's' rond' De affaire-Weinstein leidt in de VS en Frankrijk tot zelfonderzoek.  Journaliste Sandra Muller riep vrouwen op mannen door wie ze seksueel waren lastig gevallen - of erger - aan te geven: 'Verlink je varken',1
383,InterviewTanny Dobbelaar In veel families graaft wel iemand naar de voorouderlijke geschiedenis.  Het fenomeen intrigeert filosoof Tanny Dobbelaar,1
388,"Salo Muller, de oud-fysio van Ajax, gedenkt in De foto zijn in de Tweede Wereldoorlog omgekomen Joodse ouders Bart Jungmann 10 augustus 2013, 0:00 Salo Muller is zo'n magische naam uit het verleden, uit de lang vervlogen tijd dat Ajax nog met recht een jodenclub was en kon zijn.  Jaap van Praag zat voor, Bennie Muller en Sjaak Swart plaveiden de weg naar succes en Salo Muller kneedde hun benen",1
393,"postuum ricky jay (1946-2018) Ricky Jay (1946-2018): recordbrekend goochelaar met een imposante podiumpersoonlijkheid Mark Moorman 25 november 2018, 19:13 Ricky Jay in het Tiffany Theater in Los Angeles.  Beeld Getty Images Hij kon een ",1
398,"In Kasteel het Nijenhuis bij Heino, een locatie van Museum de Fundatie, is vanaf 19 februari een tentoonstelling te zien met werken die kunstenaar Anton Heyboer (1924-2005) maakte in zijn beginperiode tussen 1953 en 1960.  Dat heeft het museum vandaag bekendgemaakt",1
408,"Paul Onkenhout 16 februari 2018, 19:16 Wetenschappers van een genetisch onderzoeksbureau uit Rotterdam, Omnigen, gaan het wangslijm van Feyenoord-supporters analyseren.  Het dna-onderzoek moet duidelijk maken of het veelgenoemde 'Feyenoord-gen' bestaat",1
413,Tweede Kamerlid Madeleine van Toorenburg (CDA) stelt zich kandidaat voor het voorzitterschap van de Tweede Kamer.  Dat heeft haar partij vrijdag laten weten,1
418,"Schoonmakers zijn tekortgedaan, zegt de NS een jaar na de staking Ze pikten het niet langer en voerden negen weken actie.  De strijd is nog niet gestreden, maar het gaat beter",1
423,"NIEUWSECONOMISCHE MAATREGELEN CORONACRISIS Gijs Herderscheê 17 maart 2020, 21:54 De ministers Eric Wiebes (Economische Zaken), Wopke Hoekstra (Financiën) en Wouter Koolmees (Sociale Zaken en Werkgelegenheid) tijdens een persconferentie op het ministerie van Justitie en Veiligheid over de steunmaatregelen voor bedrijven in coronacrisis.  Beeld ANP Een reeks ministers beloofde dinsdagavond ‘alles op alles’ te zetten om ondernemingen en werkenden overeind te houden nu de bedrijvigheid in veel sectoren plotseling volledig stilvalt",1
428,"NieuwsE10-bezine E10-benzine is groen, maar wel korter houdbaar Groene E10-benzine heeft een probleem: hij is een stuk minder lang houdbaar.  Waar ‘gewone’ benzine zeker zes maanden goed blijft, zou de kwaliteit van E10 al na drie maanden verslechteren",1
433,"Vijf Vragen Over Syrië Natalie Righton 1 oktober 2018, 19:42 Bloks positie is precair, niet in de laatste plaats omdat coalitiegenoot CDA hem verwijt geen open kaart te spelen over de fouten die zijn gemaakt.  Dit zijn de vijf vragen waar Blok een zinnig antwoord op moet formuleren, wil hij zijn geloofwaardigheid als bewindspersoon behouden",1
438,"Luc, de man die beslist geen affaire zou beginnen: ‘Ze kende me niet alleen, ik was van haar en zij van mij’ Ondanks de liefde voor zijn vrouw openbaarde onmiddellijke grote liefde voor zijn collega zich aan Luc, het ­onomkeerbare bewijs dat de enige ware dus wel bestaat.  Corine Koole 7 juni 2019, 15:00 ‘Het was oktober 2015 toen ik aan het einde van de middag na een vergadering nog wat napraatte met een vrouwelijke collega",1
444,"Door: Gijs Herderscheê Robert Giebels 27 april 2015, 02:00 Dit laat Lodewijk Asscher (PvdA), vice-premier en minister van Sociale Zaken en Werkgelegenheid, weten.  'Loonkostensubsidie en (hogere) arbeidskorting werken dan als een banenbonus",1
448,"Rechters en advocaten in de bres voor rechtshulp 16 december 2008, 11:39 DEN HAAG (ANP) - Zowel advocaten als rechters maken zich zorgen over de aangekondigde bezuinigingen op de gesubsidieerde rechtshulp.  De advocaten uiten hun zorgen woensdag op het Plein in Den Haag, tijdens een demonstratie",1
453,'Internet kan onze democratie verdiepen en versterken' Is ons 160 jaar oude systeem aan vervanging toe nu burgers op zoveel manieren direct contact kunnen hebben via internet.  Morrelen aan het systeem heeft zo z'n risico's,1
463,"‘Militairen handelden correct bij doodschieten Spaanse journalist’ De Amerikaanse militairen die in april 2003 in Bagdad een Spaanse journalist doodschoten, hebben correct gehandeld.  Dit heeft het Amerikaanse ministerie van Defensie woensdag gezegd in een reactie op Spaanse arrestatiebevelen tegen drie Amerikaanse militairen",1
468,"opinieHet grootste gevaar voor de atol-eilanden in de Stille Oceaan is dat het zoet water verdwijnt.  Leo Meyer consultant en werkte voorheen voor IPCC en PBL 7 november 2016, 02:00 Hoe langer we wachten met terugdringen broeikasgasuitstoot, hoe duurder het wordt Uiteindelijk kan zeespiegel tot meer dan 10 meter stijgen frank§vrij - dinsdag 8 november 10:10 Lomborg kan gelijk hebben, dat de wereldwijde 'paniek' om het COPP-akkoord de economie kan vertragen",1
478,Beschouwing tentoonstelling malware Van Anna Kournikova tot WannaCry: Van de Poel laat ze draaien of maakte artistieke interpretaties.  Nu te zien in Het Nieuwe Instituut in Rotterdam,1
483,Nuttig voorwerk IN één week tijd heeft de commissie-Bakker méér over de affaire-Srebrenica boven tafel gekregen dan menig scepticus tevoren had gevreesd. ,1
488,"The Fountainhead - een gewaagd ideeënroman The Fountainhead naar Ayn Rand door Toneelgroep Amsterdam, regie Ivo van Hove, bewerking Koen Tachelet Stadsschouwburg, Amsterdam t/m 21/6 en vanaf 26/8 t/m 21/9; toneelgroepamsterdam. nl Hein Janssen 6 augustus 2014, 16:44 Hij wilde het al heel lang, Ivo van Hove: een theaterbewerking maken van Ayn Rands cultboek The Fountainhead, uitgegeven in 1943",1
493,'Bijstandsfraude digitaal opsporen' Het net rond frauderende bijstandsontvangers wordt aangehaald.  Gemeenten mogen meer gegevens aan elkaar koppelen om misbruik op te sporen en om schijnbaar spoorloze fraudeurs te vinden,1
498,"Oranje kan Uruguay, Colombia en Italië nog voorbij op FIFA-lijst Wordt Oranje groepshoofd tijdens het WK voetbal of niet.  Om die vraag draait het tijdens de interlands van dinsdag",1
503,"Nieuws stroopwafel gaat internationaal Oerhollandse lekkernij: ‘stroepwoffel’ maakt furore in Amerikaans profbasketbal De oerhollandse stroopwafel doet zijn intrede in de Amerikaanse sportwereld.  In de NBA, de nationale basketbalcompetitie, gebruiken spelers de lekkernij om hun energie op peil te houden – soms tijdens de wedstrijd",1
508,"'Maria Balshaw nieuwe directeur vier Britse musea Tate' Maria Balshaw wordt volgens Britse kranten de nieuwe directeur van Tate, dat uit vier musea bestaat: Tate Modern en Tate Britain in Londen en twee vestigingen in Liverpool en St Ives.  Balshaw is door de raad van toezicht van het Tate verkozen, maar is nog niet benoemd omdat haar voordracht nog moet worden bekrachtigd door premier Theresa May",1
513,"De nieuwe Stones is een week oud en doet verlangen naar meer.  Meer rauwe grotestadsblues, en als het kan ook nog wat meer Little Walter",1
518,"nieuwsbrief donderdag 27 december Volkskrant Avond: Fietsfabrikant maakt het fietsendief veel te makkelijk | Vliegende superrijken trekken zich weinig aan van klimaatdebat Redactie 27 december 2018, 20:27 Demonstranten in Congo bestormen ebolacentrum tijdens verkiezingsonrust In het oosten van de Democratische Republiek Congo hebben demonstranten donderdag een ebolacentrum aangevallen, waarna patiënten op de vlucht sloegen.  In delen van het Afrikaanse land heerst sinds woensdag onvrede over de aankondiging van de regering de verkiezingen in drie ",1
523,De koningin van het Witte Huis Zondag overleed de 94-jarige Nancy Reagan.  Van 1981 tot 1988 was ze de koningin van het Witte Huis,1
528,"Nico Meijering, de advocaat van Bhagwandath P.  © ANP Man moet 58,5 miljoen aan crimineel geld terugbetalen aan staat De 42-jarige Bhagwandath P",1
533,"Er schijnen twee heldere stippen vanaf dwergplaneet Ceres de Melkweg in, en vooralsnog heeft geen enkele wetenschapper ook maar enig idee wat die stippen kunnen zijn.  Lennart Bloemhof 26 februari 2015, 16:03 De foto van Ceres, gemaakt op 19 februari, met op het midden van de dwergplaneet de twee heldere stippen",1
538,"Volkskrant Ochtend: Elektriciteitsnetwerk kan stroom uit lokale groene projecten niet aan | Waarom het ‘gemeentebordeel’ in Amsterdam mislukte Redactie 11 januari 2019, 7:34 Het pand van ‘My Red Light’ op de Oudezijds Achterburgwal, naast de Boomsteeg.  Beeld Guus Dubbelman / de Volkskrant Elektriciteitsnetwerk kan stroom uit lokale groene projecten niet aan Lokale groene energieprojecten kunnen niet doorgaan doordat zij hun stroom niet kwijt kunnen",1
543,"Sheila Sitalsing 21 juni 2018, 23:16 Wanneer ze in Brussel zijn, voor een samenzijn met hun Europese collega’s, lopen Nederlandse politici graag al vingertjezwaaiend de oud-calvinistische wijsheid te debiteren ‘dat je het dak moet repareren wanneer de zon schijnt’.  Dat je dijken moet aanleggen wanneer het water laag is",1
549,"Wagonlading problemen bij invoering Fyra De Nederlands-Belgische hogesnelheidstrein V250 Albatros, beter bekend als Fyra, is het resultaat van een jarenlang traject van plannen, investeren en vooral uitstellen.  Een chronologisch overzicht",1
553,"Deze pil kost 1,50 om te maken, en toch kost hij 1000 euro Geweldig nieuws voor hepatitis-C-patiënten: eindelijk is er een pil die hun leven kan redden.  Maar de fabrikant weet dat hij goud in handen heeft",1
558,"Obama: aanslagen Parijs 'ziekmakende' tegenslag in strijd tegen IS De aanslagen in Parijs zijn een 'verschrikkelijke en ziekmakende tegenslag' in de strijd tegen IS.  Dat zei de Amerikaanse president Obama maandag in Turkije, waar de G20-top plaatsvindt",1
563,Het verhaal van de zon die weer op de terugtocht gaat De mythologiserende mens (1).  Vandaag is de langste dag van het jaar,1
568,"‘Met verhalen wil ik de wereld in beweging zetten’ ‘Theatraal verteller’ Wijnand Stomp struint al twintig jaar Suriname, de Antillen en Afrika af naar verhalen en geeft ze vervolgens een universele lading mee. ",1
573,"Nieuws Algerije Opnieuw protesten in Algerije tegen herverkiezing president Bouteflika Tienduizenden Algerijnen hebben zondag opnieuw gedemonstreerd tegen een vijfde ambtstermijn voor de huidige president Abdelaziz Bouteflika.  In Algiers verzamelden zich honderden studenten op een campus niet ver van de Constitutionele Raad, waar kandidaten voor de presidentsverkiezingen zich zondag voor het laatst konden inschrijven",1
583,"Referendumwet zet ons op spoor naar bananenrepubliek Het kabinet heeft gisteren nog geen besluit genomen over het indienen van een 'intrekkingswet', een wet die een eerder met grote meerderheid in de Kamer aangenomen 'goedkeuringswet' betreffende de ratificatie van het associatieverdrag met Oekraïne - weer intrekt.  Premier Rutte heeft het zoeken naar een 'geitenpaadje' nog niet opgegeven en intussen zoekt minister van Buitenlandse Zaken Koenders naar een 'muizengaatje'",1
588,"De Inuit kennen vele verschillende woorden voor sneeuw - Klopt dit wel.  Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet",1
593,"Digitale lekkage bij Hippocrates Het beroepsgeheim van de arts waarborgt de privacy van de patiënt.  Maar hoe zit dat, nu de dokter steeds meer wordt ingesponnen in elektronische netwerken",1
