Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> van Kuijk. Deze week:,['(en cabaretier) Jasper'],3,13
"- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag <extra_id_0> verrassend recept. Vandaag:",['in de Volkskrant een'],4,13
"- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in <extra_id_0> recept. Vandaag:",['de Volkskrant een verrassend'],4,13
Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in <extra_id_0> Deze week:,['de beeldende kunst.'],3,13
"Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week een gerecht in de oven. Deze week:","Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week <extra_id_0> de oven. Deze week:",['een gerecht in'],3,13
"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De Volkskrant-specialisten kiezen hun favorieten, van","Wat kwam er de laatste dagen weer voor moois bij in het <extra_id_0> kiezen hun favorieten, van",['cultuuraanbod? De Volkskrant-specialisten'],3,12
"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van","Wat kwam er de laatste <extra_id_0> moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van",['dagen weer voor'],3,12
Afwisselend betuigen Stella Bergsma en Sylvia Witteman hun liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,Afwisselend betuigen Stella Bergsma en <extra_id_0> liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,['Sylvia Witteman hun'],3,12
e gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,e gefingeerd. Ook genterviewd worden over liefde en lust? <extra_id_0> korte toelichting naar lust@volkskrant.nl,['Mail een'],2,12
"juni terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","juni terug. Op de hoogte blijven? Ontvang <extra_id_0> abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","['pushmeldingen via onze app,']",4,12
"mei terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","mei terug. <extra_id_0> Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.",['Op de hoogte blijven?'],4,12
"Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Berichten verspreiden zich razendsnel, of ze nu kloppen <extra_id_0> proberen de zin van de onzin te scheiden. Vandaag:",['of niet. Wij'],3,12
"gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een niet-Nederlandse achtergrond. Mail een korte toelichting naar lust@volkskrant.nl","gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een <extra_id_0> een korte toelichting naar lust@volkskrant.nl",['niet-Nederlandse achtergrond. Mail'],3,11
gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden over liefde en lust? Mail <extra_id_0> toelichting naar lust@volkskrant.nl,['een korte'],2,11
"...' is content gemaakt in opdracht van en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","...' is content <extra_id_0> en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.",['gemaakt in opdracht van'],4,11
m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter <extra_id_0> EU-parlement gefrustreerd achter,['Zuckerberg laat'],2,10
en | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,<extra_id_0> Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['en | De'],3,10
s | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,s | De Volkskrant Wat zullen <extra_id_0> vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['we eens eten'],3,10
. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal 110 woorden) voor maandag,. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal <extra_id_0> maandag,['110 woorden) voor'],3,10
Wie of wat zette je leven op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,Wie of wat <extra_id_0> op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,['zette je leven'],3,10
m Dump het aandeel of wees lastig: pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,m Dump het aandeel <extra_id_0> pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,['of wees lastig:'],3,10
op verzoek van de boekenredactie de eerste tien pagina's van drie net verschenen boeken en geeft op basis daarvan advies.,op verzoek van de boekenredactie de eerste <extra_id_0> drie net verschenen boeken en geeft op basis daarvan advies.,"[""tien pagina's van""]",3,9
Prikkelende opinies op een dag dat u er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,Prikkelende opinies op een <extra_id_0> er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,['dag dat u'],3,9
m En weer is een verrader van Anne Frank ontmaskerd: was het dan toch Ans van ... Is zij de verrader van Anne Frank?,m En weer is een verrader <extra_id_0> was het dan toch Ans van ... Is zij de verrader van Anne Frank?,['van Anne Frank ontmaskerd:'],4,9
"| De Volkskrant Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","| De Volkskrant Volkskrant.nl zet elke zondag de leukste, <extra_id_0> informatieve apps voor u op een rijtje. Deze week:",['handigste en meest'],3,9
"Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de volgende keer net iets minder opvalt. Vandaag:","Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de <extra_id_0> minder opvalt. Vandaag:",['volgende keer net iets'],4,9
"), naam bij de redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag","), <extra_id_0> redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag",['naam bij de'],3,9
We genieten wat af met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,We <extra_id_0> met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,['genieten wat af'],3,9
' Tourverslaggever Marije Randewijk voorspelt elke dag op Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,' Tourverslaggever Marije Randewijk voorspelt <extra_id_0> Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,['elke dag op'],3,9
"di t/m zo 10-17u. Tel. 0900-8212132 (www.groningermuseum.nl). Haarlem, De Hallen (Grote Markt 16):",di t/m zo 10-17u. Tel. 0900-8212132 <extra_id_0> De Hallen (Grote Markt 16):,"['(www.groningermuseum.nl). Haarlem,']",2,9
van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van de dag door.,van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van <extra_id_0>,['de dag door.'],3,9
".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) gaat voor V in gesprek met bekende en minder bekende Nederlanders over de rol die hun afkomst speelt in hun leven. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) gaat voor V in gesprek met bekende en minder bekende Nederlanders <extra_id_0> die hun afkomst speelt in hun leven. <extra_id_1> anderen nog met","['over de rol', 'Hij spreekt onder']",6,9
"; di t/m vr 11-17u za zo 14-17u. Tel. 0475-333496 (www.museum.roermond.nl). Rotterdam, Boijmans Van Beuningen (Museumpark 18-20):","; di t/m vr 11-17u <extra_id_0> Tel. 0475-333496 (www.museum.roermond.nl). Rotterdam, Boijmans Van Beuningen (Museumpark 18-20):",['za zo 14-17u.'],3,9
"? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:","? Berichten <extra_id_0> razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:",['verspreiden zich vaak'],3,9
"Groningen, Groninger Museum (Museumeiland): Van Kirchner tot Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964","Groningen, Groninger Museum <extra_id_0> Kirchner tot Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964",['(Museumeiland): Van'],2,9
en Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,en Denkfouten in <extra_id_0> ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,['het hedendaags'],2,9
" Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van <extra_id_0> scheiden. Vandaag:",['de onzin te'],3,9
Houd moed. In het verleden wisten wetenschappers gigantische gezondheidscrises te bezweren. Deze week:,Houd moed. <extra_id_0> verleden wisten wetenschappers gigantische gezondheidscrises te bezweren. Deze week:,['In het'],2,9
}] }); //************************************************************************************************* $('#chart,}] }); //************************************************************************************************* $('#chart,[],1,9
"De Ombudsclown behandelt vragen, klachten en opmerkingen over zaken waaraan eigenlijk niets te doen is. '","De Ombudsclown behandelt vragen, klachten <extra_id_0> over zaken waaraan eigenlijk niets te doen is. '",['en opmerkingen'],2,9
Elke dag tipt de redactie van de Volkskrant de beste programma's en films op televisie. Dit moet u vandaag zien.,Elke dag tipt de redactie <extra_id_0> de beste programma's en films op televisie. Dit moet u vandaag zien.,['van de Volkskrant'],3,8
De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,De <extra_id_0> in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,['Volkskrant checkt'],2,8
"Het leven door de ogen van de Posthuma de Boers - een foto uit het rijke naoorlogse archief van vader Eddy, met een tekst van dochter Eva.","Het leven door de ogen van de Posthuma <extra_id_0> foto uit het rijke naoorlogse archief van vader Eddy, met een tekst van dochter Eva.",['de Boers - een'],4,8
"Mannen komen van Mars, vrouwen van Venus van John Gray. Regie Peter de Baan. Met Huub Stapel als psychiater die de verschillen tussen mannen en vrouwen voorlegt aan het publiek. Tournee","Mannen komen van Mars, vrouwen <extra_id_0> Gray. Regie Peter de Baan. Met Huub Stapel als psychiater die de verschillen tussen mannen en vrouwen voorlegt aan het publiek. Tournee",['van Venus van John'],5,8
Reisjournalist Sander Groen verkent om de week een onvermoede bestemming in Nederland of net over de grens.,Reisjournalist Sander Groen verkent <extra_id_0> een onvermoede bestemming in Nederland of net over de grens.,['om de week'],3,8
"- klopt dit wel? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:",- klopt dit wel? Berichten verspreiden <extra_id_0> ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:,"['zich vaak razendsnel, of']",4,8
"- Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","- Klopt dit wel? Berichten verspreiden zich razendsnel, <extra_id_0> of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:",['of ze nu kloppen'],4,8
"? | De Volkskrant Antwoord op lezersvragen over gezondheid, voeding, leefstijl en psyche. Deze week:","? | De Volkskrant Antwoord op lezersvragen over gezondheid, <extra_id_0> en psyche. Deze week:","['voeding, leefstijl']",2,8
"Miss Saigon, de musicalklassieker over een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer te zien in Nederland. Met Stanley Burleson, Na-Young Jeon e.a. T/m","Miss Saigon, de musicalklassieker over een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer te zien in Nederland. Met Stanley Burleson, <extra_id_0>",['Na-Young Jeon e.a. T/m'],5,8
"Raging Bull (Martin Scorsese). Meesterwerk uit 1983 opnieuw in de bioscoop te zien in het Filmmuseum in Amsterdam, dat een zomerprogr","Raging Bull <extra_id_0> uit 1983 opnieuw in de bioscoop te zien in het Filmmuseum in Amsterdam, dat een zomerprogr",['(Martin Scorsese). Meesterwerk'],3,8
".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V Nederlanders over de rol die afkomst speelt in hun leven. Mede gebaseerd op deze serie verscheen vorig jaar zijn boek Kaaskoppen. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V <extra_id_0> rol die afkomst speelt in hun leven. Mede gebaseerd op deze serie verscheen <extra_id_1> boek Kaaskoppen. Hij spreekt onder anderen nog met","['Nederlanders over de', 'vorig jaar zijn']",6,8
? De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,? De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke <extra_id_0> Vandaag:,['uitspraken op waarheidsgehalte.'],3,8
Jaarlijks publiceren Nederlandse wetenschappers 172 duizend onderzoeken. In deze rubriek een greep uit de ontdekkingen die bijna onopgemerkt waren gebleven.,Jaarlijks publiceren Nederlandse wetenschappers <extra_id_0> In deze rubriek een greep uit de ontdekkingen die bijna onopgemerkt waren gebleven.,['172 duizend onderzoeken.'],3,8
en De rubriek Beeldvormers onderzoekt hoe een foto onze kijk op de werkelijkheid bepaalt. Deze week:,en De rubriek Beeldvormers onderzoekt hoe een foto onze kijk op de <extra_id_0> Deze week:,['werkelijkheid bepaalt.'],2,8
"; di t/m zo 11-17u. Tel. 013-5438300 (www.depont.nl). Utrecht, Centraal Museum (Nicolaaskerkhof 10):",; di t/m zo 11-17u. Tel. 013-5438300 (www.depont.nl). <extra_id_0> Museum (Nicolaaskerkhof 10):,"['Utrecht, Centraal']",2,8
van de dagelijkse 4 uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van de dag door.,van de dagelijkse 4 uur Nieuwsbreak. In deze rubriek nemen we <extra_id_0> persoon het nieuws van de dag door.,['met een interessant'],3,8
Sportverslaggevers Marije Randewijk en Mark Misrus reizen mee in de wielerkaravaan en voorspellen dagelijks de uitkomst van de volgende etappe.,Sportverslaggevers Marije Randewijk en Mark Misrus reizen mee in de wielerkaravaan en voorspellen dagelijks de uitkomst van <extra_id_0>,['de volgende etappe.'],3,8
Met het ontslag van directeur James Comey heeft Donald Trump de oorlog verklaard aan de FBI. En dat zal hij weten ook. De organisatie slaat altijd meteen terug.,Met het ontslag van directeur James Comey heeft Donald Trump de oorlog verklaard aan de FBI. En dat zal hij weten ook. De organisatie slaat <extra_id_0>,['altijd meteen terug.'],4,8
| De Volkskrant Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,| De <extra_id_0> het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,['Volkskrant Denkfouten in'],3,8
"7 van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere dag met een interessant, bekend persoon het nieuws van de dag door.",7 van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere <extra_id_0> bekend persoon het nieuws van de dag door.,"['dag met een interessant,']",4,8
"en Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","en Kookboekenmaker, <extra_id_0> Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:",['kok en illustrator'],3,8
Deze zomer kiest de Volkskrant voor u. We selecteren iedere week 10 onmisbare attributen. Deze week:,Deze zomer kiest de Volkskrant voor u. We selecteren <extra_id_0> 10 onmisbare attributen. Deze week:,['iedere week'],2,8
"Mamma Mia!, reisproductie van Van den Ende-musical met liedjes in de vertaling van Coot van Doesburg.","Mamma Mia!, reisproductie van Van den Ende-musical met <extra_id_0> de vertaling van Coot van Doesburg.",['liedjes in'],2,7
"is gemaakt volgens het collodiumproced. Bij die methode, daterend uit de periode 1850- 1880, wordt ter plekke een aluminiumplaat of glasplaat gecoat met een laagje zilver. Daarop wordt de foto genomen. Het is een bewerkelijk en moeilijk proced dat de laatste jaren weer in opkomst is.","is gemaakt volgens het collodiumproced. Bij die methode, daterend uit de periode 1850- 1880, wordt ter plekke een aluminiumplaat of glasplaat gecoat met een laagje zilver. Daarop wordt de foto <extra_id_0> bewerkelijk en moeilijk proced dat <extra_id_1> weer in opkomst is.","['genomen. Het is een', 'de laatste jaren']",7,7
"5 van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere dag met een interessant, bekend persoon het nieuws van de dag door.","5 van de <extra_id_0> In deze rubriek nemen we iedere dag met een interessant, bekend persoon het nieuws van de dag door.",['dagelijkse 4 Uur Nieuwsbreak.'],4,7
"NL2025, een maatschappelijk initiatief van kopstukken uit het bedrijfsleven, cultuur, sport en wetenschap dat ideen en mensen bijeen wil brengen voor een 'een betere toekomst van Nederland'.","NL2025, een maatschappelijk initiatief van <extra_id_0> cultuur, sport en wetenschap dat ideen en mensen bijeen wil brengen voor een 'een betere toekomst van Nederland'.","['kopstukken uit het bedrijfsleven,']",4,7
Erik van den Berg deelt dagelijks een opmerkelijk fragment uit zijn verzameling historische dagboeken.,Erik van den Berg deelt dagelijks een opmerkelijk fragment <extra_id_0> verzameling historische dagboeken.,['uit zijn'],2,7
Beeld Adriaan van der Ploeg Elke week een portret van een kind in haar of zijn slaapkamer. Vandaag:,<extra_id_0> der Ploeg Elke week een portret van een kind in haar of zijn slaapkamer. Vandaag:,['Beeld Adriaan van'],3,7
"Caspar Janssen loopt een jaar lang door Nederland en brengt al doende het landschap in kaart, en daarmee de planten, dieren, mensen en kwesties van het Nederlandse land.","Caspar Janssen loopt een jaar lang <extra_id_0> al doende het landschap in kaart, en daarmee de planten, dieren, mensen en kwesties van het Nederlandse land.",['door Nederland en brengt'],4,7
zijn de modeshows met de wintermode voor 2018-2019 in volle gang. Moderedacteur Bregje Lampe blogt dagelijks over de Show van de Dag. Vandaag:,zijn de modeshows met de wintermode voor 2018-2019 in volle gang. Moderedacteur Bregje Lampe blogt dagelijks over de Show van <extra_id_0>,['de Dag. Vandaag:'],3,7
aangehouden omdat de politie de grootte van zijn auto in combinatie met zijn huidskleur verdacht vond.,<extra_id_0> de politie de grootte van zijn auto in combinatie met zijn huidskleur verdacht vond.,['aangehouden omdat'],2,7
"van de dagelijkse rubriek 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere dag met een interessant, bekend persoon het nieuws van de dag door.","van de dagelijkse rubriek 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere dag met een interessant, <extra_id_0> van de dag door.",['bekend persoon het nieuws'],4,7
"s Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","s Kookboekenmaker, kok en illustrator Yvette van Boven maakt een <extra_id_0> recept om de restjes op te maken. Deze week:",['seizoensrecept plus een'],3,7
"? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","? <extra_id_0> vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:",['Berichten verspreiden zich'],3,7
en Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,en Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) <extra_id_0> Kuijk. Deze week:,['Jasper van'],2,7
"et werken van Hans Holbein de Jonge, Quinten Massys en Albrecht Drer, t/m 8 februari; Uit de collectie Ploos van Amstel Knoef, selectie Nederlandse tekeningen 1780-1860","et werken van Hans Holbein de Jonge, Quinten Massys en Albrecht Drer, t/m 8 februari; Uit de <extra_id_0> Knoef, selectie Nederlandse tekeningen 1780-1860",['collectie Ploos van Amstel'],4,7
De beste films en interessantste programma's uit het televisieaanbod van dit weekeinde. Met onder meer,De beste films en interessantste <extra_id_0> het televisieaanbod van dit weekeinde. Met onder meer,"[""programma's uit""]",2,7
"resultaten van het schilderijenonderzoek naar Rotsen bij Villerville-sur-mer van Charles-Franois Daubigny, t/m 23/1",resultaten van het schilderijenonderzoek naar Rotsen bij Villerville-sur-mer van Charles-Franois <extra_id_0> 23/1,"['Daubigny, t/m']",2,7
Schrijver Henk van Straten stapt elke week in de auto bij een min of meer bekende Nederlander. Een enkele keer neemt hij de tram. Deze week:,Schrijver <extra_id_0> elke week in de auto bij een min of meer bekende Nederlander. Een enkele keer neemt hij de tram. Deze week:,['Henk van Straten stapt'],4,7
Aan een nieuwe woning toe? Of wil je juist gunstig verkopen? Bekijk hier hoeveel het modale huis in jouw woonplaats kostte in het,Aan een nieuwe woning toe? Of wil je juist gunstig verkopen? Bekijk hier hoeveel het <extra_id_0> jouw woonplaats kostte in het,['modale huis in'],3,7
' (+) Welke rol speelt afkomst in Nederland? Dat onderzoekt Robert Vuijsje in een reeks interviews.,' (+) Welke rol speelt afkomst in Nederland? Dat onderzoekt <extra_id_0> in een reeks interviews.,['Robert Vuijsje'],2,7
"Berichten verspreiden zich dankzij internet vaak razendsnel, of ze nu kloppen of niet. De Volkskrant gaat op zoek naar hele en halve onwaarheden en probeert de zin van de onzin te scheiden.","Berichten verspreiden zich dankzij internet vaak razendsnel, of ze <extra_id_0> De Volkskrant gaat op zoek naar hele en halve onwaarheden en probeert de zin van de onzin te scheiden.",['nu kloppen of niet.'],5,7
ste aflevering van een serie over honderd belangrijke Nederlanders van deze eeuw. De volgorde is chronologisch (op basis van geboortedatum). Onder het kopje Gepasseerd staan de namen van tijdgenoten die de tophonderd niet hebben bereikt.,ste aflevering van een serie over honderd belangrijke Nederlanders van deze eeuw. De volgorde is chronologisch (op basis van geboortedatum). Onder het kopje Gepasseerd staan <extra_id_0> die de tophonderd niet hebben bereikt.,['de namen van tijdgenoten'],5,7
en Jeanne Prisser bericht over wat zich afspeelt in de voorhoede van de beeldende kunst. Deze week:,en Jeanne Prisser bericht <extra_id_0> afspeelt in de voorhoede van de beeldende kunst. Deze week:,['over wat zich'],3,7
"0 van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere dag met een interessant, bekend persoon het nieuws van de dag door.",0 van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere <extra_id_0> bekend persoon het nieuws van de dag door.,"['dag met een interessant,']",4,7
"oud-gevechtsvlieger Dieter Dengler ontmoette, wist hij meteen dat hij een film over hem zou maken. Het werden er twee:","oud-gevechtsvlieger Dieter Dengler ontmoette, <extra_id_0> dat hij een film over hem zou maken. Het werden er twee:",['wist hij meteen'],3,7
"Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin <extra_id_0>",['te scheiden. Vandaag:'],3,7
"i; di t/m zo 11-17u. Tel. 013-5438300 (www.depont.nl). Utrecht, Centraal Museum (Nicolaaskerkhof 10):",i; di t/m zo 11-17u. Tel. 013-5438300 <extra_id_0> Centraal Museum (Nicolaaskerkhof 10):,"['(www.depont.nl). Utrecht,']",2,7
"Omdat in de zomer de onbedwingbare behoefte ontstaat het water in te gaan, van pierenbad tot diepzee, peilt","Omdat in de zomer de onbedwingbare behoefte ontstaat het water in <extra_id_0> pierenbad tot diepzee, peilt","['te gaan, van']",3,7
