Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
"BN'er@homeNederland zit voorlopig vooral thuis en veel BNers dus ook. Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft","BN'er@homeNederland zit voorlopig vooral thuis en veel BNers dus ook. Wat lezen, <extra_id_0> om de dag door te komen? Vandaag geeft",['luisteren of kijken zij'],4,11
Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. In ons dossier vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 1,Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. <extra_id_0> voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. <extra_id_1> vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 1,"['Dit heeft ook gevolgen', 'In ons dossier']",7,11
"Deze zomer staat in het teken van onze Buitenkansjes! Speel elke dag mee voor nieuwe cadeaus. Van een Stella e-bike (t.w.v  2499,-) tot aan VVV cadeaukaarten, vouchers voor Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","Deze zomer staat in het teken van onze Buitenkansjes! Speel <extra_id_0> voor nieuwe cadeaus. Van een Stella e-bike (t.w.v 2499,-) tot aan VVV <extra_id_1> Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","['elke dag mee', 'cadeaukaarten, vouchers voor']",6,11
. Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,. Meld je <extra_id_0> AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,['aan voor de'],3,11
"Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, mooiste en opvallendste posts van BNers en celebritys.","Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, <extra_id_0> posts van <extra_id_1>","['mooiste en opvallendste', 'BNers en celebritys.']",6,11
.  Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,. Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand <extra_id_0> Deze keer kwamen ze,['tegen het lijf.'],3,11
Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 1,Zorgverleners op de intensive care staan in de frontlinie om <extra_id_0> bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een <extra_id_1> werk. Deel 1,"['het coronavirus te', 'inkijkje in zijn']",6,11
"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.","De beeldredactie ziet dagelijks duizenden <extra_id_0> worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.",['nieuwsfotos. In deze rubriek'],5,10
Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart liveblog te volgen. Hier brengen we je op de hoogte van al het overige WK-nieuws.,Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart <extra_id_0> Hier brengen <extra_id_1> de hoogte van al het overige WK-nieuws.,"['liveblog te volgen.', 'we je op']",6,10
. We houden je op de hoogte in ons liveblog. De gebeurtenissen van de afgelopen dagen lees je hier terug.,. We houden je op de hoogte <extra_id_0> De gebeurtenissen van de afgelopen dagen lees je hier terug.,['in ons liveblog.'],3,10
In de rubriek En nu ik! worden bekenden en onbekenden uit het Groene Hart geportretteerd. Vandaag:,In de rubriek En nu ik! worden bekenden <extra_id_0> uit het Groene Hart geportretteerd. Vandaag:,['en onbekenden'],2,10
Veel sporters berichten graag over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken en delen op social media. Dit artikel wordt gedurende de dag vernieuwd.,<extra_id_0> over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken en delen op social media. Dit artikel wordt gedurende de dag vernieuwd.,['Veel sporters berichten graag'],5,10
In de rubriek Sportbytes houden we in de gaten wat bekende sporters meemaken n delen op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,In de rubriek Sportbytes houden we in de gaten wat bekende <extra_id_0> op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,['sporters meemaken n delen'],4,10
Hoe goed heb jij deze week het nieuws uit Utrecht gevolgd? Speel de quiz en test je kennis met 7 vragen.,Hoe goed heb jij deze <extra_id_0> uit Utrecht gevolgd? Speel de quiz en test je kennis met 7 vragen.,['week het nieuws'],3,10
"<a href=""https://twitter.com/RWSverkeersinfo?ref_src=twsrc%5Etfw"">@RWSverkeersinfo</a> <a href=""https://t.co/","<a href=""https://twitter.com/RWSverkeersinfo?ref_src=twsrc%5Etfw"">@RWSverkeersinfo</a> <a href=""https://t.co/",[],1,10
". <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/",". <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/",[],1,10
"in <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a>","in <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a>",[],1,10
"<a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/","<a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/",[],1,10
Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze <extra_id_0>,['keer kwamen ze'],3,10
"<a href=""https://twitter.com/hashtag/dwdd?src=hash&amp;ref_src=twsrc%5Etfw"">#dwdd</a> <a href=""https://t","<a href=""https://twitter.com/hashtag/dwdd?src=hash&amp;ref_src=twsrc%5Etfw"">#dwdd</a> <a href=""https://t",[],1,10
In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de Oude Kerk zo scheef en wa,In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de <extra_id_0> scheef en wa,['Oude Kerk zo'],3,9
Vrijwel elke dag staat de sportwereld bol van de evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks op een rijtje welke evenementen speciale aandacht verdienen.,Vrijwel elke dag staat de sportwereld bol van de evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks op een rijtje welke evenementen <extra_id_0>,['speciale aandacht verdienen.'],5,9
Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter <extra_id_0>,['het nieuws. Vandaag:'],3,9
"In deze serie zoeken we BNers op die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:","In deze serie zoeken <extra_id_0> die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:",['we BNers op'],3,9
"Het voetbal ligt op Duitsland na in alle grote competities nog stil, maar ondanks de coronacrisis gaan de zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug. 18-05","Het voetbal ligt op Duitsland na in <extra_id_0> stil, maar ondanks de <extra_id_1> zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug. 18-05","['alle grote competities nog', 'coronacrisis gaan de']",7,9
maffia-kopstuk Omar L. te laten ontsnappen. Die poging is mislukt. De politie heeft vier mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,maffia-kopstuk Omar <extra_id_0> ontsnappen. Die poging is mislukt. De politie heeft vier mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,['L. te laten'],3,9
"Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:",Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je <extra_id_0> meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:,"['opvalt, wanneer je om']",5,9
"De zware jongens halen de voorpaginas, de boefjes niet. Sander Sonnemans doet elke week verslag van een doodnormale Rotterdamse rechtszaak.","De zware jongens halen de voorpaginas, de boefjes niet. Sander Sonnemans doet elke week verslag <extra_id_0> Rotterdamse rechtszaak.",['van een doodnormale'],3,9
Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is het nieuws van,Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is <extra_id_0>,['het nieuws van'],3,9
Kamp Amersfoort was in de oorlog voor velen een helse plek. Wie waren zij en wat overkwam hen? In deel,Kamp Amersfoort was <extra_id_0> voor velen een helse plek. Wie waren zij en wat overkwam hen? In deel,['in de oorlog'],3,9
David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen hun lessen voor een leuker leven.,David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen hun <extra_id_0> een leuker leven.,['lessen voor'],2,9
over de voortgang van de coronacrisis. Het kabinet krijgt ruime steun van de bevolking voor de aanpak van het virus.,over de voortgang van de coronacrisis. Het kabinet <extra_id_0> van de bevolking voor de aanpak van het virus.,['krijgt ruime steun'],3,9
"Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane geproduceerd vanuit zogenoemd dragersmateriaal, zoals kleding. De politie heeft zeventien verdachten aangehouden.","Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane geproduceerd vanuit zogenoemd dragersmateriaal, zoals kleding. De <extra_id_0> aangehouden.",['politie heeft zeventien verdachten'],4,9
In de rubriek Van wieg tot graf vertellen we het verhaal achter een familiebericht. Deze keer het levensverhaal van,In de rubriek Van wieg <extra_id_0> we het verhaal achter een familiebericht. Deze keer het levensverhaal van,['tot graf vertellen'],3,9
"maakt elke dag vele afwegingen om de krant, site en app zo goed mogelijk te maken. Hoofdredacteur Paul van den Bosch zal deze journalistieke keuzes op regelmatige basis toelichten op deze plek. Vandaag:",maakt elke dag vele <extra_id_0> site en app zo goed mogelijk te maken. Hoofdredacteur Paul van den Bosch zal deze journalistieke keuzes op regelmatige basis toelichten op deze plek. Vandaag:,"['afwegingen om de krant,']",5,9
"Hans van der Beek doet elke dag verslag van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:","Hans van der Beek <extra_id_0> verslag van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:",['doet elke dag'],3,9
De deelnemers aan de internationale Libi-conferentie in Berlijn zijn het eens geworden over een wapenstilstand in het Noord-Afrikaanse land. Dat melden verschillende Duitse media.,De deelnemers <extra_id_0> in Berlijn zijn het eens geworden over een wapenstilstand in het Noord-Afrikaanse land. Dat melden verschillende Duitse media.,['aan de internationale Libi-conferentie'],4,9
Columnist Dennis Captein schrijft elke zaterdag een column over het leven in Alphen. Vandaag schrijft hij over,<extra_id_0> schrijft elke zaterdag een column over het leven in Alphen. Vandaag schrijft hij over,['Columnist Dennis Captein'],3,9
"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (75) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt <extra_id_0> Omdat acteur Joost Prinsen (75) een eind op weg is, beantwoordt hij uw vragen.",['met de jaren.'],3,9
De transferperiode in Europa is geopend en dus regent het nieuwtjes over spelers die hun contract verlengen of juist wisselen van club. Mis de komende maanden niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,De transferperiode in Europa is geopend en dus regent het nieuwtjes over spelers die hun contract verlengen of juist <extra_id_0> Mis <extra_id_1> niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,"['wisselen van club.', 'de komende maanden']",6,9
Leo van der Velde schrijft wekelijks een brief aan kleindochter Rachel (7) waarin hij haar vertelt over het Den Haag van toen.,Leo van der Velde schrijft wekelijks een brief aan kleindochter Rachel (7) <extra_id_0> vertelt over het Den Haag van toen.,['waarin hij haar'],3,9
"- Elk dorp kent ze: mensen die iets bijzonders doen voor de gemeenschap. In hun werk, hobby of als vrijwilliger. Deze week:","- Elk dorp kent ze: mensen die iets bijzonders doen voor de gemeenschap. In hun werk, <extra_id_0> vrijwilliger. Deze week:",['hobby of als'],3,9
"Het grote graven is weer begonnen! Molloot Gudo Tienhooven deelt elk weekend zijn bevindingen over Wie is de Mol?. Hij praat je bij over complotten, vreemde acties en de laatste theorien.","Het grote graven is weer begonnen! Molloot Gudo Tienhooven deelt elk weekend <extra_id_0> is de Mol?. Hij praat je bij over complotten, vreemde acties en de laatste theorien.",['zijn bevindingen over Wie'],5,9
.  Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,. Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. <extra_id_0> ze,['Deze keer kwamen'],3,9
. Volg alle ontwikkelingen rond het virus in ons liveblog. Hier lees je het vorige blog nog eens terug.,<extra_id_0> ontwikkelingen rond het virus in ons liveblog. Hier lees je het vorige blog nog eens terug.,['. Volg alle'],3,9
Onze verslaggevers Arjan Schouten en Rik Spekenbrink volgen het Formule 1-circuit op de voet. In blogs melden ze wat hen verbaast in de wereld van pks en glitter en glamour.,Onze verslaggevers Arjan Schouten en Rik Spekenbrink volgen het Formule 1-circuit op de voet. In blogs melden ze wat hen verbaast in de <extra_id_0> glitter en glamour.,['wereld van pks en'],4,9
Parlementarirs ondervragen wekelijks op dinsdagmiddag tijdens het vragenuurtje kabinetsleden over actuele kwesties. Vandaag onder meer op de agenda:,Parlementarirs ondervragen wekelijks op dinsdagmiddag tijdens het vragenuurtje kabinetsleden over actuele kwesties. Vandaag onder meer <extra_id_0>,['op de agenda:'],3,9
"lockquote class=""twitter-tweet"" lang=""nl""><p lang=""en"" dir=""ltr""><a href=""https://twitter.com/hashtag/","lockquote class=""twitter-tweet"" lang=""nl""><p <extra_id_0> dir=""ltr""><a href=""https://twitter.com/hashtag/","['lang=""en""']",1,9
17-jarigen: ze staan op de springplank naar volwassenheid. Charlotte de Heij gaat voor deze rubriek in gesprek met zon groentje uit het Groene Hart. Vandaag:,17-jarigen: <extra_id_0> springplank naar volwassenheid. Charlotte de Heij gaat voor deze rubriek in gesprek met zon groentje uit het Groene Hart. Vandaag:,['ze staan op de'],4,9
"Hoewel de sport steeds meer wordt opgestart, houdt het coronavirus een ijzeren greep op de sportwereld. In dit liveblog houden we de laatste nieuwsberichten bij.","Hoewel de sport steeds meer wordt opgestart, houdt het coronavirus een <extra_id_0> sportwereld. In dit liveblog houden we de laatste nieuwsberichten bij.",['ijzeren greep op de'],4,9
. Met behulp van statistiekenbureaus Gracenote en Opta blikken we met de leukste feitjes vooruit op de,. Met <extra_id_0> Gracenote en Opta blikken we met de leukste feitjes vooruit op de,['behulp van statistiekenbureaus'],3,9
"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","<extra_id_0> nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League <extra_id_1> en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","['De Nations League, de', 'B van deze']",7,9
Mensen zitten thuis vanwege het coronavirus. In een serie verhalen vragen we mensen wat dat met ze doet. Vandaag:,Mensen zitten thuis vanwege het coronavirus. <extra_id_0> verhalen vragen we mensen wat dat met ze doet. Vandaag:,['In een serie'],3,9
Vakantie is lekker! Toch? Niet altijd. De mooiste stukjes van Europa worden tegenwoordig onder de voet gelopen door drommen toeristen. Deel,Vakantie is <extra_id_0> altijd. De mooiste stukjes van Europa worden tegenwoordig onder de voet gelopen door drommen toeristen. Deel,['lekker! Toch? Niet'],3,9
"<a href=""https://twitter.com/search?q=%23yolanthetweet&src=hash"">#yolanthetweet</a> <a href=""http://t.co/","<a href=""https://twitter.com/search?q=%23yolanthetweet&src=hash"">#yolanthetweet</a> <a href=""http://t.co/",[],1,9
#shirt #Internationaledagvandevluchteling #refugee #whocares #welkom #marHaban #tshirt #trots #therefugeecompany #koopdatshirt #linkinbio,#shirt #Internationaledagvandevluchteling #refugee <extra_id_0> #marHaban #tshirt #trots #therefugeecompany #koopdatshirt #linkinbio,['#whocares #welkom'],2,9
Sandra Phlippen is chef economie. Elke week behandelt ze een onderwerp dat haar opvalt in de economie.,Sandra Phlippen is chef economie. Elke week behandelt ze een onderwerp dat <extra_id_0> de economie.,['haar opvalt in'],3,8
"Het centrum van Den Haag is vanochtend afgesloten door het leger met vrachtwagens en roadblocks voor de komst van duizenden boeren die demonstreren tegen de stikstofregels. Trams en bussen rijden om, autos kunnen de binnenstad niet meer in of uit. Volg de ontwikkelingen in ons liveblog.","<extra_id_0> Haag is vanochtend afgesloten door het leger met vrachtwagens en roadblocks voor de komst van duizenden boeren die demonstreren tegen de stikstofregels. <extra_id_1> rijden om, autos kunnen de binnenstad niet meer in of uit. Volg de ontwikkelingen in ons liveblog.","['Het centrum van Den', 'Trams en bussen']",7,8
worden getest. Dit betekent dat de aantallen een minder goed beeld geven van de verspreiding van het coronavirus dan in de eerste dagen.,worden getest. Dit betekent dat de aantallen een minder goed beeld geven van de verspreiding van het coronavirus dan <extra_id_0> dagen.,['in de eerste'],3,8
"Is het nou mooi, of lelijk? Of eigenlijk allebei? Journalist en schrijver Mark van Wonderen trekt de regio in op zoek naar plekken die misschien niet het aantrekkelijkst zijn, maar die wel een verhaal vertellen. Vandaag aflevering","<extra_id_0> mooi, of lelijk? Of eigenlijk allebei? Journalist en schrijver Mark van Wonderen trekt <extra_id_1> op zoek naar plekken die misschien niet het aantrekkelijkst zijn, maar die wel een verhaal vertellen. Vandaag aflevering","['Is het nou', 'de regio in']",6,8
 VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,VAN DE <extra_id_0> en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,['STRAATFotograaf Maartje Brockbernd'],3,8
De transferperiode in Europa kruipt richting het einde en dus regent het nieuwtjes over spelers die nog wisselen van club. Mis de komende weken niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,De transferperiode in Europa kruipt richting het einde en dus regent het nieuwtjes over spelers die nog wisselen <extra_id_0> komende weken niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,['van club. Mis de'],5,8
De Britse premier Theresa May stelt de voor morgen geplande stemming over het brexitakkoord in het Lagerhuis op het laatste moment uit.,De Britse premier Theresa May stelt de voor morgen geplande stemming over het brexitakkoord in het Lagerhuis <extra_id_0> moment uit.,['op het laatste'],3,8
"Nederland zit voorlopig vooral thuis en veel BNers dus ook. Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft",Nederland zit voorlopig vooral thuis en veel BNers dus ook. Wat <extra_id_0> zij om de dag door te komen? Vandaag geeft,"['lezen, luisteren of kijken']",4,8
"</a> <a href=""https://twitter.com/hashtag/Rotterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Rotterdam</a>","</a> <a href=""https://twitter.com/hashtag/Rotterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Rotterdam</a>",[],1,8
Als gevolg van een ernstige mishandeling in een woonwijk in Assen is vandaag een man overleden. Vijf omwonenden zijn opgepakt. Volgens de politie waren de vijf op de man afgegaan omdat ze hem verdachten van een zedendelict.,Als gevolg van <extra_id_0> in een woonwijk in Assen is vandaag een man overleden. Vijf omwonenden <extra_id_1> de politie waren de vijf op de man afgegaan omdat ze hem verdachten van een zedendelict.,"['een ernstige mishandeling', 'zijn opgepakt. Volgens']",6,8
"Het eiland Tiengemeten in het Haringvliet was eeuwenlang een agrarisch eldorado. Een gesoleerd thuis ook voor boeren(knechten), dienstbodes, vrijbuiters en weekenders. Totdat het een natuureiland werd en voor de",Het eiland Tiengemeten in het Haringvliet was eeuwenlang een agrarisch eldorado. Een gesoleerd thuis <extra_id_0> vrijbuiters en weekenders. Totdat het een natuureiland werd en voor de,"['ook voor boeren(knechten), dienstbodes,']",4,8
BlogVerslaggevers Tim Reedijk en Danil Dwarswaard volgen de voetbalsters van Oranje tijdens het WK in Frankrijk. Dagelijks schrijven ze een blog over wat hen opvalt en bezighoudt. Vandaag:,BlogVerslaggevers Tim Reedijk en Danil Dwarswaard volgen de voetbalsters van Oranje tijdens het WK in Frankrijk. Dagelijks schrijven ze een blog over wat hen opvalt <extra_id_0>,['en bezighoudt. Vandaag:'],4,8
"Wekelijks worden we bedolven onder de nieuwe films, boeken, muziek, festivals, dvds en games. Tijd om het kaf van het koren te scheiden. Met deze week:","Wekelijks worden we <extra_id_0> films, boeken, muziek, festivals, dvds en games. Tijd om het kaf van het koren te scheiden. Met deze week:",['bedolven onder de nieuwe'],4,8
"Sara, de anderhalf jaar oude dochter van Emine en Bram Verbrugge, heeft de zeldzame spierziekte MDC1A waarvoor geen behandeling bestaat. Vader Bram doet verslag. Vandaag deel","Sara, de anderhalf jaar oude dochter van Emine en Bram Verbrugge, heeft de zeldzame spierziekte MDC1A waarvoor geen behandeling bestaat. Vader Bram doet <extra_id_0>",['verslag. Vandaag deel'],4,8
Miljoenen Nederlanders herontdekken deze maand hun eigen land. Edwin Winkels is een van hen. Hij doet dagelijks verslag. Vandaag deel,Miljoenen Nederlanders herontdekken deze maand hun eigen <extra_id_0> is een van hen. Hij doet dagelijks verslag. Vandaag deel,['land. Edwin Winkels'],3,8
"HET VOETSTUK In de rubriek Het voetstuk zet Sjoerd Marcelissen iemand die positief is opgevallen op een voetstuk. En iemand die negatief is opgevallen, laat hij eraf vallen. In pittige stukjes met een vleugje humor.","HET VOETSTUK In de rubriek Het voetstuk zet Sjoerd <extra_id_0> is opgevallen op een voetstuk. En iemand die negatief is opgevallen, laat hij eraf vallen. In pittige stukjes met een vleugje humor.",['Marcelissen iemand die positief'],5,8
RecensieOnze redactie maakt je wegwijs in het actuele aanbod van series. Wat moet je gezien hebben en waarom? Vandaag een,RecensieOnze redactie maakt je wegwijs in het actuele aanbod van series. Wat moet je gezien <extra_id_0> Vandaag een,['hebben en waarom?'],3,8
"In deze serie zoeken we BNers op die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:","In <extra_id_0> we BNers op die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:",['deze serie zoeken'],3,8
