Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq10-0,small,"De eerste race van het seizoen zit er op, maar wanneer mogen we ons weer verheugen op Max Verstappen en co? Bekijk hieronder de F1-kalender en zie gelijk hoe laat de wekker gezet moet worden.","De eerste race <extra_id_0> er op, maar wanneer mogen we ons weer verheugen op Max Verstappen en co? Bekijk hieronder de F1-kalender en zie gelijk hoe laat de wekker gezet moet worden.","De eerste race r er op, maar wanneer mogen we ons weer verheugen op Max Verstappen en co? Bekijk hieronder de F1-kalender en zie gelijk hoe laat de wekker gezet moet worden.",['van het seizoen zit'],['r'],5,12,[1.0],1.0
seq11-0,small,"BN'er@homeNederland zit voorlopig vooral thuis en veel BNers dus ook. Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft","BN'er@homeNederland zit voorlopig vooral thuis en veel BNers dus ook. Wat lezen, <extra_id_0> om de dag door te komen? Vandaag geeft","BN'er@homeNederland zit voorlopig vooral thuis en veel BNers dus ook. Wat lezen, om om de dag door te komen? Vandaag geeft",['luisteren of kijken zij'],['om'],4,11,[0.9565217391304348],0.96
seq12-0,small,Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. In ons dossier vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 1,Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. <extra_id_0> voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. <extra_id_1> vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 1,Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. De voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. De vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 1,"['Dit heeft ook gevolgen', 'In ons dossier']","['De', 'De']",7,11,"[0.9090909090909091, 0.9285714285714286]",0.92
seq13-0,small,"Deze zomer staat in het teken van onze Buitenkansjes! Speel elke dag mee voor nieuwe cadeaus. Van een Stella e-bike (t.w.v  2499,-) tot aan VVV cadeaukaarten, vouchers voor Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","Deze zomer staat in het teken van onze Buitenkansjes! Speel <extra_id_0> voor nieuwe cadeaus. Van een Stella e-bike (t.w.v 2499,-) tot aan VVV <extra_id_1> Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","Deze zomer staat in het teken van onze Buitenkansjes! Speel voor voor nieuwe cadeaus. Van een Stella e-bike (t.w.v 2499,-) tot aan VVV VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV</s> Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","['elke dag mee', 'cadeaukaarten', 'vouchers voor']","['voor', 'VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV</s>']",6,11,"[1.0, 1.0]",1.0
seq14-0,small,. Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,. Meld je <extra_id_0> AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,. Meld je en AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,['aan voor de'],['en'],3,11,[0.9090909090909091],0.91
seq15-0,small,"Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, mooiste en opvallendste posts van BNers en celebritys.","Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, <extra_id_0> posts van <extra_id_1>","Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, het web posts van de sterren.","['mooiste en opvallendste', 'BNers en celebritys.']","['het web', 'sterren.']",6,11,"[0.8695652173913043, 0.75]",0.81
seq16-0,small,.  Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,. Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand <extra_id_0> Deze keer kwamen ze,. Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand Robin Deze keer kwamen ze,['tegen het lijf.'],['Robin'],3,11,[0.9333333333333333],0.93
seq17-0,small,Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 1,Zorgverleners op de intensive care staan in de frontlinie om <extra_id_0> bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een <extra_id_1> werk. Deel 1,Zorgverleners op de intensive care staan in de frontlinie om de bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een het werk. Deel 1,"['het coronavirus te', 'inkijkje in zijn']","['de', 'het']",6,11,"[0.9444444444444444, 0.9375]",0.94
seq18-0,small,"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.","De beeldredactie ziet dagelijks duizenden <extra_id_0> worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.","De beeldredactie ziet dagelijks duizenden en een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een e</s> worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.",['nieuwsfotos. In deze rubriek'],['en een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een e</s>'],5,10,[0.9407894736842105],0.94
seq19-0,small,Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart liveblog te volgen. Hier brengen we je op de hoogte van al het overige WK-nieuws.,Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart <extra_id_0> Hier brengen <extra_id_1> de hoogte van al het overige WK-nieuws.,Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart Hier brengen zijn de hoogte van al het overige WK-nieuws.,"['liveblog te volgen.', 'we je op']","['', 'zijn']",6,10,"[1.0, 0.875]",0.94
seq20-0,small,. We houden je op de hoogte in ons liveblog. De gebeurtenissen van de afgelopen dagen lees je hier terug.,. We houden je op de hoogte <extra_id_0> De gebeurtenissen van de afgelopen dagen lees je hier terug.,. We houden je op de hoogte De gebeurtenissen van de afgelopen dagen lees je hier terug.,['in ons liveblog.'],[''],3,10,[1.0],1.0
seq21-0,small,In de rubriek En nu ik! worden bekenden en onbekenden uit het Groene Hart geportretteerd. Vandaag:,In de rubriek En nu ik! worden bekenden <extra_id_0> uit het Groene Hart geportretteerd. Vandaag:,In de rubriek En nu ik! worden bekenden uit uit het Groene Hart geportretteerd. Vandaag:,['en onbekenden'],['uit'],2,10,[1.0],1.0
seq22-0,small,Veel sporters berichten graag over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken en delen op social media. Dit artikel wordt gedurende de dag vernieuwd.,<extra_id_0> over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken en delen op social media. Dit artikel wordt gedurende de dag vernieuwd.,d over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken en delen op social media. Dit artikel wordt gedurende de dag vernieuwd.,['Veel sporters berichten graag'],['d'],5,10,[1.0],1.0
seq23-0,small,In de rubriek Sportbytes houden we in de gaten wat bekende sporters meemaken n delen op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,In de rubriek Sportbytes houden we in de gaten wat bekende <extra_id_0> op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,In de rubriek Sportbytes houden we in de gaten wat bekende artikel op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,['sporters meemaken n delen'],['artikel'],4,10,[0.8],0.8
seq24-0,small,Hoe goed heb jij deze week het nieuws uit Utrecht gevolgd? Speel de quiz en test je kennis met 7 vragen.,Hoe goed heb jij deze <extra_id_0> uit Utrecht gevolgd? Speel de quiz en test je kennis met 7 vragen.,Hoe goed heb jij deze uit uit Utrecht gevolgd? Speel de quiz en test je kennis met 7 vragen.,['week het nieuws'],['uit'],3,10,[0.9333333333333333],0.93
seq25-0,small,"<a href=""https://twitter.com/RWSverkeersinfo?ref_src=twsrc%5Etfw"">@RWSverkeersinfo</a> <a href=""https://t.co/","<a href=""https://twitter.com/RWSverkeersinfo?ref_src=twsrc%5Etfw"">@RWSverkeersinfo</a> <a href=""https://t.co/","<a href=""https://twitter.com/RWSverkeersinfo?ref_src=twsrc%5Etfw"">@RWSverkeersinfo</a> <a href=""https://t.co/",[''],[],1,10,[],
seq26-0,small,". <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/",". <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/",". <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/",[''],[],1,10,[],
seq27-0,small,"in <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a>","in <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a>","in <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a>",[''],[],1,10,[],
seq28-0,small,"<a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/","<a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/","<a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/",[''],[],1,10,[],
seq29-0,small,Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze <extra_id_0>,Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze en een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een.,['keer kwamen ze'],['een.'],3,10,[0.7857142857142857],0.79
seq30-0,small,"<a href=""https://twitter.com/hashtag/dwdd?src=hash&amp;ref_src=twsrc%5Etfw"">#dwdd</a> <a href=""https://t","<a href=""https://twitter.com/hashtag/dwdd?src=hash&amp;ref_src=twsrc%5Etfw"">#dwdd</a> <a href=""https://t","<a href=""https://twitter.com/hashtag/dwdd?src=hash&amp;ref_src=twsrc%5Etfw"">#dwdd</a> <a href=""https://t",[''],[],1,10,[],
seq31-0,small,In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de Oude Kerk zo scheef en wa,In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de <extra_id_0> scheef en wa,In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de hand scheef en wa,['Oude Kerk zo'],['hand'],3,9,[1.0],1.0
seq32-0,small,Vrijwel elke dag staat de sportwereld bol van de evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks op een rijtje welke evenementen speciale aandacht verdienen.,Vrijwel elke dag staat de sportwereld bol van de evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks op een rijtje welke evenementen <extra_id_0>,Vrijwel elke dag staat de sportwereld bol van de evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks op een rijtje welke evenementen,['speciale aandacht verdienen.'],[''],5,9,[1.0],1.0
seq33-0,small,Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter <extra_id_0>,Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter,['het nieuws. Vandaag:'],[''],3,9,[1.0],1.0
seq34-0,small,"In deze serie zoeken we BNers op die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:","In deze serie zoeken <extra_id_0> die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:","In deze serie zoeken die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:",['we BNers op'],[''],3,9,[1.0],1.0
seq35-0,small,"Het voetbal ligt op Duitsland na in alle grote competities nog stil, maar ondanks de coronacrisis gaan de zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug. 18-05","Het voetbal ligt op Duitsland na in <extra_id_0> stil, maar ondanks de <extra_id_1> zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug. 18-05","Het voetbal ligt op Duitsland na in danks stil, maar ondanks de transfergeruchten zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug. 18-05","['alle grote competities nog', 'coronacrisis gaan de']","['danks', 'transfergeruchten']",7,9,"[0.9615384615384616, 0.85]",0.91
seq36-0,small,maffia-kopstuk Omar L. te laten ontsnappen. Die poging is mislukt. De politie heeft vier mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,maffia-kopstuk Omar <extra_id_0> ontsnappen. Die poging is mislukt. De politie heeft vier mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,maffia-kopstuk Omar op ontsnappen. Die poging is mislukt. De politie heeft vier mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,['L. te laten'],['op'],3,9,[1.0],1.0
seq37-0,small,"Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:",Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je <extra_id_0> meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:,Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je en meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:,"['opvalt', 'wanneer je om']",['en'],5,9,[1.0],1.0
seq38-0,small,"De zware jongens halen de voorpaginas, de boefjes niet. Sander Sonnemans doet elke week verslag van een doodnormale Rotterdamse rechtszaak.","De zware jongens halen de voorpaginas, de boefjes niet. Sander Sonnemans doet elke week verslag <extra_id_0> Rotterdamse rechtszaak.","De zware jongens halen de voorpaginas, de boefjes niet. Sander Sonnemans doet elke week verslag Rotterdamse rechtszaak.",['van een doodnormale'],[''],3,9,[1.0],1.0
seq39-0,small,Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is het nieuws van,Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is <extra_id_0>,Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is het het omstreken?,['het nieuws van'],['omstreken?'],3,9,[0.9285714285714286],0.93
seq40-0,small,Kamp Amersfoort was in de oorlog voor velen een helse plek. Wie waren zij en wat overkwam hen? In deel,Kamp Amersfoort was <extra_id_0> voor velen een helse plek. Wie waren zij en wat overkwam hen? In deel,Kamp Amersfoort was voor voor velen een helse plek. Wie waren zij en wat overkwam hen? In deel,['in de oorlog'],['voor'],3,9,[0.75],0.75
seq41-0,small,David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen hun lessen voor een leuker leven.,David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen hun <extra_id_0> een leuker leven.,David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen hun een een leuker leven.,['lessen voor'],['een'],2,9,[0.7272727272727273],0.73
seq42-0,small,over de voortgang van de coronacrisis. Het kabinet krijgt ruime steun van de bevolking voor de aanpak van het virus.,over de voortgang van de coronacrisis. Het kabinet <extra_id_0> van de bevolking voor de aanpak van het virus.,over de voortgang van de coronacrisis. Het kabinet voor de voortgang van de bevolking voor de aanpak van het virus.,['krijgt ruime steun'],['voor de voortgang'],3,9,[0.8888888888888888],0.89
seq43-0,small,"Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane geproduceerd vanuit zogenoemd dragersmateriaal, zoals kleding. De politie heeft zeventien verdachten aangehouden.","Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane geproduceerd vanuit zogenoemd dragersmateriaal, zoals kleding. De <extra_id_0> aangehouden.","Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane geproduceerd vanuit zogenoemd dragersmateriaal, zoals kleding. De grootste cocanewasserij in Nederland aangehouden.",['politie heeft zeventien verdachten'],['grootste cocanewasserij in Nederland'],4,9,[0.7777777777777778],0.78
seq44-0,small,In de rubriek Van wieg tot graf vertellen we het verhaal achter een familiebericht. Deze keer het levensverhaal van,In de rubriek Van wieg <extra_id_0> we het verhaal achter een familiebericht. Deze keer het levensverhaal van,In de rubriek Van wieg t we het verhaal achter een familiebericht. Deze keer het levensverhaal van,['tot graf vertellen'],['t'],3,9,[0.9444444444444444],0.94
seq45-0,small,"maakt elke dag vele afwegingen om de krant, site en app zo goed mogelijk te maken. Hoofdredacteur Paul van den Bosch zal deze journalistieke keuzes op regelmatige basis toelichten op deze plek. Vandaag:",maakt elke dag vele <extra_id_0> site en app zo goed mogelijk te maken. Hoofdredacteur Paul van den Bosch zal deze journalistieke keuzes op regelmatige basis toelichten op deze plek. Vandaag:,maakt elke dag vele en site en app zo goed mogelijk te maken. Hoofdredacteur Paul van den Bosch zal deze journalistieke keuzes op regelmatige basis toelichten op deze plek. Vandaag:,"['afwegingen om de krant,']",['en'],5,9,[0.9130434782608695],0.91
seq46-0,small,"Hans van der Beek doet elke dag verslag van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:","Hans van der Beek <extra_id_0> verslag van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:","Hans van der Beek : Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der</s> verslag van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:",['doet elke dag'],[': Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der Beek: Hans van der</s>'],3,9,[0.975],0.97
seq47-0,small,De deelnemers aan de internationale Libi-conferentie in Berlijn zijn het eens geworden over een wapenstilstand in het Noord-Afrikaanse land. Dat melden verschillende Duitse media.,De deelnemers <extra_id_0> in Berlijn zijn het eens geworden over een wapenstilstand in het Noord-Afrikaanse land. Dat melden verschillende Duitse media.,De deelnemers e media in Berlijn zijn het eens geworden over een wapenstilstand in het Noord-Afrikaanse land. Dat melden verschillende Duitse media.,['aan de internationale Libi-conferentie'],['e media'],4,9,[0.868421052631579],0.87
seq48-0,small,Columnist Dennis Captein schrijft elke zaterdag een column over het leven in Alphen. Vandaag schrijft hij over,<extra_id_0> schrijft elke zaterdag een column over het leven in Alphen. Vandaag schrijft hij over,schrijft schrijft elke zaterdag een column over het leven in Alphen. Vandaag schrijft hij over,['Columnist Dennis Captein'],['schrijft'],3,9,[0.875],0.88
seq49-0,small,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (75) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt <extra_id_0> Omdat acteur Joost Prinsen (75) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt Omdat acteur Joost Prinsen (75) een eind op weg is, beantwoordt hij uw vragen.",['met de jaren.'],[''],3,9,[1.0],1.0
seq50-0,small,De transferperiode in Europa is geopend en dus regent het nieuwtjes over spelers die hun contract verlengen of juist wisselen van club. Mis de komende maanden niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,De transferperiode in Europa is geopend en dus regent het nieuwtjes over spelers die hun contract verlengen of juist <extra_id_0> Mis <extra_id_1> niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,De transferperiode in Europa is geopend en dus regent het nieuwtjes over spelers die hun contract verlengen of juist s. Mis t niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,"['wisselen van club.', 'de komende maanden']","['s.', 't']",6,9,"[0.8888888888888888, 1.0]",0.94
