Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq13-0,base,"Deze zomer staat in het teken van onze Buitenkansjes! Speel elke dag mee voor nieuwe cadeaus. Van een Stella e-bike (t.w.v  2499,-) tot aan VVV cadeaukaarten, vouchers voor Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","Deze zomer staat in het teken van onze Buitenkansjes! Speel <extra_id_0> voor nieuwe cadeaus. Van een Stella e-bike (t.w.v 2499,-) tot aan VVV <extra_id_1> Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","Deze zomer staat in het teken van onze Buitenkansjes! Speel t voor nieuwe cadeaus. Van een Stella e-bike (t.w.v 2499,-) tot aan VVV V Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","['elke dag mee', 'cadeaukaarten', 'vouchers voor']","['t', 'V']",6,11,"[1.0, 1.0]",1.0
seq14-0,base,. Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,. Meld je <extra_id_0> AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,. Meld je het AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,['aan voor de'],['het'],3,11,[1.0],1.0
seq15-0,base,"Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, mooiste en opvallendste posts van BNers en celebritys.","Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, <extra_id_0> posts van <extra_id_1>","Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, en het posts van de sterren.","['mooiste en opvallendste', 'BNers en celebritys.']","['en het', 'sterren.']",6,11,"[0.782608695652174, 0.75]",0.77
seq16-0,base,.  Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,. Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand <extra_id_0> Deze keer kwamen ze,. Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand Deze keer kwamen ze,['tegen het lijf.'],[''],3,11,[1.0],1.0
seq17-0,base,Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 1,Zorgverleners op de intensive care staan in de frontlinie om <extra_id_0> bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een <extra_id_1> werk. Deel 1,Zorgverleners op de intensive care staan in de frontlinie om de ic bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een een een een een werk. Deel 1,"['het coronavirus te', 'inkijkje in zijn']","['de ic', 'een een een een']",6,11,"[0.8333333333333334, 0.75]",0.79
seq18-0,base,"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.","De beeldredactie ziet dagelijks duizenden <extra_id_0> worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.","De beeldredactie ziet dagelijks duizenden en worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.",['nieuwsfotos. In deze rubriek'],['en'],5,10,[0.9285714285714286],0.93
seq19-0,base,Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart liveblog te volgen. Hier brengen we je op de hoogte van al het overige WK-nieuws.,Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart <extra_id_0> Hier brengen <extra_id_1> de hoogte van al het overige WK-nieuws.,Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart ement. Hier brengen er de hoogte van al het overige WK-nieuws.,"['liveblog te volgen.', 'we je op']","['ement.', 'er']",6,10,"[0.8421052631578947, 0.875]",0.86
seq20-0,base,. We houden je op de hoogte in ons liveblog. De gebeurtenissen van de afgelopen dagen lees je hier terug.,. We houden je op de hoogte <extra_id_0> De gebeurtenissen van de afgelopen dagen lees je hier terug.,. We houden je op de hoogte De gebeurtenissen van de afgelopen dagen lees je hier terug.,['in ons liveblog.'],[''],3,10,[1.0],1.0
seq21-0,base,In de rubriek En nu ik! worden bekenden en onbekenden uit het Groene Hart geportretteerd. Vandaag:,In de rubriek En nu ik! worden bekenden <extra_id_0> uit het Groene Hart geportretteerd. Vandaag:,In de rubriek En nu ik! worden bekenden uit het Groene Hart geportretteerd. Vandaag:,['en onbekenden'],[''],2,10,[1.0],1.0
seq22-0,base,Veel sporters berichten graag over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken en delen op social media. Dit artikel wordt gedurende de dag vernieuwd.,<extra_id_0> over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken en delen op social media. Dit artikel wordt gedurende de dag vernieuwd.,t over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken en delen op social media. Dit artikel wordt gedurende de dag vernieuwd.,['Veel sporters berichten graag'],['t'],5,10,[0.9655172413793104],0.97
seq23-0,base,In de rubriek Sportbytes houden we in de gaten wat bekende sporters meemaken n delen op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,In de rubriek Sportbytes houden we in de gaten wat bekende <extra_id_0> op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,In de rubriek Sportbytes houden we in de gaten wat bekende artikel op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,['sporters meemaken n delen'],['artikel'],4,10,[0.8],0.8
seq24-0,base,Hoe goed heb jij deze week het nieuws uit Utrecht gevolgd? Speel de quiz en test je kennis met 7 vragen.,Hoe goed heb jij deze <extra_id_0> uit Utrecht gevolgd? Speel de quiz en test je kennis met 7 vragen.,Hoe goed heb jij deze quiz uit Utrecht gevolgd? Speel de quiz en test je kennis met 7 vragen.,['week het nieuws'],['quiz'],3,10,[0.9333333333333333],0.93
seq25-0,base,"<a href=""https://twitter.com/RWSverkeersinfo?ref_src=twsrc%5Etfw"">@RWSverkeersinfo</a> <a href=""https://t.co/","<a href=""https://twitter.com/RWSverkeersinfo?ref_src=twsrc%5Etfw"">@RWSverkeersinfo</a> <a href=""https://t.co/","<a href=""https://twitter.com/RWSverkeersinfo?ref_src=twsrc%5Etfw"">@RWSverkeersinfo</a> <a href=""https://t.co/",[''],[],1,10,[],
seq26-0,base,". <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/",". <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/",". <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/",[''],[],1,10,[],
seq27-0,base,"in <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a>","in <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a>","in <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a>",[''],[],1,10,[],
seq28-0,base,"<a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/","<a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/","<a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/",[''],[],1,10,[],
seq29-0,base,Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze <extra_id_0>,Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze lijf.,['keer kwamen ze'],['lijf.'],3,10,[1.0],1.0
seq30-0,base,"<a href=""https://twitter.com/hashtag/dwdd?src=hash&amp;ref_src=twsrc%5Etfw"">#dwdd</a> <a href=""https://t","<a href=""https://twitter.com/hashtag/dwdd?src=hash&amp;ref_src=twsrc%5Etfw"">#dwdd</a> <a href=""https://t","<a href=""https://twitter.com/hashtag/dwdd?src=hash&amp;ref_src=twsrc%5Etfw"">#dwdd</a> <a href=""https://t",[''],[],1,10,[],
seq31-0,base,In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de Oude Kerk zo scheef en wa,In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de <extra_id_0> scheef en wa,In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de hand scheef en wa,['Oude Kerk zo'],['hand'],3,9,[1.0],1.0
seq32-0,base,Vrijwel elke dag staat de sportwereld bol van de evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks op een rijtje welke evenementen speciale aandacht verdienen.,Vrijwel elke dag staat de sportwereld bol van de evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks op een rijtje welke evenementen <extra_id_0>,Vrijwel elke dag staat de sportwereld bol van de evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks op een rijtje welke evenementen,['speciale aandacht verdienen.'],[''],5,9,[1.0],1.0
seq33-0,base,Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter <extra_id_0>,Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter,['het nieuws. Vandaag:'],[''],3,9,[1.0],1.0
seq34-0,base,"In deze serie zoeken we BNers op die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:","In deze serie zoeken <extra_id_0> die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:","In deze serie zoeken het podium die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:",['we BNers op'],['het podium'],3,9,[0.9090909090909091],0.91
seq35-0,base,"Het voetbal ligt op Duitsland na in alle grote competities nog stil, maar ondanks de coronacrisis gaan de zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug. 18-05","Het voetbal ligt op Duitsland na in <extra_id_0> stil, maar ondanks de <extra_id_1> zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug. 18-05","Het voetbal ligt op Duitsland na in de stil, maar ondanks de transfer zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug. 18-05","['alle grote competities nog', 'coronacrisis gaan de']","['de', 'transfer']",7,9,"[0.9615384615384616, 0.85]",0.91
seq36-0,base,maffia-kopstuk Omar L. te laten ontsnappen. Die poging is mislukt. De politie heeft vier mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,maffia-kopstuk Omar <extra_id_0> ontsnappen. Die poging is mislukt. De politie heeft vier mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,maffia-kopstuk Omar Al-Ahmad ontsnappen. Die poging is mislukt. De politie heeft vier mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,['L. te laten'],['Al-Ahmad'],3,9,[0.9090909090909091],0.91
seq37-0,base,"Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:",Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je <extra_id_0> meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:,Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je het meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:,"['opvalt', 'wanneer je om']",['het'],5,9,[0.8333333333333334],0.83
seq38-0,base,"De zware jongens halen de voorpaginas, de boefjes niet. Sander Sonnemans doet elke week verslag van een doodnormale Rotterdamse rechtszaak.","De zware jongens halen de voorpaginas, de boefjes niet. Sander Sonnemans doet elke week verslag <extra_id_0> Rotterdamse rechtszaak.","De zware jongens halen de voorpaginas, de boefjes niet. Sander Sonnemans doet elke week verslag en, Rotterdamse rechtszaak.",['van een doodnormale'],"['en,']",3,9,[0.8947368421052632],0.89
seq39-0,base,Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is het nieuws van,Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is <extra_id_0>,Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is echt echt echt.,['het nieuws van'],['echt.'],3,9,[0.9285714285714286],0.93
seq40-0,base,Kamp Amersfoort was in de oorlog voor velen een helse plek. Wie waren zij en wat overkwam hen? In deel,Kamp Amersfoort was <extra_id_0> voor velen een helse plek. Wie waren zij en wat overkwam hen? In deel,Kamp Amersfoort was het voor velen een helse plek. Wie waren zij en wat overkwam hen? In deel,['in de oorlog'],['het'],3,9,[0.9166666666666666],0.92
seq41-0,base,David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen hun lessen voor een leuker leven.,David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen hun <extra_id_0> een leuker leven.,David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen hun en een leuker leven.,['lessen voor'],['en'],2,9,[0.8181818181818182],0.82
seq42-0,base,over de voortgang van de coronacrisis. Het kabinet krijgt ruime steun van de bevolking voor de aanpak van het virus.,over de voortgang van de coronacrisis. Het kabinet <extra_id_0> van de bevolking voor de aanpak van het virus.,over de voortgang van de coronacrisis. Het kabinet is van de bevolking voor de aanpak van het virus.,['krijgt ruime steun'],['is'],3,9,[0.8888888888888888],0.89
seq43-0,base,"Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane geproduceerd vanuit zogenoemd dragersmateriaal, zoals kleding. De politie heeft zeventien verdachten aangehouden.","Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane geproduceerd vanuit zogenoemd dragersmateriaal, zoals kleding. De <extra_id_0> aangehouden.","Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane geproduceerd vanuit zogenoemd dragersmateriaal, zoals kleding. De ze zijn aangehouden.",['politie heeft zeventien verdachten'],['ze zijn'],4,9,[0.8529411764705882],0.85
seq44-0,base,In de rubriek Van wieg tot graf vertellen we het verhaal achter een familiebericht. Deze keer het levensverhaal van,In de rubriek Van wieg <extra_id_0> we het verhaal achter een familiebericht. Deze keer het levensverhaal van,In de rubriek Van wieg t we het verhaal achter een familiebericht. Deze keer het levensverhaal van,['tot graf vertellen'],['t'],3,9,[0.9444444444444444],0.94
seq45-0,base,"maakt elke dag vele afwegingen om de krant, site en app zo goed mogelijk te maken. Hoofdredacteur Paul van den Bosch zal deze journalistieke keuzes op regelmatige basis toelichten op deze plek. Vandaag:",maakt elke dag vele <extra_id_0> site en app zo goed mogelijk te maken. Hoofdredacteur Paul van den Bosch zal deze journalistieke keuzes op regelmatige basis toelichten op deze plek. Vandaag:,maakt elke dag vele een site en app zo goed mogelijk te maken. Hoofdredacteur Paul van den Bosch zal deze journalistieke keuzes op regelmatige basis toelichten op deze plek. Vandaag:,"['afwegingen om de krant,']",['een'],5,9,[0.8695652173913043],0.87
seq46-0,base,"Hans van der Beek doet elke dag verslag van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:","Hans van der Beek <extra_id_0> verslag van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:","Hans van der Beek : verslag van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:",['doet elke dag'],[':'],3,9,[1.0],1.0
seq47-0,base,De deelnemers aan de internationale Libi-conferentie in Berlijn zijn het eens geworden over een wapenstilstand in het Noord-Afrikaanse land. Dat melden verschillende Duitse media.,De deelnemers <extra_id_0> in Berlijn zijn het eens geworden over een wapenstilstand in het Noord-Afrikaanse land. Dat melden verschillende Duitse media.,De deelnemers e media in Berlijn zijn het eens geworden over een wapenstilstand in het Noord-Afrikaanse land. Dat melden verschillende Duitse media.,['aan de internationale Libi-conferentie'],['e media'],4,9,[0.868421052631579],0.87
seq48-0,base,Columnist Dennis Captein schrijft elke zaterdag een column over het leven in Alphen. Vandaag schrijft hij over,<extra_id_0> schrijft elke zaterdag een column over het leven in Alphen. Vandaag schrijft hij over,Vandaag schrijft elke zaterdag een column over het leven in Alphen. Vandaag schrijft hij over,['Columnist Dennis Captein'],['Vandaag'],3,9,[0.9166666666666666],0.92
seq49-0,base,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (75) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt <extra_id_0> Omdat acteur Joost Prinsen (75) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt Omdat acteur Joost Prinsen (75) een eind op weg is, beantwoordt hij uw vragen.",['met de jaren.'],[''],3,9,[1.0],1.0
seq50-0,base,De transferperiode in Europa is geopend en dus regent het nieuwtjes over spelers die hun contract verlengen of juist wisselen van club. Mis de komende maanden niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,De transferperiode in Europa is geopend en dus regent het nieuwtjes over spelers die hun contract verlengen of juist <extra_id_0> Mis <extra_id_1> niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,De transferperiode in Europa is geopend en dus regent het nieuwtjes over spelers die hun contract verlengen of juist e. Mis t het niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,"['wisselen van club.', 'de komende maanden']","['e.', 't het']",6,9,"[0.8888888888888888, 0.8888888888888888]",0.89
seq51-0,base,Leo van der Velde schrijft wekelijks een brief aan kleindochter Rachel (7) waarin hij haar vertelt over het Den Haag van toen.,Leo van der Velde schrijft wekelijks een brief aan kleindochter Rachel (7) <extra_id_0> vertelt over het Den Haag van toen.,Leo van der Velde schrijft wekelijks een brief aan kleindochter Rachel (7) die vertelt over het Den Haag van toen.,['waarin hij haar'],['die'],3,9,[0.9333333333333333],0.93
seq52-0,base,"- Elk dorp kent ze: mensen die iets bijzonders doen voor de gemeenschap. In hun werk, hobby of als vrijwilliger. Deze week:","- Elk dorp kent ze: mensen die iets bijzonders doen voor de gemeenschap. In hun werk, <extra_id_0> vrijwilliger. Deze week:","- Elk dorp kent ze: mensen die iets bijzonders doen voor de gemeenschap. In hun werk, zijn vrijwilliger. Deze week:",['hobby of als'],['zijn'],3,9,[1.0],1.0
seq53-0,base,"Het grote graven is weer begonnen! Molloot Gudo Tienhooven deelt elk weekend zijn bevindingen over Wie is de Mol?. Hij praat je bij over complotten, vreemde acties en de laatste theorien.","Het grote graven is weer begonnen! Molloot Gudo Tienhooven deelt elk weekend <extra_id_0> is de Mol?. Hij praat je bij over complotten, vreemde acties en de laatste theorien.","Het grote graven is weer begonnen! Molloot Gudo Tienhooven deelt elk weekend en is de Mol?. Hij praat je bij over complotten, vreemde acties en de laatste theorien.",['zijn bevindingen over Wie'],['en'],5,9,[0.92],0.92
