text,text_count
Onze verslaggevers Arjan Schouten en Rik Spekenbrink volgen het Formule 1-circuit op de voet. In blogs melden ze wat hen verbaast in de wereld van pk’s en glitter en glamour.,9
Parlementariërs ondervragen wekelijks op dinsdagmiddag tijdens het vragenuurtje kabinetsleden over actuele kwesties. Vandaag onder meer op de agenda:,9
"lockquote class=""twitter-tweet"" lang=""nl""><p lang=""en"" dir=""ltr""><a href=""https://twitter.com/hashtag/",9
17-jarigen: ze staan op de springplank naar volwassenheid. Charlotte de Heij gaat voor deze rubriek in gesprek met zo’n ‘groentje’ uit het Groene Hart. Vandaag:,9
"<a href=""https://twitter.com/hashtag/Scheveningen?src=hash&amp;ref_src=twsrc%5Etfw"">#Scheveningen</a>",9
"Hoewel de sport steeds meer wordt opgestart, houdt het coronavirus een ijzeren greep op de sportwereld. In dit liveblog houden we de laatste nieuwsberichten bij.",9
. Met behulp van statistiekenbureaus Gracenote en Opta blikken we met de leukste feitjes vooruit op de,9
"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand én het programma van de belangrijkste oefeninterlands.",9
Mensen zitten thuis vanwege het coronavirus. In een serie verhalen vragen we mensen wat dat met ze doet. Vandaag:,9
Vakantie is lekker! Toch? Niet altijd. De mooiste stukjes van Europa worden tegenwoordig onder de voet gelopen door drommen toeristen. Deel,9
"<a href=""https://twitter.com/hashtag/YoullNeverWalkAlone?src=hash&amp;ref_src=twsrc%5Etfw"">#YoullNeverWalkAlone</a>",9
"<a href=""https://twitter.com/search?q=%23yolanthetweet&src=hash"">#yolanthetweet</a> <a href=""http://t.co/",9
#مرحباshirt #Internationaledagvandevluchteling #refugee #whocares #welkom #marHaban #tshirt #trots #therefugeecompany #koopdatshirt #linkinbio,9
Sandra Phlippen is chef economie. Elke week behandelt ze een onderwerp dat haar opvalt in de economie.,8
"Het centrum van Den Haag is vanochtend afgesloten door het leger met vrachtwagens en roadblocks voor de komst van duizenden boeren die demonstreren tegen de stikstofregels. Trams en bussen rijden om, auto’s kunnen de binnenstad niet meer in of uit. Volg de ontwikkelingen in ons liveblog.",8
worden getest. Dit betekent dat de aantallen een minder goed beeld geven van de verspreiding van het coronavirus dan in de eerste dagen.,8
"Is het nou mooi, of lelijk? Of eigenlijk allebei? Journalist en schrijver Mark van Wonderen trekt de regio in op zoek naar plekken die misschien niet het aantrekkelijkst zijn, maar die wel een verhaal vertellen. Vandaag aflevering",8
’ VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,8
De transferperiode in Europa kruipt richting het einde en dus regent het nieuwtjes over spelers die nog wisselen van club. Mis de komende weken niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,8
De Britse premier Theresa May stelt de voor morgen geplande stemming over het brexitakkoord in het Lagerhuis op het laatste moment uit.,8
"Nederland zit voorlopig vooral thuis en veel BN’ers dus ook. Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft",8
"</a> <a href=""https://twitter.com/hashtag/Rotterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Rotterdam</a>",8
Als gevolg van een ernstige mishandeling in een woonwijk in Assen is vandaag een man overleden. Vijf omwonenden zijn opgepakt. Volgens de politie waren de vijf op de man afgegaan omdat ze hem verdachten van een zedendelict.,8
"Het eiland Tiengemeten in het Haringvliet was eeuwenlang een agrarisch eldorado. Een geïsoleerd thuis ook voor boeren(knechten), dienstbodes, vrijbuiters en weekenders. Totdat het een natuureiland werd en voor de",8
BlogVerslaggevers Tim Reedijk en Daniël Dwarswaard volgen de voetbalsters van Oranje tijdens het WK in Frankrijk. Dagelijks schrijven ze een blog over wat hen opvalt en bezighoudt. Vandaag:,8
"Wekelijks worden we bedolven onder de nieuwe films, boeken, muziek, festivals, dvd’s en games. Tijd om het kaf van het koren te scheiden. Met deze week:",8
"Sara, de anderhalf jaar oude dochter van Emine en Bram Verbrugge, heeft de zeldzame spierziekte MDC1A waarvoor geen behandeling bestaat. Vader Bram doet verslag. Vandaag deel",8
Miljoenen Nederlanders herontdekken deze maand hun eigen land. Edwin Winkels is een van hen. Hij doet dagelijks verslag. Vandaag deel,8
"HET VOETSTUK In de rubriek ‘Het voetstuk’ zet Sjoerd Marcelissen iemand die positief is opgevallen op een voetstuk. En iemand die negatief is opgevallen, laat hij eraf vallen. In pittige stukjes met een vleugje humor.",8
RecensieOnze redactie maakt je wegwijs in het actuele aanbod van series. Wat moet je gezien hebben en waarom? Vandaag een,8
"In deze serie zoeken we BN’ers op die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:",8
Wat maakte 2018 memorabel? Een serie verhalen waarin we terugblikken en vooruitkijken aan de hand van de grote en kleine gebeurtenissen.,8
In de rubriek Van wieg tot graf vertelt journalist Jeroen de Valk het levensverhaal van een onlangs overleden stads- of streekgenoot. Vandaag het leven van,8
De transfermarkt is begin deze maand geopend. Mis tot en met 31 januari niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,8
Het zicht van Amersfoort en omliggende plaatsen verandert. Ton Blom brengt die verandering in beeld met historische foto's uit zijn archief. Dit keer de,8
"Het voetbal ligt op Duitsland na in alle grote competities nog stil, maar ondanks de coronacrisis gaan de zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug.",8
"</a> in <a href=""https://twitter.com/hashtag/Utrecht?src=hash&amp;ref_src=twsrc%5Etfw"">#Utrecht</a>",8
Elke straat heeft een verhaal. En iedere inwoner van het Waterweggebied ook. Ger van Veen belicht elke week een andere straat en haar bewoners.,8
"Kaf & KorenWekelijks worden we bedolven onder de nieuwe films, boeken, muziek, festivals, dvd’s en games. Tijd om het kaf van het koren te scheiden. Met deze week:",8
Neuropsycholoog Chantal van der Leest bekijkt onze gedragingen op de werkvloer: wie of wat bepaalt onze dagelijkse beslissingen? Vandaag:,8
"In de rubriek Jan en alleman maken bekende en onbekende Hagenaars zich op voor de komst van de nieuwe burgemeester Jan van Zanen, die op 1 juli zijn werk begint. Vandaag",8
Er komt geen extra onderzoek in de strafzaak tegen Geert Wilders rond zijn minder-Marokkanenuitspraken. Dat heeft het gerechtshof vanmorgen besloten. Daarmee komt er na zes jaar een einde aan de zaak. De PVV-leider kreeg het laatste woord.,8
"Officieel is de transfermarkt in Nederland pas vanaf 1 juni open, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs bij.",8
Journaliste Lisanne van Sadelhoff schrijft elke vrijdag over haar leven in de stad Utrecht. Dit keer over,8
"Het Zeeuwse nieuws van vandaag gemist? Geen probleem, wij zetten de belangrijkste onderwerpen nog even voor je op een rij. Dit was het nieuws van",8
"In de interviewserie Vissen met Jan, praat verslaggever Jan Hoedeman elke week met een politicus over het leven en de politiek.",8
"Het aantal coronabesmettingen in Nederland blijft maar stijgen. De afgelopen 24 uur telde het RIVM 601 nieuwe coronabesmettingen. Dat is een forse stijging ten opzichte van gisteren, toen het aantal positieve tests op 426 uitkwam.",8
Toen & NuElke week zet Paula Swieringa twee foto’s naast elkaar: een van lang geleden en een recente foto. Wat is er in de tussentijd veranderd? Deze week: de,8
"Onze voetbalexpert Maarten Wijffels verkeert als jeugdspeler en journalist al bijna een leven lang in het Nederlandse profvoetbal. In Kijk op voetbal signaleert hij de laatste trends, ontwikkelingen en andere opmerkelijke zaken op de velden van wereldsport nummer 1. Vandaag:",8
". Om reacties te plaatsen en te bekijken, is Javascript nodig. Momenteel staat dit in je browser uitgeschakeld. Schakel Javascript in om een reactie te plaatsen of de reacties te lezen. Blijf je deze melding houden? Neem dan contact op met onze klantenservice",8
Sandra Phlippen is hoofd Nederland bij het economisch bureau van ABN Amro en universitair docent aan de Erasmus School of Economics.,8
"Wekelijks portretteren we iemand met een opmerkelijke passie, die verder gaat dan het traditionele postzegels verzamelen. Vandaag:",8
vele duizenden uren op internet aan het maken van een eigen evangelie. De inmiddels wereldberoemde,8
"<a href=""https://twitter.com/hashtag/rtl7darts?src=hash&amp;ref_src=twsrc%5Etfw"">#rtl7darts</a> <a href=""https://twitter.com/hashtag/darts?src=hash&amp;ref_src=twsrc%5Etfw"">#darts</a> <a href=""https://t.co/",8
"t. Gewoon in je eigen woonplaats gemaakt of misschien wel op honderden kilometers afstand. De grappigste, zonnigste of bijzonderste zomerfoto’s verschijnen in de krant. Alle inzenders maken kans op een mooie prijs.",8
; Iedere week beschouwt verslaggever Maarten Venderbosch het nieuws van de voorbije dagen vanuit een persoonlijke blik. Vandaag:,8
"Advocaat Peter Schouten en misdaadverslaggever Peter R. de Vries staan klaar om kroongetuige Nabil B. bij te staan. Dat hebben zij vanmiddag bekendgemaakt tijdens een persconferentie. Nabil B., die getuigt tegen de liquidatiebende van Ridouan Taghi, zit op dit moment zonder juridische bijstand. Het OM verzet zich tegen de rol die De Vries wil spelen.",8
Columniste Angela de Jong schrijft vijf keer per week een column over wat haar opvalt op televisie.,8
"Terwijl het voetbal in de Europese topcompetities weer volop bezig is, draait de transfergeruchtenmolen als nooit tevoren. In TransferTalk houden we alles bij in binnen- en buitenland, van ‘done deals’ tot de transfergeruchten.",8
"lockquote class=""twitter-tweet"" lang=""nl""><p lang=""nl"" dir=""ltr""><a href=""https://twitter.com/hashtag/",8
. Ook vandaag houden we je in ons liveblog op de hoogte van het laatste coronanieuws. Lees hier het vorige liveblog terug.,8
"Om reacties te plaatsen en te bekijken, is Javascript nodig. Momenteel staat dit in je browser uitgeschakeld. Schakel Javascript in om een reactie te plaatsen of de reacties te lezen. Blijf je deze melding houden? Neem dan contact op met onze klantenservice",8
april Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de regio Rivierenland. Volg de ontwikkelingen in de regio in ons blog. In ons dossier vind je alle artikelen over het coronavirus in de regio Rivierenland. Mist u iets? Tip de redactie: rl.redactie@ad.nl. 0,8
"<a href=""https://twitter.com/hashtag/unwantedivanka?src=hash&amp;ref_src=twsrc%5Etfw"">#unwantedivanka</a>",8
"<a href=""https://twitter.com/hashtag/AustrianGP?src=hash&ref_src=twsrc%5Etfw"">#AustrianGP</a> ¿¿¿¿ <a href=""https://twitter.com/hashtag/F1?src=hash&ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/",8
"i In de wekelijkse showrubriek Het Geheim Van... vragen we Nederlandse celebrities een boekje open te doen over hun verslavingen, gekke gewoontes en andere dingen die we nog niet van ze weten. Deze week",8
"<a href=""https://twitter.com/hashtag/bestezangers?src=hash&amp;ref_src=twsrc%5Etfw"">#bestezangers</a>",8
"Terwijl het voetbal in de Europese topcompetities weer bezig is, draait de transfergeruchtenmolen als nooit tevoren. In TransferTalk houden we alles bij.",7
"en onvoorspelbaar. Zo omschrijft een oudere broer Josef B. (58) met wie hij al tien jaar geen contact meer heeft. De zestiger is allerminst verbaasd over het drama in Ruinerwold. ,,Josef had een zeer sterke overredingskracht’’, zegt hij tegen deze krant.",7
"Wat doet een...Wie ons banenlandschap bekijkt, ziet bijzondere functies voorbijkomen. Een field service engineer, een lab technician of een assemblagemedewerker: we hebben ze blijkbaar hard nodig, maar waarvoor en waarom? In deze serie vertelt elke week iemand over zijn of haar beroep. Vandaag:",7
Het is zomer. Dat betekent dat de redacties van AD De Dordtenaar en AD Rivierenland op zoek gaan naar de leukste en mooiste zomerfoto’s. Opnieuw kr,7
"9,3 procent minder dan in 2018, blijkt uit een analyse van politiecijfers van de afgelopen twee jaar door adviesplatform Independer.",7
"De Koninklijke Nederlandse Redding Maatschappij heeft de zoektocht naar een 14-jarig meisje uit Duitsland, dat",7
"<a href=""https://twitter.com/hashtag/Wilders?src=hash&amp;ref_src=twsrc%5Etfw"">#Wilders</a> <a href=""https://twitter.com/hashtag/",7
"estuurders van de Metropoolregio Rotterdam/Den Haag, de provincie Zuid-Holland en de gemeente Rotterdam",7
Voor de rubriek De Gouden Pollepel bezoekt en beoordeelt het AD Rotterdams Dagblad wekelijks een restaurant in de regio. Deze week:,7
| Ik heb geleefd | AD.nl Ik heb GeleefdAnnemarie Haverkamp praat met mensen over hun leven en het einde dat nadert.,7
"boerenprotest in Groningen is Arjen Schuiling, een van de bekendste boerenactivisten van Nederland, vandaag betrokken geraakt bij een levensgevaarlijk incident. Schuiling zat als bijrijder in een tractor die diverse hekken omver ramde en bijna een fietser omver reed. De organisator van het Malieveldprotest betuigt spijt. ,,Ik had uit moeten stappen of eerder in moeten grijpen”, zegt hij tegen deze nieuwssite.",7
De knapste koppen van Nederland vertellen deze zomer over ontwikkelingen in hun vakgebied in de Zomeruniversiteit. Vandaag deel,7
"De 44-jarige advocaat Derk Wiersum die vanochtend vlak voor zijn huis in Amsterdam is geliquideerd, is ten minste twee keer onder vuur genomen door een jongen met een hoodie. Dat zegt een buurtbewoner die vlakbij de plaats delict woont.",7
Angela de Jong is al jaren fan van Boer zoekt Vrouw en schrijft elke week een column over de aflevering van zondagavond.,7
"i Het Formule 1-seizoen telt dit jaar 21 grands prix, één meer dan vorig jaar, en de starttijden van veel races zijn veranderd. In dit overzicht ziet u precies wanneer u de wekker moet zetten of juist lekker uitgebreid kan lunchen.",7
Fotograaf Daniella van Bergen en verslaggever Anouk Mentink lopen wekelijks iemand tegen het lijf. Deze week is dat,7
geen Boefjes. Daar voor in de plaats de serie Moordzaken. Sander Sonnemans blikt terug op de meest indrukwekkende zaken.,7
"de Nederlandse horeca. De opluchting is groot, bij zowel ondernemers als klanten. Maar draaien op halve kracht door de beperkingen heeft een prijs. Koninklijke Horeca Nederland sluit niet uit dat er op den duur betaald moet worden om op het terras te mogen zitten, of dat de drankjes duurder worden.",7
In de rubriek ‘Van Wieg tot Graf’ vertellen wij het verhaal achter een familiebericht. Vandaag:,7
"</a> <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a> via <a href=""https://twitter.com/Politie?ref_src=twsrc%5Etfw"">@Politie</a>",7
Columnist Lia Thorborg schrijft elke zaterdag een column over het leven in Gouda. Vandaag schrijft ze over,7
"<a href=""https://twitter.com/hashtag/dtv?src=hash&amp;ref_src=twsrc%5Etfw"">#dtv</a> <a href=""https://t",7
Onze album- en serierecensies zijn terug. In deze aflevering van de rubriek Kijk- en Luistertips het beste van de afgelopen tijd.,7
In deze sportloze periode bellen we dagelijks met een jarige prominent uit de sportwereld. Door het coronavirus is het toch een heel andere verjaardag dan normaal. Vandaag:,7
"ianGP</a> <a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/",7
De Nederlandse economie blijft op stoom. De totale omvang van de economie nam in het derde kwartaal wederom toe. Volgens het Centraal Bureau voor de Statistiek (CBS) moet Nederland het de laatste tijd vooral hebben van de consum,7
"<a href=""https://twitter.com/hashtag/Vlaardingen?src=hash&amp;ref_src=twsrc%5Etfw"">#Vlaardingen</a>",7
"Nu het Nederlands elftal zich voor het eerst in zes jaar eens heeft geplaatst voor een eindtoernooi kan het grote aftellen beginnen. Maar hoe ziet het traject naar de openingswedstrijd van het EK, op 12 juni 2020 in Rome, er eigenlijk uit? Wanneer speelt Oranje? Welke landen zijn al zeker van Euro2020. Wie komen er in het voorjaar uit de play-offs? En wanneer is de loting eigenlijk? Veel vragen en álle antwoorden.",7
"Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, mooiste en opvallendste posts van BN’ers en celebrities",7
"• Utrecht staat vierde, Heerenveen achtste • Advocaat bezig aan goede serie bij Utrecht • Scheidsrechter is Van de Graaf",7
In de rubriek Van wieg tot graf vertellen we het verhaal achter een familiebericht. Deze keer het levensverhaal van,7
"Hoewel de sport steeds meer wordt opgestart, houdt het coronavirus een ijzeren greep op de sportwereld.",7
"De zware jongens halen de voorpagina's, de boefjes niet. Serena Hofman doet elke week verslag van een doodnormale rechtszaak.",7
In Gelukkig kunnen we nog... geven verschillende (bekende) Nederlanders vanuit eigen expertise in vlog-vorm tips over wat je in deze thuiswerk-situatie nog wél kunt doen.,7
Het AD brengt iedere week op donderdag recensies van films die in première gaan. Deze keer: het drama,7
"Nu mensen meer en meer via internet bestellen, verschijnen ze steeds vaker in het straatbeeld: bezorgers. In deze serie geeft Ryan Poll acht bezorgers in het Groene Hart een gezicht. Vandaag:",7
"Elke week recenseert het AD Utrechts Nieuwsblad een van de vele restaurants in de provincie Utrecht. Marco Bosmans beoordeelt het restaurant aan de hand van het voor-, hoofd- en nagerecht, de bediening, sfeer en prijs-kwaliteit. Deze week eet hij bij",7
De winterse transfercarrousel draait alweer op volle toeren. In TransferTalk houden we alle geruchten en voltooide transfers van deze maand bij. Mis niets in deze rubriek.,7
De nieuwsberichten over het coronavirus volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Met vandaag,7
". Een deel van het havengebied is weggevaagd, het dodental loopt in rap tempo op en de ziekenhuizen zitten overvol.",7
Deze zomer publiceren we in de late uurtjes op deze site onze best gelezen artikelen van dit jaar. Dit artikel verscheen eerder op,7
een 'vette vis' binnen? Een selectie van onwerkelijke speculaties tot concrete aanbiedingen in een dagelijkse rubriek: TransferTalk.,7
"Journalist Sammy Shawky schrijft over de leukste, nieuwste, gekste en meest trendy winkels in de regio Utrecht. Vandaag:",7
"Korte updates van de sterren op Facebook, Twitter, Instagram en Snapchat: wij smullen ervan. In de rubriek Showbytes struint de showredactie het web voor je af voor de gekste, mooiste en opvallendste posts van BN'ers en celebrities. Dit artikel wordt gedurende de dag vernieuwd. 1",7
"Pieter Hulst en Gijs Groenteman ontleden teksten van Nederlandstalige hits. Ze geven antwoorden op prangende vragen die de nummers oproepen. Komen ze er zelf niet uit, dan roepen ze de hulp in van de wetenschap. Vandaag",7
In aanloop naar ‘75 jaar bevrijding’ blikt deze krant terug op gebeurtenissen uit de laatste maanden van de oorlog. Vandaag deel,7
Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de regio Rivierenland. Volg de ontwikkelingen in de regio in ons blog. In ons dossier vind je alle artikelen over het coronavirus in de regio Rivierenland. Mist u iets? Tip de redactie: rl.redactie@ad.nl. 1,7
"Het voetbal in alle grote competities ligt dan wel stil, maar ondanks deze idiote periode gaan de zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij.",7
Journalist Monica Beek (42) schrijft wekelijks voor Magazine over haar leven. Ze woont samen met haar dochters van 11 en 8 en heeft een vriend.,7
Turkije stopt de komende vijf dagen met de opmars in Syrië. De Turkse president Recep Erdogan en de Amerikaanse vicepresident Mike Pence zijn,7
De transfermarkt is halverwege weer een rumoerige periode. Nog ruim zes weken draait de carrousel op volle toeren. Mis in onze rubriek TransferTalk niets van alle geruchten en voltooide transfers.,7
station scoort zwaar ondermaats en bungelt onderaan de lijst van stations in Nederland die goed scoren op het gebied van punctualiteit.,7
