,Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
10,seq10-0,base,"De Achterpagina bezoekt bijzondere kleedkamers.  Vandaag het mooiste voetbalstadion van Nederland, De Kuip in Rotterdam, thuishaven van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. Vandaag het mooiste voetbalstadion van Nederland, De Kuip <extra_id_0> van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. Vandaag het mooiste voetbalstadion van Nederland, De Kuip van Feyenoord","['in Rotterdam', 'thuishaven']",[''],3,15.0,1,[1.0],1.0
11,seq11-0,base,Van koffie tot herone Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot herone: in drie minuten zet dit filmpje de verslavingen van Amerikanen in de afgelopen 100 jaar op een rij.  Het begint braaf in de Verenigde Staten: in 1912 klaagt de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafene aan hun dranken,Van koffie tot herone Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' <extra_id_0> herone: in drie minuten zet dit filmpje de <extra_id_1> in de afgelopen 100 jaar op een rij. Het begint braaf in de Verenigde Staten: <extra_id_2> de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafene aan hun dranken,Van koffie tot herone Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot herone: in drie minuten zet dit filmpje de drankindustrie in de afgelopen 100 jaar op een rij. Het begint braaf in de Verenigde Staten: in oktober 2017 bood de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafene aan hun dranken,"['Van koffie tot', 'verslavingen van Amerikanen', 'in 1912 klaagt']","['Van koffie tot', 'drankindustrie', 'in oktober 2017 bood']",9,15.0,1,"[0.0, 0.7407407407407407, 0.8]",0.51
12,seq12-0,base,"Identiteit Laat biologie niet je identiteit bepalen, schrijft Sophie Rutenfrans.  Immers, je cyclus bepaalt niet wie je bent","<extra_id_0> niet je identiteit bepalen, schrijft Sophie Rutenfrans. Immers, je cyclus bepaalt niet wie je bent","niet je identiteit bepalen, schrijft Sophie Rutenfrans. Immers, je cyclus bepaalt niet wie je bent",['Identiteit Laat biologie'],[''],3,15.0,1,[1.0],1.0
13,seq13-0,base,"Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets.  Vertrekkend vanaf het waterfietsstation tegenover het Amricain, passeerden wij de duiven die onder de brug bij de Leidsegracht zaten te broeden","Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets. Vertrekkend vanaf het waterfietsstation tegenover het <extra_id_0> duiven die onder de brug bij de Leidsegracht <extra_id_1>","Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets. Vertrekkend vanaf het waterfietsstation tegenover het station, keken we naar de duiven die onder de brug bij de Leidsegracht","['Amricain', 'passeerden wij de', 'zaten te broeden']","['station, keken we naar de', '']",7,15.0,1,"[0.92, 1.0]",0.96
14,seq14-0,base,KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus.  De koper Telefnica moet de strijd nu aangaan met grote Duitse concurrenten,KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus. De koper Telefnica moet de strijd nu aangaan <extra_id_0>,KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus. De koper Telefnica moet de strijd nu aangaan De Duitse,['met grote Duitse concurrenten'],['Duitse'],4,15.0,1,[0.7931034482758621],0.79
15,seq15-0,base,Opnieuw strijd om Eksit  al is de poptempel al 34 jaar dicht Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek Eksit van journalist Kees Vermeer.  De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,Opnieuw strijd om Eksit al is de poptempel al 34 jaar dicht Over <extra_id_0> jongerencentrum (1970-1981) is een historiografische controverse <extra_id_1> Eksit van journalist Kees Vermeer. De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,Opnieuw strijd om Eksit al is de poptempel al 34 jaar dicht Over het jongerencentrum (1970-1981) is een historiografische controverse over Eksit van journalist Kees Vermeer. De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,"['het fameuze Rotterdamse', 'ontbrand door het boek']","['het', 'over']",7,15.0,1,"[0.8695652173913043, 0.9090909090909091]",0.89
16,seq16-0,base,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij.  Nieuwe verhalen van jonge schrijvers op de grens van twee werelden,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij. Nieuwe verhalen van jonge schrijvers <extra_id_0> van twee werelden,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij. Nieuwe verhalen van jonge schrijvers over de strijd van twee werelden,['op de grens'],['over de strijd'],3,15.0,1,[0.5714285714285714],0.57
18,seq18-0,base,"Een paar dagen nadat de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en de Brit Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zon trein die op het Centraal Station op het punt stond te vertrekken.  Worden de passagiers daar nu ook elektronisch bekeken, jasje uittrekken, broekriem afdoen, poortje door, laptop openen, enz","Een <extra_id_0> de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en de Brit Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zon trein <extra_id_1> Station op het punt stond te vertrekken. Worden de passagiers daar nu ook elektronisch bekeken, jasje uittrekken, broekriem afdoen, poortje <extra_id_2> enz","Een de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en de Brit Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zon trein die van het Centraal Station op het punt stond te vertrekken. Worden de passagiers daar nu ook elektronisch bekeken, jasje uittrekken, broekriem afdoen, poortje sluiten, enz","['paar dagen nadat', 'die op het Centraal', 'door', 'laptop openen,']","['', 'die van het Centraal', 'sluiten,']",10,15.0,1,"[1.0, 0.15, 1.0]",0.72
19,seq19-0,base,Zware gevechten PKK en Turkse leger in N-Irak Rebellen van de Koerdische Arbeiderspartij PKK en het Turkse leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak.  De PKK zegt zaterdag een Turkse gevechtshelikopter te hebben neergeschoten bij de Iraaks-Turkse grens,Zware gevechten PKK en Turkse leger in N-Irak Rebellen van de Koerdische <extra_id_0> het Turkse leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak. De PKK zegt zaterdag een Turkse gevechtshelikopter te hebben neergeschoten <extra_id_1> grens,Zware gevechten PKK en Turkse leger in N-Irak Rebellen van de Koerdische PKK en het Turkse leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak. De PKK zegt zaterdag een Turkse gevechtshelikopter te hebben neergeschoten bij de grens,"['Arbeiderspartij PKK en', 'bij de Iraaks-Turkse']","['PKK en', 'bij de']",6,15.0,1,"[0.7272727272727273, 0.7]",0.71
20,seq20-0,base,"Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV.  De Franse president Chirac hoorde gisteren aan de Rivira welwillend het pleidooi van de Spaanse premier Aznar aan om mee te kunnen doen met de eerste ploeg landen die in 1999 de Economische en Monetaire Unie binnengaat","Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV. De Franse president Chirac hoorde gisteren aan de Rivira welwillend het pleidooi van de Spaanse premier Aznar aan om mee te kunnen doen met <extra_id_0> landen die in <extra_id_1> Monetaire Unie binnengaat","Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV. De Franse president Chirac hoorde gisteren aan de Rivira welwillend het pleidooi van de Spaanse premier Aznar aan om mee te kunnen doen met de landen die in december de Europese Monetaire Unie binnengaat","['de eerste ploeg', '1999 de Economische en']","['de', 'december de Europese']",7,15.0,1,"[0.8666666666666667, 0.8181818181818182]",0.84
21,seq21-0,base,"Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een zeer offensief elftal in het veld.  In de spits keert Nederlands duurste voetballer aller tijden, Jerrel Hasselbaink, terug","Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een <extra_id_0> elftal in het veld. In <extra_id_1> Nederlands duurste voetballer aller tijden, Jerrel Hasselbaink, terug","Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een Nederlands elftal in het veld. In de selectie komt de Nederlands duurste voetballer aller tijden, Jerrel Hasselbaink, terug","['zeer offensief', 'de spits keert']","['Nederlands', 'de selectie komt de']",5,15.0,1,"[0.7857142857142857, 0.631578947368421]",0.71
23,seq23-0,base,"Stayer De Jong toont vormbehoud tijdens gedevalueerde strijd GRONINGEN, 12 FEBR.  Rintje Ritsma, Gianni Romme en Bob de Jong zijn afgelopen weekeinde in Groningen op de NK afstanden kampioen op respectievelijk de 1","Stayer De Jong toont vormbehoud tijdens gedevalueerde strijd GRONINGEN, 12 FEBR. Rintje Ritsma, Gianni Romme en Bob de <extra_id_0> weekeinde in Groningen op <extra_id_1> afstanden kampioen op respectievelijk de 1","Stayer De Jong toont vormbehoud tijdens gedevalueerde strijd GRONINGEN, 12 FEBR. Rintje Ritsma, Gianni Romme en Bob de Jong werden afgelopen weekeinde in Groningen op de lange afstanden kampioen op respectievelijk de 1","['Jong zijn afgelopen', 'de NK']","['Jong werden afgelopen', 'de lange']",5,15.0,1,"[0.23809523809523808, 0.625]",0.43
24,seq24-0,base,Zomaar een nieuwsbericht van deze maand: Hillary Clinton bleek een priv-adres te hebben gebruikt voor e-mails over onder andere de aanval op de Amerikaanse ambassade in Benghazi in 2011.  Een commissie eiste de openbaarmaking van die mails,Zomaar een nieuwsbericht van deze maand: Hillary Clinton bleek een priv-adres te hebben gebruikt voor e-mails over onder andere de aanval op <extra_id_0> in Benghazi in 2011. Een commissie eiste de <extra_id_1> mails,Zomaar een nieuwsbericht van deze maand: Hillary Clinton bleek een priv-adres te hebben gebruikt voor e-mails over onder andere de aanval op IS in Benghazi in 2011. Een commissie eiste de e-mails van Clinton over mails,"['de Amerikaanse ambassade', 'openbaarmaking van die']","['IS', 'e-mails van Clinton over']",6,15.0,1,"[1.0, 0.8333333333333334]",0.92
25,seq25-0,base,"Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds heeft een nieuwe vijand: marginalisering.  In de sterk veranderde wereldeconomie moet het IMF op zoek naar een nieuwe rol, nu minder landen een beroep doen op het fonds","Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds heeft een nieuwe vijand: marginalisering. In de sterk veranderde wereldeconomie moet <extra_id_0> zoek naar een nieuwe rol, nu minder landen een beroep doen <extra_id_1>","Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds heeft een nieuwe vijand: marginalisering. In de sterk veranderde wereldeconomie moet Lener op zoek naar een nieuwe rol, nu minder landen een beroep doen op de...","['het IMF op', 'op het fonds']","['Lener op', 'de...']",6,15.0,1,"[0.6, 0.9166666666666666]",0.76
26,seq26-0,base,"Kerry: wel steun VS aan Irak, maar geen troepen De Amerikaanse minister van Buitenlandse Zaken John Kerry spreekt met de pers na een ontmoeting met de Palestijnse president Mahmoud Abbas Foto AP/ Brendan Smialowski De Verenigde Staten zullen Irak steunen in zijn gevecht tegen de militanten gelieerd aan Al-Qaeda die momenteel de macht hebben gegrepen in steden in het westen van het land, maar zullen geen troepen sturen.  Het is hun gevecht, zei de Amerikaanse minister van Buitenlandse Zaken John Kerry vanochtend in reactie op de gebeurtenissen, meldt persbureau AP","Kerry: wel steun VS aan Irak, maar geen troepen De Amerikaanse minister van Buitenlandse Zaken John Kerry spreekt met de pers na een ontmoeting met de <extra_id_0> Abbas Foto AP/ Brendan Smialowski De Verenigde Staten zullen Irak steunen in zijn gevecht tegen de militanten gelieerd aan <extra_id_1> de macht hebben gegrepen in steden in het westen van <extra_id_2> zullen geen troepen sturen. Het is hun gevecht, zei de Amerikaanse minister van Buitenlandse Zaken <extra_id_3> vanochtend <extra_id_4> de gebeurtenissen, meldt persbureau AP","Kerry: wel steun VS aan Irak, maar geen troepen De Amerikaanse minister van Buitenlandse Zaken John Kerry spreekt met de pers na een ontmoeting met de Abbasiaanse president Mahmud Abbas Foto AP/ Brendan Smialowski De Verenigde Staten zullen Irak steunen in zijn gevecht tegen de militanten gelieerd aan de ISIS die de macht hebben gegrepen in steden in het westen van het land en zullen geen troepen sturen. Het is hun gevecht, zei de Amerikaanse minister van Buitenlandse Zaken John Kerry vanochtend na de gebeurtenissen, meldt persbureau AP","['Palestijnse president Mahmoud', 'Al-Qaeda die momenteel', 'het land', 'maar', 'John Kerry', 'in reactie op']","['Abbasiaanse president Mahmud', 'de ISIS die', 'het land en', 'John Kerry', 'na']",14,15.0,1,"[0.27586206896551724, 0.8181818181818182, 0.2727272727272727, 0.9, 0.9]",0.63
27,seq27-0,base,"Zuid-Korea beschuldigt noorden van moorden SEOUL, 9 OKT.  Het Zuidkoreaanse ministerie van Defensie heeft Noord-Korea beschuldigd verantwoordelijk te zijn voor de dood van drie mensen in een oostelijk berggebied in het land","<extra_id_0> noorden van moorden SEOUL, 9 OKT. Het <extra_id_1> Defensie heeft Noord-Korea beschuldigd verantwoordelijk te zijn voor de dood van drie mensen in een oostelijk berggebied in het land","in het noorden van moorden SEOUL, 9 OKT. Het Koreaanse Defensie heeft Noord-Korea beschuldigd verantwoordelijk te zijn voor de dood van drie mensen in een oostelijk berggebied in het land","['Zuid-Korea beschuldigt', 'Zuidkoreaanse ministerie van']","['in het', 'Koreaanse']",5,15.0,1,"[0.8181818181818182, 0.7142857142857143]",0.77
28,seq28-0,base,"Vroeger werd gedacht dat onze hersenen vooral rijpen voor de geboorte en in de eerste levensmaanden.  Maar niets is minder waar, zegt ontwikkelingspsycholoog dr","<extra_id_0> onze hersenen vooral rijpen voor de geboorte en in de eerste levensmaanden. Maar niets is minder waar, zegt ontwikkelingspsycholoog dr","moeten onze hersenen vooral rijpen voor de geboorte en in de eerste levensmaanden. Maar niets is minder waar, zegt ontwikkelingspsycholoog dr",['Vroeger werd gedacht dat'],['moeten'],4,15.0,1,[0.875],0.88
29,seq29-0,base,Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg naar de plek van de crash bij Bournemouth.  Foto AP ,Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg <extra_id_0> van de crash bij Bournemouth. Foto AP,Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg naar de plek van de crash bij Bournemouth. Foto AP,['naar de plek'],['naar de plek'],3,15.0,1,[0.0],0.0
30,seq30-0,base,"Socialer kabinet, maar niet radicaal Het nieuwe kabinet wil veel gaan verspijkeren in de staatshuishouding.  Met veel aandacht voor oude wijken, zorg en onderwijs","Socialer kabinet, maar niet radicaal Het nieuwe kabinet wil veel gaan verspijkeren <extra_id_0> veel aandacht voor oude wijken, zorg en onderwijs","Socialer kabinet, maar niet radicaal Het nieuwe kabinet wil veel gaan verspijkeren met veel aandacht voor oude wijken, zorg en onderwijs",['in de staatshuishouding. Met'],['met'],4,15.0,1,[0.9285714285714286],0.93
31,seq31-0,base,Forum Barcelona voor vrede etcetera Het zomerfestival Forum 2004 in Barcelona moet een cultureel spektakel worden.  Maar stadspromotie en stadsontwikkeling overheersen,Forum Barcelona voor <extra_id_0> zomerfestival Forum 2004 in Barcelona moet een cultureel spektakel worden. Maar stadspromotie en stadsontwikkeling overheersen,Forum Barcelona voor het zomerfestival Forum 2004 in Barcelona moet een cultureel spektakel worden. Maar stadspromotie en stadsontwikkeling overheersen,['vrede etcetera Het'],['het'],3,15.0,1,[0.8888888888888888],0.89
32,seq32-0,base,"Schikking is dankbare munitie De Nederlandse justitie heeft haar onderzoek naar Ahold afgesloten.  Het juridische gevecht wordt scherper, de afstand tussen ex-bestuurders en bedrijf groter","Schikking is dankbare munitie <extra_id_0> haar onderzoek naar Ahold afgesloten. Het juridische gevecht wordt scherper, de afstand tussen ex-bestuurders en bedrijf groter","Schikking is dankbare munitie voor haar onderzoek naar Ahold afgesloten. Het juridische gevecht wordt scherper, de afstand tussen ex-bestuurders en bedrijf groter",['De Nederlandse justitie heeft'],['voor'],4,15.0,1,[0.9655172413793104],0.97
33,seq33-0,base,"Nu valt het wel mee met de uniformiteit van die sleetse parade.  Het recentste jaarboek is zelfs een kleine revolutie, want voor het eerst is het nieuwe traditionalisme, dat Nederland heeft overspoeld, sterk vertegenwoordigd","Nu valt het wel mee met de uniformiteit van die sleetse parade. Het recentste jaarboek is zelfs een kleine revolutie, want voor het eerst is <extra_id_0> traditionalisme, dat Nederland heeft <extra_id_1>","Nu valt het wel mee met de uniformiteit van die sleetse parade. Het recentste jaarboek is zelfs een kleine revolutie, want voor het eerst is het traditionalisme, dat Nederland heeft geaccepteerd.","['het nieuwe', 'overspoeld', 'sterk vertegenwoordigd']","['het', 'geaccepteerd.']",5,15.0,1,"[0.7, 0.7692307692307693]",0.73
36,seq36-0,base,"Verzekeraar ASR wil uitvoeringsinstelling ROTTERDAM, 19 AUG.  De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is van plan een eigen uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten","Verzekeraar ASR wil uitvoeringsinstelling ROTTERDAM, 19 AUG. De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is <extra_id_0> uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten","Verzekeraar ASR wil uitvoeringsinstelling ROTTERDAM, 19 AUG. De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is van plan een uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten",['van plan een eigen'],['van plan een'],4,15.0,1,[0.3333333333333333],0.33
37,seq37-0,base,Internationale waarnemers hebben op een nieuwe locatie uraniumdeeltjes aangetroffen in Iran.  Isral en de VS zeggen al langer dat Teheran zich niet aan de afspraken van het atoomakkoord houdt,Internationale waarnemers hebben op een nieuwe locatie uraniumdeeltjes aangetroffen in Iran. Isral en de VS zeggen al langer dat Teheran <extra_id_0> afspraken van het atoomakkoord houdt,Internationale waarnemers hebben op een nieuwe locatie uraniumdeeltjes aangetroffen in Iran. Isral en de VS zeggen al langer dat Teheran zich aan de afspraken van het atoomakkoord houdt,['zich niet aan de'],['zich aan de'],4,15.0,1,[0.3125],0.31
40,seq40-0,base,"Uitglijder OM-topman in mediahype Harm Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken.  Daar komt hij van terug: Ik ben eerlijk en zeg ronduit: de fout lag bij mij","Uitglijder OM-topman <extra_id_0> Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken. Daar komt hij van terug: Ik ben eerlijk en zeg ronduit: <extra_id_1> lag bij mij","Uitglijder OM-topman Jeffrey Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken. Daar komt hij van terug: Ik ben eerlijk en zeg ronduit: de fout lag bij mij","['in mediahype Harm', 'de fout']","['Jeffrey', 'de fout']",5,15.0,1,"[0.8823529411764706, 0.0]",0.44
