,Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
19,seq19-0,small,Zware gevechten PKK en Turkse leger in N-Irak Rebellen van de Koerdische Arbeiderspartij PKK en het Turkse leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak.  De PKK zegt zaterdag een Turkse gevechtshelikopter te hebben neergeschoten bij de Iraaks-Turkse grens,Zware gevechten PKK en Turkse leger in N-Irak Rebellen van de Koerdische <extra_id_0> het Turkse leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak. De PKK zegt zaterdag een Turkse gevechtshelikopter te hebben neergeschoten <extra_id_1> grens,Zware gevechten PKK en Turkse leger in N-Irak Rebellen van de Koerdische PKK en het Turkse leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak. De PKK zegt zaterdag een Turkse gevechtshelikopter te hebben neergeschoten op de grens,"['Arbeiderspartij PKK en', 'bij de Iraaks-Turkse']","['PKK en', 'op de']",6,15.0,1,"[0.7272727272727273, 0.85]",0.79
20,seq20-0,small,"Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV.  De Franse president Chirac hoorde gisteren aan de Rivira welwillend het pleidooi van de Spaanse premier Aznar aan om mee te kunnen doen met de eerste ploeg landen die in 1999 de Economische en Monetaire Unie binnengaat","Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV. De Franse president Chirac hoorde gisteren aan de Rivira welwillend het pleidooi van de Spaanse premier Aznar aan om mee te kunnen doen met <extra_id_0> landen die in <extra_id_1> Monetaire Unie binnengaat","Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV. De Franse president Chirac hoorde gisteren aan de Rivira welwillend het pleidooi van de Spaanse premier Aznar aan om mee te kunnen doen met de landen die in de eurozone de Monetaire Unie binnengaat","['de eerste ploeg', '1999 de Economische en']","['de', 'de eurozone de']",7,15.0,1,"[0.8666666666666667, 0.7272727272727273]",0.8
21,seq21-0,small,"Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een zeer offensief elftal in het veld.  In de spits keert Nederlands duurste voetballer aller tijden, Jerrel Hasselbaink, terug","Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een <extra_id_0> elftal in het veld. In <extra_id_1> Nederlands duurste voetballer aller tijden, Jerrel Hasselbaink, terug","Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een aanval op het elftal in het veld. In de oefeninterland komt de Nederlands duurste voetballer aller tijden, Jerrel Hasselbaink, terug","['zeer offensief', 'de spits keert']","['aanval op het', 'de oefeninterland komt de']",5,15.0,1,"[0.9285714285714286, 0.72]",0.82
23,seq23-0,small,"Stayer De Jong toont vormbehoud tijdens gedevalueerde strijd GRONINGEN, 12 FEBR.  Rintje Ritsma, Gianni Romme en Bob de Jong zijn afgelopen weekeinde in Groningen op de NK afstanden kampioen op respectievelijk de 1","Stayer De Jong toont vormbehoud tijdens gedevalueerde strijd GRONINGEN, 12 FEBR. Rintje Ritsma, Gianni Romme en Bob de <extra_id_0> weekeinde in Groningen op <extra_id_1> afstanden kampioen op respectievelijk de 1","Stayer De Jong toont vormbehoud tijdens gedevalueerde strijd GRONINGEN, 12 FEBR. Rintje Ritsma, Gianni Romme en Bob de Jong werden dit weekeinde in Groningen op de afstanden kampioen op respectievelijk de 1","['Jong zijn afgelopen', 'de NK']","['Jong werden dit', 'de']",5,15.0,1,"[0.6842105263157895, 0.6]",0.64
24,seq24-0,small,Zomaar een nieuwsbericht van deze maand: Hillary Clinton bleek een priv-adres te hebben gebruikt voor e-mails over onder andere de aanval op de Amerikaanse ambassade in Benghazi in 2011.  Een commissie eiste de openbaarmaking van die mails,Zomaar een nieuwsbericht van deze maand: Hillary Clinton bleek een priv-adres te hebben gebruikt voor e-mails over onder andere de aanval op <extra_id_0> in Benghazi in 2011. Een commissie eiste de <extra_id_1> mails,Zomaar een nieuwsbericht van deze maand: Hillary Clinton bleek een priv-adres te hebben gebruikt voor e-mails over onder andere de aanval op de presidentsverkiezingen in Benghazi in 2011. Een commissie eiste de e- mails,"['de Amerikaanse ambassade', 'openbaarmaking van die']","['de presidentsverkiezingen', 'e-']",6,15.0,1,"[0.72, 0.9545454545454546]",0.84
25,seq25-0,small,"Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds heeft een nieuwe vijand: marginalisering.  In de sterk veranderde wereldeconomie moet het IMF op zoek naar een nieuwe rol, nu minder landen een beroep doen op het fonds","Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds heeft een nieuwe vijand: marginalisering. In de sterk veranderde wereldeconomie moet <extra_id_0> zoek naar een nieuwe rol, nu minder landen een beroep doen <extra_id_1>","Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds heeft een nieuwe vijand: marginalisering. In de sterk veranderde wereldeconomie moet we op zoek naar een nieuwe rol, nu minder landen een beroep doen op de vraag.","['het IMF op', 'op het fonds']","['we op', 'vraag.']",6,15.0,1,"[0.6, 1.0]",0.8
26,seq26-0,small,"Kerry: wel steun VS aan Irak, maar geen troepen De Amerikaanse minister van Buitenlandse Zaken John Kerry spreekt met de pers na een ontmoeting met de Palestijnse president Mahmoud Abbas Foto AP/ Brendan Smialowski De Verenigde Staten zullen Irak steunen in zijn gevecht tegen de militanten gelieerd aan Al-Qaeda die momenteel de macht hebben gegrepen in steden in het westen van het land, maar zullen geen troepen sturen.  Het is hun gevecht, zei de Amerikaanse minister van Buitenlandse Zaken John Kerry vanochtend in reactie op de gebeurtenissen, meldt persbureau AP","Kerry: wel steun VS aan Irak, maar geen troepen De Amerikaanse minister van Buitenlandse Zaken John Kerry spreekt met de pers na een ontmoeting met de <extra_id_0> Abbas Foto AP/ Brendan Smialowski De Verenigde Staten zullen Irak steunen in zijn gevecht tegen de militanten gelieerd aan <extra_id_1> de macht hebben gegrepen in steden in het westen van <extra_id_2> zullen geen troepen sturen. Het is hun gevecht, zei de Amerikaanse minister van Buitenlandse Zaken <extra_id_3> vanochtend <extra_id_4> de gebeurtenissen, meldt persbureau AP","Kerry: wel steun VS aan Irak, maar geen troepen De Amerikaanse minister van Buitenlandse Zaken John Kerry spreekt met de pers na een ontmoeting met de president Mahmoud Abbas Foto AP/ Brendan Smialowski De Verenigde Staten zullen Irak steunen in zijn gevecht tegen de militanten gelieerd aan de VS die de macht hebben gegrepen in steden in het westen van Irak. Ze zullen geen troepen sturen. Het is hun gevecht, zei de Amerikaanse minister van Buitenlandse Zaken John Kerry vanochtend De minister vertelt de gebeurtenissen, meldt persbureau AP","['Palestijnse president Mahmoud', 'Al-Qaeda die momenteel', 'het land', 'maar', 'John Kerry', 'in reactie op']","['president Mahmoud', 'de VS die', 'Irak. Ze', 'John Kerry', 'De minister vertelt']",14,15.0,1,"[0.41379310344827586, 0.8181818181818182, 1.0, 0.9, 0.7894736842105263]",0.78
27,seq27-0,small,"Zuid-Korea beschuldigt noorden van moorden SEOUL, 9 OKT.  Het Zuidkoreaanse ministerie van Defensie heeft Noord-Korea beschuldigd verantwoordelijk te zijn voor de dood van drie mensen in een oostelijk berggebied in het land","<extra_id_0> noorden van moorden SEOUL, 9 OKT. Het <extra_id_1> Defensie heeft Noord-Korea beschuldigd verantwoordelijk te zijn voor de dood van drie mensen in een oostelijk berggebied in het land","in het noorden van moorden SEOUL, 9 OKT. Het ministerie van Defensie heeft Noord-Korea beschuldigd verantwoordelijk te zijn voor de dood van drie mensen in een oostelijk berggebied in het land","['Zuid-Korea beschuldigt', 'Zuidkoreaanse ministerie van']","['in het', 'ministerie van']",5,15.0,1,"[0.8181818181818182, 0.5]",0.66
28,seq28-0,small,"Vroeger werd gedacht dat onze hersenen vooral rijpen voor de geboorte en in de eerste levensmaanden.  Maar niets is minder waar, zegt ontwikkelingspsycholoog dr","<extra_id_0> onze hersenen vooral rijpen voor de geboorte en in de eerste levensmaanden. Maar niets is minder waar, zegt ontwikkelingspsycholoog dr","En onze hersenen vooral rijpen voor de geboorte en in de eerste levensmaanden. Maar niets is minder waar, zegt ontwikkelingspsycholoog dr",['Vroeger werd gedacht dat'],['En'],4,15.0,1,[1.0],1.0
29,seq29-0,small,Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg naar de plek van de crash bij Bournemouth.  Foto AP ,Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg <extra_id_0> van de crash bij Bournemouth. Foto AP,Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg naar de hoogte van de crash bij Bournemouth. Foto AP,['naar de plek'],['naar de hoogte'],3,15.0,1,[0.42857142857142855],0.43
30,seq30-0,small,"Socialer kabinet, maar niet radicaal Het nieuwe kabinet wil veel gaan verspijkeren in de staatshuishouding.  Met veel aandacht voor oude wijken, zorg en onderwijs","Socialer kabinet, maar niet radicaal Het nieuwe kabinet wil veel gaan verspijkeren <extra_id_0> veel aandacht voor oude wijken, zorg en onderwijs","Socialer kabinet, maar niet radicaal Het nieuwe kabinet wil veel gaan verspijkeren veel aandacht voor oude wijken, zorg en onderwijs",['in de staatshuishouding. Met'],[''],4,15.0,1,[1.0],1.0
31,seq31-0,small,Forum Barcelona voor vrede etcetera Het zomerfestival Forum 2004 in Barcelona moet een cultureel spektakel worden.  Maar stadspromotie en stadsontwikkeling overheersen,Forum Barcelona voor <extra_id_0> zomerfestival Forum 2004 in Barcelona moet een cultureel spektakel worden. Maar stadspromotie en stadsontwikkeling overheersen,Forum Barcelona voor het zomerfestival Forum 2004 in Barcelona moet een cultureel spektakel worden. Maar stadspromotie en stadsontwikkeling overheersen,['vrede etcetera Het'],['het'],3,15.0,1,[0.8888888888888888],0.89
32,seq32-0,small,"Schikking is dankbare munitie De Nederlandse justitie heeft haar onderzoek naar Ahold afgesloten.  Het juridische gevecht wordt scherper, de afstand tussen ex-bestuurders en bedrijf groter","Schikking is dankbare munitie <extra_id_0> haar onderzoek naar Ahold afgesloten. Het juridische gevecht wordt scherper, de afstand tussen ex-bestuurders en bedrijf groter","Schikking is dankbare munitie van haar onderzoek naar Ahold afgesloten. Het juridische gevecht wordt scherper, de afstand tussen ex-bestuurders en bedrijf groter",['De Nederlandse justitie heeft'],['van'],4,15.0,1,[0.9310344827586207],0.93
33,seq33-0,small,"Nu valt het wel mee met de uniformiteit van die sleetse parade.  Het recentste jaarboek is zelfs een kleine revolutie, want voor het eerst is het nieuwe traditionalisme, dat Nederland heeft overspoeld, sterk vertegenwoordigd","Nu valt het wel mee met de uniformiteit van die sleetse parade. Het recentste jaarboek is zelfs een kleine revolutie, want voor het eerst is <extra_id_0> traditionalisme, dat Nederland heeft <extra_id_1>","Nu valt het wel mee met de uniformiteit van die sleetse parade. Het recentste jaarboek is zelfs een kleine revolutie, want voor het eerst is het traditionalisme, dat Nederland heeft","['het nieuwe', 'overspoeld', 'sterk vertegenwoordigd']","['het', '']",5,15.0,1,"[0.7, 1.0]",0.85
36,seq36-0,small,"Verzekeraar ASR wil uitvoeringsinstelling ROTTERDAM, 19 AUG.  De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is van plan een eigen uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten","Verzekeraar ASR wil uitvoeringsinstelling ROTTERDAM, 19 AUG. De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is <extra_id_0> uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten","Verzekeraar ASR wil uitvoeringsinstelling ROTTERDAM, 19 AUG. De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is bereid om een uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten",['van plan een eigen'],['bereid om een'],4,15.0,1,[0.7222222222222222],0.72
37,seq37-0,small,Internationale waarnemers hebben op een nieuwe locatie uraniumdeeltjes aangetroffen in Iran.  Isral en de VS zeggen al langer dat Teheran zich niet aan de afspraken van het atoomakkoord houdt,Internationale waarnemers hebben op een nieuwe locatie uraniumdeeltjes aangetroffen in Iran. Isral en de VS zeggen al langer dat Teheran <extra_id_0> afspraken van het atoomakkoord houdt,Internationale waarnemers hebben op een nieuwe locatie uraniumdeeltjes aangetroffen in Iran. Isral en de VS zeggen al langer dat Teheran de afspraken van het atoomakkoord houdt,['zich niet aan de'],['de'],4,15.0,1,[0.875],0.88
40,seq40-0,small,"Uitglijder OM-topman in mediahype Harm Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken.  Daar komt hij van terug: Ik ben eerlijk en zeg ronduit: de fout lag bij mij","Uitglijder OM-topman <extra_id_0> Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken. Daar komt hij van terug: Ik ben eerlijk en zeg ronduit: <extra_id_1> lag bij mij","Uitglijder OM-topman Gerard Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken. Daar komt hij van terug: Ik ben eerlijk en zeg ronduit: het lag bij mij","['in mediahype Harm', 'de fout']","['Gerard', 'het']",5,15.0,1,"[0.8235294117647058, 0.7142857142857143]",0.77
