Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
"Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:",Berichten verspreiden <extra_id_0> ze nu kloppen of niet. Wij proberen de zin van <extra_id_1> scheiden. Vandaag:,"['zich razendsnel, of', 'de onzin te']",6,30.0,12
"gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een niet-Nederlandse achtergrond. Mail een korte toelichting naar lust@volkskrant.nl","gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een <extra_id_0> een <extra_id_1>","['niet-Nederlandse achtergrond. Mail', 'korte toelichting naar lust@volkskrant.nl']",7,30.0,11
gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden over liefde en <extra_id_0> toelichting naar lust@volkskrant.nl,['lust? Mail een korte'],4,30.0,11
"...' is content gemaakt in opdracht van en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","...' is content gemaakt in opdracht <extra_id_0> door een adverteerder, geproduceerd door de commerciele afdeling <extra_id_1> De journalisten van <extra_id_2> hier niet bij betrokken.","['van en betaald', 'van DPG Media.', 'de Volkskrant zijn']",9,30.0,11
m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,m Zuckerberg ontwijkt <extra_id_0> EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,['lastige vragen en laat'],4,30.0,10
en | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,en | De Volkskrant Wat zullen we eens eten vanavond? <extra_id_0> de <extra_id_1> recept. Vandaag:,"['Iedere dag in', 'Volkskrant een verrassend']",6,30.0,10
s | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,s | De Volkskrant Wat zullen we <extra_id_0> Iedere dag in de Volkskrant <extra_id_1> Vandaag:,"['eens eten vanavond?', 'een verrassend recept.']",6,30.0,10
. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal 110 woorden) voor maandag,. Wat zou u doen? Onze <extra_id_0> zou u doen? Mail uw antwoord (maximaal 110 <extra_id_1>,"['vraag is: wat', 'woorden) voor maandag']",6,30.0,10
Wie of wat zette je leven op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,<extra_id_0> zette je leven op het juiste spoor? In een serie interviews vraagt de <extra_id_1> hun inspiratiebron.,"['Wie of wat', 'Volkskrant mensen naar']",6,30.0,10
m Dump het aandeel of wees lastig: pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,m Dump het aandeel <extra_id_0> lastig: pensioenfondsen beleggen steeds kritischer Dump <extra_id_1> wees lastig,"['of wees', 'het aandeel of']",5,30.0,10
op verzoek van de boekenredactie de eerste tien pagina's van drie net verschenen boeken en geeft op basis daarvan advies.,op verzoek van de boekenredactie <extra_id_0> pagina's van <extra_id_1> boeken en geeft op basis daarvan advies.,"['de eerste tien', 'drie net verschenen']",6,30.0,9
Prikkelende opinies op een dag dat u er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,Prikkelende opinies op een dag dat <extra_id_0> heeft: de Volkskrant presenteert elke zondag een bijdrage van een <extra_id_1>,"['u er tijd voor', 'vaste club auteurs.']",7,30.0,9
m En weer is een verrader van Anne Frank ontmaskerd: was het dan toch Ans van ... Is zij de verrader van Anne Frank?,m En weer is een verrader van Anne Frank ontmaskerd: was <extra_id_0> van ... Is <extra_id_1> van Anne Frank?,"['het dan toch Ans', 'zij de verrader']",7,30.0,9
"| De Volkskrant Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","| <extra_id_0> zet elke zondag de leukste, handigste en meest informatieve apps voor u op een <extra_id_1>","['De Volkskrant Volkskrant.nl', 'rijtje. Deze week:']",6,30.0,9
"Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de volgende keer net iets minder opvalt. Vandaag:","Ccile <extra_id_0> Kantelberg bespreken <extra_id_1> stijl van een <extra_id_2> u, toerist, er de volgende keer net iets minder opvalt. Vandaag:","['Narinx en Arno', 'elke week de', 'wereldstad. Opdat']",8,30.0,9
"), naam bij de redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag","), naam bij de redactie bekend Onze vraag <extra_id_0> u doen? Mail <extra_id_1> 110 woorden) voor maandag","['is: wat zou', 'uw antwoord (max.']",6,30.0,9
We genieten wat af met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,We genieten wat af met <extra_id_0> Dirk van der Burg reist <extra_id_1> legt het allemaal vast.,"[""z'n allen. Jan"", 'door Nederland en']",6,30.0,9
' Tourverslaggever Marije Randewijk voorspelt elke dag op Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,<extra_id_0> Randewijk voorspelt elke dag op Volkskrant.nl wie de etappe in de <extra_id_1> gaat winnen. Vandaag de,"[""' Tourverslaggever Marije"", 'Tour de France']",6,30.0,9
"di t/m zo 10-17u. Tel. 0900-8212132 (www.groningermuseum.nl). Haarlem, De Hallen (Grote Markt 16):",di t/m zo 10-17u. Tel. 0900-8212132 (www.groningermuseum.nl). <extra_id_0> Markt 16):,"['Haarlem, De Hallen (Grote']",4,30.0,9
van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van de dag door.,van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met <extra_id_0> het <extra_id_1> dag door.,"['een interessant persoon', 'nieuws van de']",6,30.0,9
".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) gaat voor V in gesprek met bekende en minder bekende Nederlanders over de rol die hun afkomst speelt in hun leven. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje <extra_id_0> mensen, Beste vriend) gaat voor V in gesprek met bekende en <extra_id_1> over <extra_id_2> die hun afkomst <extra_id_3> leven. Hij spreekt onder anderen nog met","['(Alleen maar nette', 'minder bekende Nederlanders', 'de rol', 'speelt in hun']",11,30.0,9
"; di t/m vr 11-17u za zo 14-17u. Tel. 0475-333496 (www.museum.roermond.nl). Rotterdam, Boijmans Van Beuningen (Museumpark 18-20):",; di t/m vr 11-17u za zo 14-17u. Tel. 0475-333496 (www.museum.roermond.nl). <extra_id_0> Beuningen <extra_id_1>,"['Rotterdam, Boijmans Van', '(Museumpark 18-20):']",5,30.0,9
"? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:",? Berichten <extra_id_0> of ze nu <extra_id_1> Wij proberen de zin van de onzin te scheiden. Deze week:,"['verspreiden zich vaak razendsnel,', 'kloppen of niet.']",7,30.0,9
"Groningen, Groninger Museum (Museumeiland): Van Kirchner tot Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964","Groningen, Groninger Museum <extra_id_0> Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964",['(Museumeiland): Van Kirchner tot'],4,30.0,9
en Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,en Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> van <extra_id_1> week:,"['(en cabaretier) Jasper', 'Kuijk. Deze']",5,30.0,9
" Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij <extra_id_0> van de <extra_id_1>","['proberen de zin', 'onzin te scheiden. Vandaag:']",7,30.0,9
Houd moed. In het verleden wisten wetenschappers gigantische gezondheidscrises te bezweren. Deze week:,Houd moed. In het verleden wisten wetenschappers gigantische gezondheidscrises <extra_id_0>,['te bezweren. Deze week:'],4,30.0,9
"De Ombudsclown behandelt vragen, klachten en opmerkingen over zaken waaraan eigenlijk niets te doen is. '",De Ombudsclown <extra_id_0> en opmerkingen over zaken waaraan eigenlijk niets te <extra_id_1> ',"['behandelt vragen, klachten', 'doen is.']",5,30.0,9
Elke dag tipt de redactie van de Volkskrant de beste programma's en films op televisie. Dit moet u vandaag zien.,Elke dag tipt de redactie <extra_id_0> de beste <extra_id_1> op televisie. Dit moet u vandaag zien.,"['van de Volkskrant', ""programma's en films""]",6,30.0,8
De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,De Volkskrant checkt in <extra_id_0> verkiezingen op 15 maart <extra_id_1> op waarheidsgehalte. Vandaag:,"['aanloop naar de', 'politieke uitspraken']",5,30.0,8
"Het leven door de ogen van de Posthuma de Boers - een foto uit het rijke naoorlogse archief van vader Eddy, met een tekst van dochter Eva.",Het leven door de ogen van de <extra_id_0> - een foto uit het rijke naoorlogse archief <extra_id_1> met een tekst <extra_id_2> Eva.,"['Posthuma de Boers', 'van vader Eddy,', 'van dochter']",8,30.0,8
"Mannen komen van Mars, vrouwen van Venus van John Gray. Regie Peter de Baan. Met Huub Stapel als psychiater die de verschillen tussen mannen en vrouwen voorlegt aan het publiek. Tournee","Mannen komen van Mars, vrouwen van Venus van John <extra_id_0> de Baan. Met Huub Stapel <extra_id_1> de verschillen tussen mannen en vrouwen voorlegt aan <extra_id_2>","['Gray. Regie Peter', 'als psychiater die', 'het publiek. Tournee']",9,30.0,8
Reisjournalist Sander Groen verkent om de week een onvermoede bestemming in Nederland of net over de grens.,Reisjournalist Sander Groen verkent om de week een onvermoede bestemming in <extra_id_0> over <extra_id_1>,"['Nederland of net', 'de grens.']",5,30.0,8
"- klopt dit wel? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:",- klopt dit wel? Berichten verspreiden zich <extra_id_0> of ze nu kloppen of niet. Wij proberen <extra_id_1> de onzin te <extra_id_2>,"['vaak razendsnel,', 'de zin van', 'scheiden. Deze week:']",8,30.0,8
"- Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","- Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of <extra_id_0> de zin van de <extra_id_1>","['niet. Wij proberen', 'onzin te scheiden. Vandaag:']",7,30.0,8
"? | De Volkskrant Antwoord op lezersvragen over gezondheid, voeding, leefstijl en psyche. Deze week:",? | De Volkskrant Antwoord op lezersvragen <extra_id_0> en psyche. Deze week:,"['over gezondheid, voeding, leefstijl']",4,30.0,8
"Miss Saigon, de musicalklassieker over een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer te zien in Nederland. Met Stanley Burleson, Na-Young Jeon e.a. T/m","Miss Saigon, <extra_id_0> een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer <extra_id_1> Nederland. <extra_id_2> Na-Young Jeon e.a. T/m","['de musicalklassieker over', 'te zien in', 'Met Stanley Burleson,']",9,30.0,8
"Raging Bull (Martin Scorsese). Meesterwerk uit 1983 opnieuw in de bioscoop te zien in het Filmmuseum in Amsterdam, dat een zomerprogr","Raging Bull (Martin <extra_id_0> 1983 opnieuw in de bioscoop <extra_id_1> het Filmmuseum in Amsterdam, dat een zomerprogr","['Scorsese). Meesterwerk uit', 'te zien in']",6,30.0,8
".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V Nederlanders over de rol die afkomst speelt in hun leven. Mede gebaseerd op deze serie verscheen vorig jaar zijn boek Kaaskoppen. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V Nederlanders over <extra_id_0> afkomst speelt in hun leven. <extra_id_1> deze serie verscheen vorig jaar zijn <extra_id_2> spreekt onder <extra_id_3>","['de rol die', 'Mede gebaseerd op', 'boek Kaaskoppen. Hij', 'anderen nog met']",12,30.0,8
? De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,? De Volkskrant checkt in aanloop naar <extra_id_0> 15 maart politieke uitspraken op <extra_id_1>,"['de verkiezingen op', 'waarheidsgehalte. Vandaag:']",5,30.0,8
Jaarlijks publiceren Nederlandse wetenschappers 172 duizend onderzoeken. In deze rubriek een greep uit de ontdekkingen die bijna onopgemerkt waren gebleven.,Jaarlijks publiceren Nederlandse wetenschappers 172 duizend onderzoeken. In deze rubriek een <extra_id_0> ontdekkingen die <extra_id_1> gebleven.,"['greep uit de', 'bijna onopgemerkt waren']",6,30.0,8
en De rubriek Beeldvormers onderzoekt hoe een foto onze kijk op de werkelijkheid bepaalt. Deze week:,en De rubriek Beeldvormers onderzoekt <extra_id_0> onze kijk <extra_id_1> werkelijkheid bepaalt. Deze week:,"['hoe een foto', 'op de']",5,30.0,8
"; di t/m zo 11-17u. Tel. 013-5438300 (www.depont.nl). Utrecht, Centraal Museum (Nicolaaskerkhof 10):",; di t/m zo 11-17u. Tel. 013-5438300 <extra_id_0> (Nicolaaskerkhof 10):,"['(www.depont.nl). Utrecht, Centraal Museum']",4,30.0,8
van de dagelijkse 4 uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van de dag door.,van de dagelijkse 4 uur Nieuwsbreak. In deze rubriek nemen <extra_id_0> interessant persoon het nieuws <extra_id_1> door.,"['we met een', 'van de dag']",6,30.0,8
Sportverslaggevers Marije Randewijk en Mark Misrus reizen mee in de wielerkaravaan en voorspellen dagelijks de uitkomst van de volgende etappe.,Sportverslaggevers Marije Randewijk en Mark Misrus reizen mee in de <extra_id_0> dagelijks <extra_id_1> de volgende etappe.,"['wielerkaravaan en voorspellen', 'de uitkomst van']",6,30.0,8
Met het ontslag van directeur James Comey heeft Donald Trump de oorlog verklaard aan de FBI. En dat zal hij weten ook. De organisatie slaat altijd meteen terug.,Met het ontslag van directeur James Comey heeft <extra_id_0> oorlog verklaard aan de FBI. En <extra_id_1> weten ook. <extra_id_2> slaat altijd meteen terug.,"['Donald Trump de', 'dat zal hij', 'De organisatie']",8,30.0,8
| De Volkskrant Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,| De Volkskrant Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> van <extra_id_1> week:,"['(en cabaretier) Jasper', 'Kuijk. Deze']",5,30.0,8
"7 van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere dag met een interessant, bekend persoon het nieuws van de dag door.",7 van de dagelijkse 4 Uur <extra_id_0> rubriek nemen we iedere dag met <extra_id_1> bekend persoon <extra_id_2> de dag door.,"['Nieuwsbreak. In deze', 'een interessant,', 'het nieuws van']",8,30.0,8
"en Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","en Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept <extra_id_0> te <extra_id_1>","['om de restjes op', 'maken. Deze week:']",7,30.0,8
Deze zomer kiest de Volkskrant voor u. We selecteren iedere week 10 onmisbare attributen. Deze week:,Deze zomer kiest de <extra_id_0> u. We selecteren iedere week <extra_id_1> Deze week:,"['Volkskrant voor', '10 onmisbare attributen.']",5,30.0,8
"Mamma Mia!, reisproductie van Van den Ende-musical met liedjes in de vertaling van Coot van Doesburg.",<extra_id_0> van Van den Ende-musical met liedjes in de vertaling van Coot <extra_id_1>,"['Mamma Mia!, reisproductie', 'van Doesburg.']",5,30.0,7
"is gemaakt volgens het collodiumproced. Bij die methode, daterend uit de periode 1850- 1880, wordt ter plekke een aluminiumplaat of glasplaat gecoat met een laagje zilver. Daarop wordt de foto genomen. Het is een bewerkelijk en moeilijk proced dat de laatste jaren weer in opkomst is.","is gemaakt volgens het collodiumproced. Bij die methode, daterend <extra_id_0> 1850- 1880, wordt ter plekke een aluminiumplaat of glasplaat gecoat met <extra_id_1> Daarop wordt de foto <extra_id_2> een bewerkelijk en <extra_id_3> de laatste jaren weer <extra_id_4> is.","['uit de periode', 'een laagje zilver.', 'genomen. Het is', 'moeilijk proced dat', 'in opkomst']",14,30.0,7
"5 van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere dag met een interessant, bekend persoon het nieuws van de dag door.","<extra_id_0> dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere dag met een interessant, bekend <extra_id_1> van <extra_id_2> door.","['5 van de', 'persoon het nieuws', 'de dag']",8,30.0,7
"NL2025, een maatschappelijk initiatief van kopstukken uit het bedrijfsleven, cultuur, sport en wetenschap dat ideen en mensen bijeen wil brengen voor een 'een betere toekomst van Nederland'.","NL2025, een maatschappelijk initiatief van kopstukken uit het bedrijfsleven, cultuur, sport en wetenschap <extra_id_0> en mensen bijeen <extra_id_1> een <extra_id_2> van Nederland'.","['dat ideen', 'wil brengen voor', ""'een betere toekomst""]",8,30.0,7
Erik van den Berg deelt dagelijks een opmerkelijk fragment uit zijn verzameling historische dagboeken.,<extra_id_0> deelt dagelijks een opmerkelijk fragment uit zijn verzameling historische dagboeken.,['Erik van den Berg'],4,30.0,7
Beeld Adriaan van der Ploeg Elke week een portret van een kind in haar of zijn slaapkamer. Vandaag:,Beeld Adriaan van <extra_id_0> week een portret van een kind in <extra_id_1> zijn slaapkamer. Vandaag:,"['der Ploeg Elke', 'haar of']",5,30.0,7
"Caspar Janssen loopt een jaar lang door Nederland en brengt al doende het landschap in kaart, en daarmee de planten, dieren, mensen en kwesties van het Nederlandse land.","Caspar Janssen loopt een jaar lang door Nederland <extra_id_0> doende het landschap in <extra_id_1> de planten, dieren, mensen en kwesties van het <extra_id_2>","['en brengt al', 'kaart, en daarmee', 'Nederlandse land.']",8,30.0,7
zijn de modeshows met de wintermode voor 2018-2019 in volle gang. Moderedacteur Bregje Lampe blogt dagelijks over de Show van de Dag. Vandaag:,zijn <extra_id_0> de wintermode voor 2018-2019 in volle <extra_id_1> blogt dagelijks over de Show van de Dag. Vandaag:,"['de modeshows met', 'gang. Moderedacteur Bregje Lampe']",7,30.0,7
aangehouden omdat de politie de grootte van zijn auto in combinatie met zijn huidskleur verdacht vond.,aangehouden omdat <extra_id_0> de grootte van zijn auto in <extra_id_1> huidskleur verdacht vond.,"['de politie', 'combinatie met zijn']",5,30.0,7
"van de dagelijkse rubriek 4 Uur Nieuwsbreak. In deze rubriek nemen we iedere dag met een interessant, bekend persoon het nieuws van de dag door.",van de dagelijkse rubriek 4 Uur Nieuwsbreak. In <extra_id_0> nemen we iedere dag met een <extra_id_1> het <extra_id_2> dag door.,"['deze rubriek', 'interessant, bekend persoon', 'nieuws van de']",8,30.0,7
"s Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","s Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een <extra_id_0> op <extra_id_1> week:","['recept om de restjes', 'te maken. Deze']",7,30.0,7
"? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","? Berichten verspreiden zich vaak razendsnel, <extra_id_0> of niet. Wij proberen de zin van de <extra_id_1> Vandaag:","['of ze nu kloppen', 'onzin te scheiden.']",7,30.0,7
en Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,en Denkfouten in hedendaags ontwerp gefileerd door <extra_id_0> van Kuijk. Deze week:,['innovatie-expert (en cabaretier) Jasper'],4,30.0,7
"et werken van Hans Holbein de Jonge, Quinten Massys en Albrecht Drer, t/m 8 februari; Uit de collectie Ploos van Amstel Knoef, selectie Nederlandse tekeningen 1780-1860","et werken van Hans Holbein de Jonge, Quinten <extra_id_0> Albrecht <extra_id_1> februari; Uit de collectie <extra_id_2> Knoef, selectie Nederlandse tekeningen 1780-1860","['Massys en', 'Drer, t/m 8', 'Ploos van Amstel']",8,30.0,7
De beste films en interessantste programma's uit het televisieaanbod van dit weekeinde. Met onder meer,De beste films en interessantste programma's uit het televisieaanbod van <extra_id_0> meer,['dit weekeinde. Met onder'],4,30.0,7
"resultaten van het schilderijenonderzoek naar Rotsen bij Villerville-sur-mer van Charles-Franois Daubigny, t/m 23/1","resultaten <extra_id_0> Rotsen bij Villerville-sur-mer van Charles-Franois Daubigny, t/m 23/1",['van het schilderijenonderzoek naar'],4,30.0,7
Schrijver Henk van Straten stapt elke week in de auto bij een min of meer bekende Nederlander. Een enkele keer neemt hij de tram. Deze week:,Schrijver Henk van Straten stapt elke week in de auto bij een min of meer <extra_id_0> enkele <extra_id_1> hij de <extra_id_2>,"['bekende Nederlander. Een', 'keer neemt', 'tram. Deze week:']",8,30.0,7
