,text,text_count,link,paywall
119,"In de steden duiken cokelabs op in appartementen, garageboxen of zelfs boven een kinderdagverblijf. Midden in de dichtbevolkte wijken, zoals in Rotterdam waar een flat explodeerde.",1,Gover Meit noemt songfestival in Malmö een zware periode | Show | AD.nl,nee
125,Eerder deze maand kondigde French Gates aan dat ze de Bill & Melinda Gates Foundation (BMGF) ging verlaten.,1,https://www.ad.nl/binnenland/theo-heuft-oud-uitbater-van-wereldberoemd-bordeel-yab-yum-op-89-jarige-leeftijd-overleden~a1e0b660/,ja
129,"Stoelen, banken, pallets, fietsen – de barricades die zijn opgeworpen door de demonstranten die het universiteitsgebouw in de Amsterdamse binnenstad hebben bezet, blijken weinig partij voor de ME.",1,https://www.ad.nl/economie/van-200-miljoen-verlies-naar-61-miljoen-winst-hema-kon-niet-blijven-teren-op-tompouce-en-rookworst~a677020d/,ja
134,"Wonen in een comfortabel verwarmd huis van steen met een pannendak: dat was voor het gros van de mensen in het verleden een utopie. Het zag er wellicht romantisch uit zo’n lieflijk huisje, maar er werd bittere armoede geleden.",1,https://www.ad.nl/geld/doe-ook-mee-aan-de-rubriek-geld-en-geluk-in-ons-magazine-mezza~aec4dee9/,ja
135,"Griekenland stuurt asielzoekers die al aan land zijn terug de zee op en laat hen achter in rubberbootjes, hebben ngo’s en journalisten gedocumenteerd.",1,https://www.ad.nl/ek-voetbal/nergens-is-het-nederlands-elftal-zo-populair-als-in-dit-stadje-oranjefans-gaan-massaal-naar-ek-in-duitsland~a6e3ea29/,ja
144,De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er ruim 11.500 euro opgehaald voor het Ronald McDonald Huis Sophia Rotterdam.,1,Tuinders eisen vergoeding na afketsen stookfabriek (en ze willen miljoenen) | Voorne aan Zee | AD.nl,ja 
145,Een groep hardnekkige verslaafden heeft het toiletgebouw in een Utrechts park gekaapt en daar hun eigen drugshol ingericht. Ze omzeilen zo ongestoord en onbestraft het verbod om drugs op straat te gebruiken.,1,https://www.ad.nl/show/maxima-doet-frenna-de-groetjes-van-alexia-tijdens-werkbezoek-aan-atlanta~ada3429f/,ja
150,Cees Dekker | hoogleraar biofysica Hoe is het leven ontstaan? Synthetische cellen maken dat inzichtelijk. „Als je zoiets zelf bouwt ga je begrijpen hoe het werkt.”,1,https://www.ad.nl/binnenland/het-is-wisselvallig-deze-week-en-dat-is-goed-nieuws-voor-hooikoortspatienten-weg-met-de-pollen~a75f2264/,ja
152,De herdenking van de landing van de geallieerden in Normandië roept vragen op over waar het Westen anno 2024 staat.,1,Waarom worden bij nieuwe kentekenreeks de eerste zes letters van het alfabet overgeslagen? | Auto | AD.nl,ja
154,Politiek verslaggever Hans van Soest schrijft wekelijks over Haagse zaken die ons allemaal aangaan. In deze aflevering: Nog altijd is er geen regeling voor zware beroepen.,1,https://www.ad.nl/geld/koopkracht-inflatie-modaal-inkomen-wat-betekenen-al-deze-termen~a2616e8f/,ja
155,Na eerdere problemen rond de vergunning mag de bouw van een boorplatform in de Noordzee worden hervat. Milieuorganisaties hadden een rechtszaak aangespannen om de bouw tegen te houden.,1,"Introvert zijn in extraverte wereld: ‘Doodongelukkig liep ik de polonaise, de minuten tellend’ | Mezza | AD.nl",ja
156,Daan en het ongelijk van de rommelmarktheks ‘Uren samen spelen is verruild voor me-time op eigen kamers’. Daan Rot schrijft in weekendmagazine Mezza wekelijks over zijn persoonlijk leven,1,"Geen koningin, maar een koning bij aardbeienfeesten in Zundert: Hein (22) heeft de primeur | Zundert | AD.nl",ja
160,Inwoners van het Friese Waadhoeke hebben tot maandochtend moeten wachten op de verkiezingsuitslag van de Europese verkiezingen. Die lag veilig opgeborgen in een kluis in het gemeentehuis waar in het weekend een tijdslot op zit.,1,"In België kan het, maar hier blijkt bepalen wat een zwaar beroep is héél moeilijk | Haagse Zaken | AD.nl",ja 
166,Een beruchte hackersgroep stelt gevoelige informatie van in totaal 560 miljoen klanten van Ticketmaster te hebben gestolen. De groep eist omgerekend zo’n 460 duizend euro losgeld van het Amerikaanse kaartverkoopbedrijf.,1,https://www.ad.nl/economie/ah-met-spelerskaarten-en-juichhamster-vol-vertrouwen-ek-in-belangrijk-dat-eerste-wedstrijd-wordt-gewonnen~ae53a447/,ja
167,"Honderden pagina’s aan ambtelijk commentaar op het Hoofdlijnenakkoord van PVV, VVD, NSC en BBB zijn vrijgegeven. Er zijn grote vraagtekens op allerlei terreinen, van het buitenlandbeleid en defensie tot landbouw en sociale zekerheid.",1,https://www.ad.nl/economie/klanten-reserveren-online-maar-komen-niet-opdagen-we-vergeten-dat-we-met-mensen-te-maken-hebben~acb58151/,ja
171,"Naar aanleiding van de grote hoeveelheid pfas in eieren rond de fabriek van Chemours in Dordrecht, start het RIVM een nieuw onderzoek.",1,"Multimiljonair startte zonnepanelen-imperium, nu zijn de bedrijven failliet en duizenden klanten de dupe | Binnenland | AD.nl",ja
172,De gemeente Voorne aan Zee wil dat er over de huisvesting van arbeidsmigranten goede afspraken komen.,1,"Agent tipt collega’s over slingerende auto, maar dan maakt dronken bestuurder zelf een einde aan die rit | Tilburg | AD.nl",ja
175,Aan het veluweplein in Den Haag zijn zondagochtend drie personen aangehouden na een crash met een gesloten motor. De kruising was langere tijd afgesloten vanwege politieonderzoek.,1,"Youtuber riskeert tien jaar cel om stunt met vuurwerk, helikopter en een Lamborghini | Buitenland | AD.nl",ja
178,"Door middel van misleiding kunnen legers zich groter maken dan ze zijn. Het concept was bij het Westen wat uit de gratie geraakt, maar is door de oorlog in Oekraïne weer terug.",1,https://www.ad.nl/economie/la-place-gaat-alleen-verder-jumbo-blijft-aandeelhouder~ad024dd1/,ja
180,"Eerder deze maand kondigde French Gates aan dat ze de Bill & Melinda Gates Foundation (BMGF) ging verlaten. Ze zei al dat ze actief wilde blijven als filantroop, maar dat ze later zou aankondigen op welke manier.",1,Live Roland Garros | Grijpt Zverev of Alacaraz eerste titel? (ad.nl),nee
182,Een groep hardnekkige verslaafden heeft het toiletgebouw in een Utrechts park gekaapt en daar hun eigen drugshol ingericht. Ze omzeilen zo ongestoord en onbestraft het verbod om drugs op straat te gebruiken. ‘Normale’ bezoekers van het park worden door de verslaafden geweerd bij het toilet.,1,https://www.ad.nl/binnenland/tijdslot-kluis-en-onderbezetting-vertragen-uitslag-eu-verkiezingen-in-friese-en-groningse-gemeente~a0c986bb/,ja
183,"Door middel van misleiding kunnen legers zich groter maken dan ze zijn. Het concept was bij het Westen wat uit de gratie geraakt, maar is door de oorlog in Oekraïne weer terug.",1,https://www.ad.nl/economie/waarde-van-export-nederlandse-goederen-was-vorig-jaar-vijf-procent-lager-productie-industrie-blijft-dalen~aaa1661d/,ja
185,"Een nieuwbouwwoning die in een ochtendje op zijn plek wordt gezet. Met vloerverwarming, badkamer en al. Én voor een scherpe prijs.",1,https://www.ad.nl/binnenland/helft-van-gepakte-cybercriminelen-is-nog-geen-25-jaar-handleidingen-staan-online-voor-ze-klaar~ac673bac/,ja
186,"Dubbele seksuele moraal is achterhaald, laat vrouwen ook kinderen hebben bij verschillende mensen",1,https://www.ad.nl/binnenland/eieren-en-krassen-op-auto-s-helpen-niet-wat-is-dan-wel-een-oplossing-voor-parkeerdruk-bij-luchthaven~ab7524f8/,ja
192,"Bij het St. Antonius Ziekenhuis in Nieuwegein stortte een deel van een parkeergarage in. Het ongeval doet denken aan een soortgelijk incident in Eindhoven, zeven jaar geleden. Volgens experts schiet het toezicht in de bouwsector tekort: er is ‘een vacuüm’ waar het op constructiecontroles aankomt.",1,Megakathedraal moet van Amsterdamse Zuidas bedevaartsoord maken: ‘Beter dan plannen megabordeel’ | Binnenland | AD.nl,ja
193,"Het Amsterdamse Waternet, verantwoordelijk voor schoon drinkwater én het onderhoud van dijken en gemalen in het grootste waterschap van Nederland, moet worden opgesplitst. Er komen aparte organisaties voor beide taken.",1,"Haar door Hamas ontvoerde ‘zus’ is vrij, Nederlandse Carola (34) denkt dat ze droomt: ‘Echt een wonder’ | Binnenland | AD.nl",ja
194,Op de laatste dag van de competitie heeft het door problemen geteisterde Vitesse goed nieuws te melden. Supporters hebben bijna 2 miljoen euro ingezameld met een crowdfundingsactie.,1,Van 200 miljoen verlies naar 61 miljoen winst: Hema kon niet blijven teren op tompouce en rookworst | Deze verhalen mag je niet missen | AD.nl,ja
196,Deze donderdagmiddag neemt de Europese Centrale Bank 99 procent zeker een besluit waar de financiële markten al maanden smachtend naar uitkijken: een renteverlaging.,1,https://www.ad.nl/economie/garnalenprijs-op-recordhoogte-wie-koopt-er-een-broodje-garnalen-voor-8-50-euro~a9bdef06/,ja
197,"Novak Djokovic heeft zich geplaatst voor de vierde ronde (achtste finales) op Roland Garros, maar de nummer 1 van de wereld moest er lang op wachten. Het publiek ook: de laatste bal vloog pas zondagnacht om 6 minuten over 3 over het net.",1,https://www.ad.nl/show/moeder-90-van-kees-momma-bekend-van-docu-kees-vliegt-uit-overleden-ze-heeft-altijd-liefde-gegeven~a167b41a/,nee
199,Een groep hardnekkige verslaafden heeft het toiletgebouw in een Utrechts park gekaapt en daar hun eigen drugshol ingericht. Ze omzeilen zo ongestoord en onbestraft het verbod om drugs op straat te gebruiken. ‘Normale’ bezoekers van het park worden door de verslaafden geweerd bij het toilet.,1,"Drugsverslaafden teisteren Utrecht, maar hoe los je dit probleem op? | Utrecht | AD.nl",ja
203,"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken. Het bedrijf lijkt iets te veel inspiratie te hebben geput uit de film Her, waarvoor Johansson de stem van computersysteem Samantha insprak.",1,"N-VA blijft grootste in Vlaams parlement, Vlaams Belang tweede: ‘Wel een domper’ | Buitenland | AD.nl",nee
205,"De ‘volgverkeerslichten’ kunnen persoonlijke gegevens van mensen verzamelen, onder meer via apps op smartphones. De Autoriteit Persoonsgegevens maakt zich zorgen.",1,Plotseling krijgen Françoise en Agustin een tankstation naast hun huis: ‘Kunnen niet eens meer buiten zitten’ | Binnenland | AD.nl,ja
206,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. „Vermindering van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.”,1,https://www.ad.nl/economie/op-wall-street-gaan-alle-alarmbellen-af-bij-het-horen-van-de-naam-roaring-kitty~a16bb2df/,ja
211,"Na de dood van de achttienjarige Ryan al Najjar kregen De Telegraaf en Leeuwarder Courant mails namens de vader, waarin de moord werd bekend.",1,https://www.ad.nl/geld/waarom-meer-dan-de-helft-van-nederland-te-veel-betaalt-voor-een-zorgverzekering-regel-meer-online~a25c755c/,ja
214,"Hoewel Donald Trumps veroordeling uniek is in de geschiedenis, geldt dat niet voor het onderliggende schandaal: een buitenechtelijke affaire.",1,https://www.ad.nl/binnenland/verslaafden-maken-drugshol-van-wc-gebouw-en-weigeren-parkbezoekers-binnen-te-laten-weg-hier-bezet~a1ff1fb8/,ja
217,"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. „Nederland is een prachtig land./ Een land om trots op te zijn.” En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.",1,https://www.ad.nl/buitenland/faiza-zat-vast-in-russische-cel-licht-ging-nooit-uit-en-er-klonk-altijd-harde-muziek-zodat-je-wakker-bleef~ad97378e/,ja
221,Tijdens de eerste twee dagen van festival Best Kept Secret was het de New Yorkse St.,1,https://www.ad.nl/economie/nieuwe-verzekering-tegen-arbeidsongeschiktheid-voor-zelfstandigen-is-betaalbaar-maar-sober~a0244d46/,ja
222,Verwachtingen voor een staakt-het-vuren zijn dit weekend flink getemperd. Ultrarechtse leden van de Israëlische regering dreigen met opstappen als Israël instemt met voorstel van de VS.,1,"Barrie Stevens keert voor jubileum terug naar theater: ‘Het podium is mijn passie, het brengt me tot leven’ | Mezza | AD.nl",ja
225,Een beetje geluk in het casino en een loterij kan iedereen overkomen natuurlijk. Maar Cayetano Canto lijkt zijn hand te hebben overspeeld. In achttien maanden won hij 260 keer in het casino en vijf keer de lokale loterij. Genoeg reden voor de Argentijnse politie om de oud-burgemeester mogelijk te vervolgen.,1,https://www.ad.nl/binnenland/kenville-kleinmoedig-grote-stemmentrekker-voor-groenlinks-pvda-op-curacao-en-bonaire~aadc0be8/,ja
228,Het Belgische cordon sanitaire staat al meer dan dertig jaar als een huis. Is dat bij de komende verkiezingen – de extreem-rechtse partij Vlaams Belang is grootste in de peilingen – nog wel vol te houden?,1,Praat mee: douchen Nederlanders te veel? | De Kwestie | AD.nl,nee
229,"Fans van het Nederlands Elftal hopen vurig dat Nederland Europees kampioen voetbal wordt, maar vergeleken met fans in andere landen geven we er liever niet al te veel geld aan uit.",1,Voorne aan Zee gaat huisvesting arbeidsmigranten beter regelen | Voorne aan Zee | AD.nl,ja
231,Televisieregisseur Rudolf Spoor is overleden. Voor de NOS regisseerde Spoor decennialang grote evenementen.,1,"Ballonnen-oorlog laait op: Noord-Korea stuurt 300 vuilnisballonnen, Zuid-Korea zet luidsprekers bij de grens aan | Buitenland | AD.nl",ja
232,"De Nederlandsche Bank (DNB) hoeft geen vergoeding te betalen aan een man die beweert dat zijn bankbiljetten, met een totaalwaarde van 6.500 euro, in de oven beschadigd zijn geraakt.",1,https://www.ad.nl/binnenland/qua-zuinigheid-is-de-oranjefan-al-ongeslagen-europees-kampioen~a76910f7/,ja
233,"De Amerikaanse regering start een aantal mededingingsonderzoeken naar OpenAI, Nvidia en Microsoft vanwege mogelijk te vergaande dominantie van de markt van kunstmatige intelligentie (AI).",1,https://www.ad.nl/binnenland/nieuwe-kroongetuige-klapt-uit-de-school-over-onderwereldconflict-rond-piet-costa~a132a603/,ja
238,Voor het eerst is een voormalig Amerikaans president strafrechtelijk veroordeeld. Beide zijden in de gepolariseerde VS zien electorale kansen na het vonnis.,1,https://www.ad.nl/buitenland/verdwenen-nederlander-74-op-grieks-eiland-had-alleen-klein-flesje-water-bij-zich~ab6e8374/,ja
239,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven. Geen wonder dat het in de kunsten wemelt van het wasgoed. Bij Brueghel ligt het slaafs op de bleek, bij Breitner frummelt het aan de wind.",1,"Suriname overtuigt ook in tweede WK-kwalificatieduel met dikke zege, Dick Advocaat juicht opnieuw met Curaçao | Buitenlands voetbal | AD.nl",ja
240,"Tuinders in Vierpolders eisen een investering van twee ton terug van de gemeente Voorne aan Zee, omdat hun aanvankelijk toegestane stookfabriek later toch niet mocht worden gebouwd. En eigenlijk willen ze nog heel veel meer geld zien.",1,https://www.ad.nl/binnenland/knoeien-met-nagellakremover-en-ontwormingsmiddel-cokelabs-zijn-tikkende-tijdbommen~a23c52a5/,ja
241,"Een kathedraal, vergelijkbaar met de befaamde Hagia Sophia in Istanboel, moet verrijzen op de Zuidas. Een kerk die Amsterdam tot een van de belangrijkste bedevaartsoorden ter wereld maakt.",1,"Ooit had een zeer driftige Roger Federer er baat bij, nu start ook de tennisbond met mentale experimenten | Tennis | AD.nl",ja
244,"Er staat geen maat op chipmaker Nvidia. Dankzij de grote vraag naar AI-chips blijft de koers maar stijgen, waarmee het bedrijf nu meer dan 3 biljoen dollar waard is en alleen nog Microsoft voor zich heeft.",1,Daans peuters werden pubers: ‘Het lachen vergaat mij menigmaal’ | Daan & Jan Rot | AD.nl,ja
