text,text_count,link,paywall
"De gemeente Zundert schitterde dinsdag bij de Raad van State door afwezigheid, terwijl rechter Jan van Breda heel wat vragen wilde stellen over het campingbeleid van de gemeente.",1,Campinghoudster ’t Oekeltje: ‘Het lijkt wel persoonlijk zoals Zundert mij tegenwerkt’ | Zundert | AD.nl,ja
"Voor het eerst in de geschiedenis is er tijdens het aardbeienfeest geen koningin, maar een koning. Hein Gommers (22) is de trotse koning tijdens de veertigste editie van het aardbeienfeest in Zundert. ,,Ik heb het altijd heel leuk gevonden.”",1,"Geen koningin, maar een koning bij aardbeienfeesten in Zundert: Hein (22) heeft de primeur | Zundert | AD.nl",ja
De RDW heeft deze week het eerste nummerbord onthuld van een nieuwe kentekenserie. Deze kentekens beginnen met de letter G. Maar waarom worden de eerste zes letters van het alfabet overgeslagen?,1,Waarom worden bij nieuwe kentekenreeks de eerste zes letters van het alfabet overgeslagen? | Auto | AD.nl,ja
"De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er ruim 11.500 euro opgehaald voor het Ronald McDonald Huis Sophia Rotterdam. ,,De jongste deelnemer ooit, van dertien jaar oud, is samen met haar vader eerste geworden.”",1,Ruim 11.500 euro opgehaald voor Ronald McDonald Huis: ‘Vader en dochter (13) winnen Willem IV Rally’ | Vijfheerenlanden | AD.nl,ja
"De Ambonese wijk in Leerdam verandert in een kleurrijk Pasar Malam, met 85 kramen vol lekkernijen, kleurrijke kleding, amusement en livemuziek. Voor velen belooft de twaalfde editie een hartverwarmende bijeenkomst te worden. David Golverdingen-Manuputty, bestuurslid van de Stichting Masa Depan Leerdam, vertelt over het feest.",1,Exotische spullen of op zoek naar familiegeschiedenis; het kan op de Pasar Malam in Leerdam | Vijfheerenlanden | AD.nl,ja
"Matthijs de Ligt is vlak voor de start van het EK voetbal getrouwd. De 24-jarige verdediger van het Nederlands elftal heeft afgelopen vrijdag in het geheim zijn jawoord gegeven aan zijn partner Annekee Molenaar, de dochter van voormalig Ajax- en Feyenoord-speler Keje Molenaar.",1,Oranje-international Matthijs de Ligt stapt vlak voor EK in huwelijksbootje | Oranje | AD.nl,ja
Suriname heeft ook zijn tweede WK-kwalificatieduel in Groep F van de CONCACAF-zone overtuigend gewonnen. Na de 4-1 zege op Saint Vincent en de Grenadines werd het zaterdagavond zonder al te veel problemen 4-0 tegen Anguilla. Andere ploegen in de groep zijn El Salvador en Puerto Rico.,1,"Suriname overtuigt ook in tweede WK-kwalificatieduel met dikke zege, Dick Advocaat juicht opnieuw met Curaçao | Buitenlands voetbal | AD.nl",ja
Primoz Roglic heeft Critérium du Dauphiné op zijn naam geschreven. De Sloveen van BORA-hansgrohe sloot de Franse rittenkoers af met een voorsprong van acht seconden ten opzichte van Matteo Jorgensen van Visma-Lease a Bike. Carlos Rodriguez won de laatste etappe.,1,Opgeluchte Primoz Roglic wint Criterium du Dauphiné op slechts acht tellen: ‘Ik kon ze steeds zien rijden’ | Wielrennen | AD.nl,ja
"Huisfeestje, de samenwerking tussen Roxy Dekker en jongensgroep Bankzitters, is anderhalve dag na lancering al een hit op de streamingdiensten. Op Spotify kwam het nummer zelfs dicht bij een record.",1,"Streams samenwerking Roxy Dekker en Bankzitters door het dak, bijna Spotify-record | Show | AD.nl",ja
"Alsof het leven er al niet erbarmelijk genoeg is, werd de Keniaanse sloppenwijk Mathare eind april getroffen door een zware overstroming. Honderden huisjes van golfplaat en sloophout verdwenen in de kolkende modderstroom, evenals twee van de tien scholen waar de kleine Amersfoortse stichting Mathare Girl Power al jaren hulp biedt. Oprichtster Fiona Weijkamp vraagt met een benefietconcert in de Rochuskapel aandacht én geld voor de vergeten ramp.",1,"Keniaanse sloppenwijk radeloos na rampzalige overstroming, Amersfoortse komt in actie | Amersfoort | AD.nl",ja
"Bejaarde, hulpbehoevende bewoners van een zorgcentrum in Amersfoort kregen één dag van tevoren te horen dat ze plotseling moesten vertrekken. Het tehuis moet gedwongen sluiten vanwege ontoereikende zorg. ,,Het is te betreuren dat ze zo laat zijn ingelicht.”",1,Bewoners zorgcentrum horen één dag van tevoren dat huis sluit: ‘Is te betreuren dat ze zo laat zijn ingelicht’ | Amersfoort | AD.nl,ja
"Garry Conille, nog geen twee weken geleden als tijdelijke premier van Haïti aangesteld, is zaterdag in het ziekenhuis in Port-au-Prince opgenomen. Over zijn toestand zijn officieel nog geen mededelingen gedaan.",1,Nieuwe interim-premier van Haïti kort na benoeming in het ziekenhuis opgenomen | Buitenland | AD.nl,ja
"Zelfs nu de rechter heeft geoordeeld dat hij zijn stacaravan moet verlaten, blijkt de zieke Henk er nog altijd te wonen. De zeventiger slijt uit angst zijn dagen nu in een hermetisch afgesloten stacaravan, waar hij leeft van cola, water en koekjes. De gemeente wil hem graag helpen, vrienden zijn bezorgd. Maar hij is vastbesloten: ,,Ik ga, kan en wil niet weg!”",1,"Hij is als enige over op camping, maar Henk weigert vertrek: ‘Hij vervuilt en z’n verzorging is nul’ | Instagram | AD.nl",ja
"Nergens in Nederland komt zoveel huiselijk geweld voor als in Rotterdam. Wie zijn de verdachten? Deze site keek mee in de rechtbank en sprak een rechter die al honderden gewelddadige mannen in de ogen keek. ,,Natuurlijk moet iemand boete doen. Maar ik wil vooral dat het geweld stopt.”",1,"Geen doorgewinterde criminelen, maar mannen met ‘gewone’ banen staan voor rechter om huiselijk geweld | De beste verhalen uit Rotterdam en omgeving | AD.nl",ja
Het pakket van Jolanda Muhlenbaumer uit Glanerbrug werd op een wel heel bijzondere manier bij haar afgeleverd afgelopen week. De bezorger van DHL gooit het pakketje ter waarde van 100 euro over de schutting toen er niemand opendeed: „Het zou fijn zijn als DHL reageert!”,1,DHL-bezorger gooit het pakketje van Jolanda zo over de schutting: ‘Was 100 euro waard!’ | Binnenland | AD.nl,ja
"Een kathedraal, vergelijkbaar met de befaamde Hagia Sophia in Istanboel, moet verrijzen op de Zuidas. Een kerk die Amsterdam tot een van de belangrijkste bedevaartsoorden ter wereld maakt. De plannen van Mathe Reijnierse zijn groots en meeslepend. Maar een kathedraal op zo’n beetje de meest kapitalistische plek van het land? Waar bovendien plannen zijn voor een megabordeel. Hoe zit dat? Zaterdag is er een congres over.",1,Megakathedraal moet van Amsterdamse Zuidas bedevaartsoord maken: ‘Beter dan plannen megabordeel’ | Binnenland | AD.nl,ja
Inbrekers hebben afgelopen nacht voor ongeveer een half miljoen euro aan juwelen buitgemaakt bij de luxe juwelier Bulgari in Rome. De criminelen zijn de juwelierszaak bij de bekende Spaanse Trappen binnengekomen via een gat in de muur.,1,Juwelenroof bij Bulgari in Rome: inbrekers gaan door riool en gat in muur en maken 500.000 euro buit | Buitenland | AD.nl,ja
"Stormen, flinke regenval en overstromingen teisteren het zuidoosten van Oostenrijk. Auto's worden meegesleurd door het wassende water en tientallen mensen zijn gered uit levensgevaarlijke situaties, aldus de hulpdiensten. Stembureaus voor de Europese verkiezingen zijn verwoest of onbereikbaar. De autoriteiten hebben een burgerbeschermingsalarm afgekondigd, nu zondagmiddag meer noodweer wordt verwacht.",1,"Oostenrijk zet zich schrap voor nieuwe onweersbuien, stembureaus onbereikbaar door overstromingen | Buitenland | AD.nl",ja
Met een spectaculaire reddingsoperatie wist het Israëlische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,1,Waarom er zoveel doden vielen bij de bevrijding van vier Israëlische gijzelaars: ‘Deze actie moest lukken’ | Buitenland | AD.nl,ja
Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote luidsprekers bij de grens weer aan en zullen nieuwsuitzendingen en popmuziek de grens over schallen.,1,"Ballonnen-oorlog laait op: Noord-Korea stuurt 300 vuilnisballonnen, Zuid-Korea zet luidsprekers bij de grens aan | Buitenland | AD.nl",ja
"Chocopinda’s, borrelnootjes, pindakaas en voedingsrepen: grote kans dat ze Argentijnse pinda’s bevatten. Van de complete Argentijnse pindaoogst gaat 80 procent naar Nederland. Na een dramatisch 2023 is het in het Zuid-Amerikaanse land eindelijk weer gaan regenen. ,,Dat gaan jullie proeven in de pindakaas.” Correspondent Peter Schouten ging op onderzoek uit.",1,Calvé-pindakaas en M&M’s worden lekkerder omdat het nu in Argentinië regent: ‘Superoogst’ | Economie | AD.nl,ja
"Een ontbijtafspraak in Amsterdam en een gespannen sollicitant: zo begon het avontuur van topvrouw Saskia Egas Reparaz bij Hema, die het oer-Hollandse warenhuis weer winstgevend maakte. En vooral haar ziel teruggaf, met meegroeirompertjes, doorgeefjassen en verbeterde kaasschaven. Hoe deed ze dat? In gesprek met mensen die nauw met haar samenwerken: ,,Saskia en Hema zijn een soort van symbiose.’’",1,Van 200 miljoen verlies naar 61 miljoen winst: Hema kon niet blijven teren op tompouce en rookworst | Deze verhalen mag je niet missen | AD.nl,ja
"Nabestaanden van de slachtoffers van een massaschietpartij in een basisschool in de Amerikaanse staat Connecticut, in 2012, hebben vrijdag een vergoedingsvoorstel aanvaard van de failliete complotdenker Alex Jones. Hij bood aan zijn bezittingen te verkopen om hen in ieder geval gedeeltelijk te kunnen vergoeden voor zijn lasterlijke uitlatingen over het bloedbad.",1,Complotdenker die zei dat bloedbad op Amerikaanse school in scène was gezet moet al zijn bezittingen verkopen | Buitenland | AD.nl,ja
Een even bizar als spectaculair beeld moet youtuber Alex Choi voor ogen hebben gehad. Hij bedacht een wel heel extreme stunt. De autoriteiten grepen in en nu moet hij vrezen voor een lange gevangenisstraf.,1,"Youtuber riskeert tien jaar cel om stunt met vuurwerk, helikopter en een Lamborghini | Buitenland | AD.nl",ja
Een beetje geluk in het casino en een loterij kan iedereen overkomen natuurlijk. Maar Cayetano Canto lijkt zijn hand te hebben overspeeld. In achttien maanden won hij 260 keer in het casino en vijf keer de lokale loterij. Genoeg reden voor de Argentijnse politie om de oud-burgemeester mogelijk te vervolgen.,1,‘Geluksvogel’ wint in anderhalf jaar 260 keer in het casino én in 5 loterijen: politie gelooft er niets van | Buitenland | AD.nl,ja
"Bente van de Wouw (29) leefde jaren als extravert, terwijl ze toch echt heel introvert is. Toen ze op haar drieëntwintigste huilend en hyperventilerend bij de dokter zat, realiseerde ze zich dat het tijd werd om zichzelf te worden. ‘Ik zie mezelf nu als een sterk persoon, die voor zichzelf durft te kiezen.’",1,"Introvert zijn in extraverte wereld: ‘Doodongelukkig liep ik de polonaise, de minuten tellend’ | Mezza | AD.nl",ja
Een agent kon zaterdagavond al voor zijn dienst in Tilburg begon aan de slag. Hij zag een automobilist slingeren over de Bredaseweg en vermoedde dat de man onder invloed was. Andere agenten werden gewaarschuwd en vonden de bestuurder terug op een bijzondere plek.,1,"Agent tipt collega’s over slingerende auto, maar dan maakt dronken bestuurder zelf een einde aan die rit | Tilburg | AD.nl",ja
"De discotheek is aan het verdwijnen in Italië. Van de ruim zevenduizend danspaleizen die eind jaren 90 in het land stonden, is nog maar de helft over. De rest is vervallen, verlaten of omgebouwd tot supermarkt of kantoor.",1,Nooit meer Vamos a la playa: de ooit zo zinderende disco in Italië is op sterven na dood | Buitenland | AD.nl,ja
Aan het veluweplein in Den Haag zijn zondagochtend drie personen aangehouden na een crash met een gesloten motor. De kruising was langere tijd afgesloten vanwege politieonderzoek.,1,Drie aanhoudingen na crash met gestolen motor op Veluweplein in Den Haag | 112 nieuws Den Haag | AD.nl,ja
Een groep hardnekkige verslaafden heeft het toiletgebouw in een Utrechts park gekaapt en daar hun eigen drugshol ingericht. Ze omzeilen zo ongestoord en onbestraft het verbod om drugs op straat te gebruiken. ‘Normale’ bezoekers van het park worden door de verslaafden geweerd bij het toilet. Hoe is dit probleem op te lossen?,1,https://www.ad.nl/binnenland/verslaafden-maken-drugshol-van-wc-gebouw-en-weigeren-parkbezoekers-binnen-te-laten-weg-hier-bezet~a1ff1fb8/,ja
"Voor de gehandicapte Naomi (7) uit Rwanda leek het leven weinig in petto te hebben, maar het pakte anders uit. Ze is dolblij, want ze kan nu net als andere kinderen naar school. Dit is het verhaal van een meisje dat jaren door haar ouders uit schaamte angstvallig thuis werd gehouden en nu wordt omarmd door het hele dorp.",1,https://www.ad.nl/buitenland/naomi-7-kwam-gebroken-ter-wereld-en-werd-verstopt-nu-is-ze-de-trots-van-het-dorp~a1363c30/,ja
"Een passagiersvliegtuig van de Oostenrijkse luchtvaartmaatschappij Austrian Airlines is zondagmiddag zwaar beschadigd geraakt door een hevige hagelbui. De Airbus A320, die op weg was van Palma de Mallorca naar Wenen, werd veilig aan de grond gezet door de piloten.",1,https://www.ad.nl/buitenland/vlucht-na-vakantie-op-mallorca-verloopt-onstuimig-neus-van-airbus-weggevaagd-we-vlogen-door-een-stormfront-br~aeb890d7/,ja
"Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.",1,https://www.ad.nl/binnenland/theo-heuft-oud-uitbater-van-wereldberoemd-bordeel-yab-yum-op-89-jarige-leeftijd-overleden~a1e0b660/,ja
"Amsterdamse huisartsen leggen patiënten die niet op hun afspraak komen opdagen sinds kort boetes op. Zo hopen ze het aantal no-shows terug te dringen. Ook restaurants en kappers kampen met een groeiend aantal klanten dat niet komt opdagen. De toename valt niet los te zien van het gemak waarmee een afspraak wordt gemaakt, zeggen experts. ‘We lijken soms te vergeten dat we met mensen te maken hebben.’",1,https://www.ad.nl/economie/klanten-reserveren-online-maar-komen-niet-opdagen-we-vergeten-dat-we-met-mensen-te-maken-hebben~acb58151/,ja
"Eieren op de voorruit, afgebroken ruitenwissers, krassen in de lak. Wie vliegt vanaf Rotterdam en gratis parkeert in de wijken dichtbij moet maar afwachten of zijn auto heel blijft. Boze buurtbewoners zijn de parkeeroverlast spuugzat. Kan het ook anders en zijn er oplossingen voor deze problemen? Wij zetten vijf mogelijkheden op een rij.",1,https://www.ad.nl/binnenland/eieren-en-krassen-op-auto-s-helpen-niet-wat-is-dan-wel-een-oplossing-voor-parkeerdruk-bij-luchthaven~ab7524f8/,ja
"Grofweg een derde van de jeugdige criminelen heeft in het verleden zulke harde klappen gehad of zoveel drugs gebruikt dat ze hersenletsel hebben opgelopen. Juist deze schade aan het brein kan ervoor zorgen dat jongeren de fout ingaan, blijkt uit onderzoek. Maar daar wordt tijdens rechtszaken nog veel te weinig naar gekeken, vindt bijzonder hoogleraar Maaike Kempes.",1,https://www.ad.nl/binnenland/een-op-de-drie-jonge-verdachten-heeft-hersenschade-maar-in-de-rechtbank-komt-dat-zelden-aan-bod~ab9ad52d/,nee
"Een nieuwbouwwoning die in een ochtendje op zijn plek wordt gezet. Met vloerverwarming, badkamer en al. Én voor een scherpe prijs. Het moet voor veel woningzoekenden momenteel een utopie lijken, maar in Heerenveen wordt er hard aan gewerkt. Daar rollen nu al 750 woningen per jaar van de band en dat moeten er straks 4000 worden. Een exclusief inkijkje in de grootste woningfabriek van Europa. ,,De weg hiernaartoe zorgde voor flink wat hoofdpijn.’’",1,https://www.ad.nl/economie/robots-bouwen-huizen-sneller-en-goedkoper-voor-dit-werk-hadden-we-normaal-1350-bouwvakkers-nodig~a902182e/,ja
"Het Openbaar Ministerie heeft een nieuwe kroongetuige gepresenteerd. Het gaat om de 29-jarige Dominique K. Hij heeft openheid van zaken gegeven over moorden en geweldszaken in Amsterdam en Rotterdam uit 2020 en 2021. De gewelddadigheden houden verband met een vete in de onderwereld, waarbij een bedrag van 130 miljoen euro zou zijn gestolen. De kroongetuigedeal is gesloten door het OM in Amsterdam.",1,https://www.ad.nl/binnenland/nieuwe-kroongetuige-klapt-uit-de-school-over-onderwereldconflict-rond-piet-costa~a132a603/,ja
"De helft van de gepakte online boeven die zich voor de rechter moeten verantwoorden, is niet ouder dan 25 jaar. Ze maakten zich onder meer schuldig aan bankfraude en online oplichting.",1,https://www.ad.nl/binnenland/helft-van-gepakte-cybercriminelen-is-nog-geen-25-jaar-handleidingen-staan-online-voor-ze-klaar~ac673bac/,ja
Op de eerste dag van hun staatsbezoek aan de VS stonden koning Willem-Alexander en koningin Máxima maandag aan een mengtafel in Atlanta om met de rappers Rotjoch en Frenna de Nederlandse rap te promoten. En even later klonk er orgelmuziek uit de kerk van Martin Luther King.,1,https://www.ad.nl/show/maxima-doet-frenna-de-groetjes-van-alexia-tijdens-werkbezoek-aan-atlanta~ada3429f/,ja
"Ook in het Caribische deel van het Nederlands Koninkrijk is GroenLinks-PvdA de grote winnaar geworden bij de Europese Parlementsverkiezingen. De op Curaçao geboren Kenville Kleinmoedig, nummer 18 op de lijst van GroenLinks-PvdA, was daar de grote stemmentrekker.",1,https://www.ad.nl/binnenland/kenville-kleinmoedig-grote-stemmentrekker-voor-groenlinks-pvda-op-curacao-en-bonaire~aadc0be8/,ja
"De komende weken worden in de EU de banen verdeeld en de lijnen uitgezet. Maar in Nederland eist de formatie alle politieke aandacht op. Coalitiepartijen zouden zelfs nog niet eens gesproken hebben over de nieuwe Nederlandse Eurocommissaris. En wie gaat eigenlijk naar de EU-top eind juni? ,,Deze timing maakt de Nederlandse positie niet sterker.”",1,https://www.ad.nl/politiek/nederland-dreigt-mis-te-grijpen-op-brusselse-banenmarkt-ze-zijn-te-druk-met-zichzelf~adf39e41/,ja
Hulpdiensten op het Griekse eiland Samos zijn bezig met een grootscheepse zoekactie naar een 74-jarige Nederlander. Hij wordt vermist sinds zondagmiddag 14.00 uur. Volgens Griekse media keerde hij niet terug van een wandeling.,1,https://www.ad.nl/buitenland/verdwenen-nederlander-74-op-grieks-eiland-had-alleen-klein-flesje-water-bij-zich~ab6e8374/,ja
Een groep hardnekkige verslaafden heeft het toiletgebouw in een Utrechts park gekaapt en daar hun eigen drugshol ingericht. Ze omzeilen zo ongestoord en onbestraft het verbod om drugs op straat te gebruiken. ‘Normale’ bezoekers van het park worden door de verslaafden geweerd bij het toilet. Hoe is dit probleem op te lossen?,1,https://www.ad.nl/binnenland/verslaafden-maken-drugshol-van-wc-gebouw-en-weigeren-parkbezoekers-binnen-te-laten-weg-hier-bezet~a1ff1fb8/,ja
"En nog zijn PVV, VVD, NSC en BBB het niet eens over de verdeling van de ministersposten. Zo maken de vier partijen het het aanstaande kabinet wel heel lastig. Want als de nieuwe premier niet op de volgende Europese top van 27 juni verschijnt, staat hij al meteen 1-0 achter, schrijft politiek verslaggever Hans van Soest in dit commentaar.",1,https://ad.nl/commentaar/geruzie-over-de-poppetjes-in-de-formatie-begint-sneu-te-ogen~a922ef3c/,ja
"Uitvoeringsinstanties zoals de Belastingdienst en het UWV moeten een ‘rode kaart’ kunnen trekken als ze worden gedwongen beleid uit te voeren dat burgers in de knel brengt. Met zo’n figuurlijke kaart geven de instanties een signaal aan de politiek: wat in Den Haag is bedacht, is eigenlijk onuitvoerbaar of niet in lijn met de rechtsstaat.",1,https://www.ad.nl/politiek/rechtsstaat-langdurig-verwaarloosd-oordeelt-de-staatscommissie-aanzienlijke-groep-burgers-in-de-knel~a6db0929/,ja
De van televisie bekende Henriëtte Momma is eind vorige maand op 90-jarige leeftijd overleden. Miljoenen Nederlanders leerden haar de afgelopen jaren kennen als de liefdevolle en zorgzame moeder van de autistische kunstenaar Kees Momma.,1,https://www.ad.nl/show/moeder-90-van-kees-momma-bekend-van-docu-kees-vliegt-uit-overleden-ze-heeft-altijd-liefde-gegeven~a167b41a/,nee
