text,text_count,link,paywall
Is dit fascisme? Het is de vraag die telkens terugkomt. Baudets opmerking over homeopathische verdunning: is dit fascisme? De bestorming van het Capitool: is dit fascisme? Poetins strijd tegen -lhbti-activisten: is dit fascisme?,1,Column | Fascisme als zinloos etiket - NRC,ja 
NRC bespreekt deze weken de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,1,‘En dan gaat er een lampje branden: ahá zo werkt de wereld’ - NRC,ja 
"Bijna een op de zeven Nederlandse patiënten is aangewezen op geïmporteerde medicijnen, omdat er in Nederland een tekort aan is. Experts maken zich ernstig zorgen, vooral om laatste redmiddelen.",1,"Ruim 1,6 miljoen patiënten geraakt door geneesmiddelentekort - NRC",ja 
"Van IC-verpleegkundige werd ze hoogleraar. Frederique Paulus onderzocht het nut van behandelingen zoals vernevelen en balloneren. „Een medische behandeling implementeren is al een hele uitdaging, eentje afschaffen is nog lastiger.”",1,"‘Ik dacht: nu stap ik uit die schuchtere rol’, zegt deze hoogleraar die begon als IC-verpleegkundige - NRC",ja 
"Waarom zou je een rode lijn trekken om die daarna te negeren? Het is een veel gestelde vraag deze week, nu Israël Rafah is binnengevallen terwijl Biden zo’n inval in maart een ‘rode lijn’ had genoemd. Die rode lijn blijft hem nu achtervolgen. Na een bombardement bij een tentenkamp in Rafah, waarbij brand uitbrak en ruim veertig doden vielen, verklaarde Witte Huis-woordvoerder John Kirby op dinsdag dat hiermee geen rode lijn was overschreden. Rafah is namelijk niet met „grote hoeveelheden troepen in kolonnes en formaties” binnengevallen.",1,Column | Een rode lijn is net zoals alle andere grenzen: hij bestaat alleen als je hem handhaaft - NRC,ja 
Verkocht korporaal Tim een schietklaar machinepistool dat populair was bij de Wehrmacht? De verdachte ontkent bij de militaire politierechter in Arnhem. Maar de officier ziet „feitelijke contra-indicaties”.,1,Verkocht korporaal Tim een schietklaar machinepistool? ‘Van de zotte dat ik Nederland onveiliger zou maken’ - NRC,ja 
Is verdachte Mereyem (34) nu wel of niet zeven jaar geleden de buurman te lijf gegaan met „vier of vijf Marokkaanse jongens”? De officier vindt het „een lastige zaak”.,1,"‘Ik gooi je scooter in de sloot’, zou de man hebben gezegd, waarna op die zomerse dag, maar liefst zeven jaar geleden, een knokpartij uitbrak - NRC",ja 
Drie keer lieten ze in dezelfde straat bommen aan gevels achter met „ogenschijnlijke gemak” en „buitengewoon schadelijke gevolgen” voor de bewoners. De vraag resteert: wie was hun doelwit?,1,"Twee vergisbommenleggers bekennen een beetje, de derde weet nergens van - NRC",ja 
"Een jong meisje werd door drie jongens meegenomen naar een huis en daar de hele nacht misbruikt. Maar het beeld van deze zaak, die eerst helder leek, begon te kantelen toen de politie de telefoons doorzocht.",1,Werd het meisje misbruikt door drie jongens of zat het toch anders? - NRC,ja 
Amsterdammers mogen donderdag behalve voor het Europees Parlement ook stemmen over groen in hun stad. Op straat klinkt weinig animo en veel verwarring over de technische vraag die bij het referendum voorligt: „Bent u voor of tegen het voorgenomen raadsbesluit over de Hoofdgroenstructuur?”,1,Initiatiefnemers van Amsterdams referendum vrezen dat de gemeente het laatste groen verkwanselt: ‘In de berm kun je niet voetballen’ - NRC,ja 
Planbureau voor de Leefomgeving Het PBL roept provincies en Rijk op meer samen te werken om het ‘nieuwe nationaal omgevingsbeleid’ van de grond te krijgen. En daarnaast „schiet” de uitvoeringscapaciteit „enorm tekort”.,1,"‘Impasse’ in wonen, natuur en landbouw: geld noch visie - NRC",ja 
Het Openbaar Ministerie vindt niet per se dat het verkeer veiliger wordt als er meer flitspalen worden geplaatst. Maar volgens de vier grote steden bevorderen flitspalen wel de veiligheid van mensen in het verkeer.,1,OM wil niet dat gemeenten zelf flitspalen plaatsen - NRC,ja 
"De ‘volgverkeerslichten’ kunnen persoonlijke gegevens van mensen verzamelen, onder meer via apps op smartphones. De Autoriteit Persoonsgegevens maakt zich zorgen.",1,Zorgen bij toezichthouder om verkeerslichten die data weggebruikers verzamelen - NRC,ja 
Het slavernijverleden krijgt steeds meer aandacht. Bereikt die alle Nederlanders? Een rondleiding in het Zeeuws Museum in Middelburg.,1,Onverbloemd vertellen over het slavernijverleden in het Zeeuws Museum. ‘Veel mensen moet je nog uit de onwetendheid halen’ - NRC,ja 
"Het lot van de meeste Surinaamse gemeenschappen is onlosmakelijk verbonden met de jaren 1863 en 1873. Het koloniale verleden werkt nog altijd door, voor elke groep op een andere manier. „Uiteindelijk gaat het om onrecht.”",1,Elke groep Surinamers heeft z’n eigen koloniale pijn - NRC,ja 
"Identiteit en Democratie, de groep radicaal-rechtse partijen in het Europees Parlement, groeit deze zondag waarschijnlijk flink. En van de ID-kiezers verlangt bijna de helft naar een sterke leider, ook als die de regels naar zijn hand zet om dingen voor elkaar te krijgen, schreven politicologen Matthijs Rooduijn en Simon Otjes deze week op het blog stukroodvlees.nl, op basis van Europees kiezersonderzoek uit 2019. Betekent dit dat steeds meer kiezers zich tegen de democratie keren?",1,Column | Graag meer voorkauwen - NRC,ja 
"Zelden zo weinig gedubd over mijn stem als bij deze Europese verkiezingen; er moet een flink tegenwicht komen tegen Europees radicaal- en extreemrechts, en de fractie van de socialisten en democraten is daar, ook getalsmatig het best toe uitgerust. Waren alle Europese christen-democraten zo standvastig als ons CDA in hun weigering een verbintenis aan te gaan met de PVV, dan was dat ook nog een mogelijkheid geweest. Maar Europees, de christen-democraten onverzettelijk? Noaah.",1,Column | Taalcriticus wordt taaldader - NRC,ja 
"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. „Nederland is een prachtig land./ Een land om trots op te zijn.” En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt. „Politiek en bestuur hebben ondanks goede bedoelingen de afgelopen jaren steken laten vallen, door de zorgen van mensen niet altijd serieus te nemen.”",1,Column | Hoe serieus is de ‘serieuze belofte’ van het kabinet in spe? - NRC,ja 
"Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, en ik kijk door de lens van de camera van een professional, die allerlei lenzen tevoorschijn kan toveren. Het gekke is dat de meeste mensen toch over een smartphone beschikken, en de hele dag alles kunnen filmen wat ze maar willen. Maar nu er iemand staat met licht en geluidsapparatuur is dat kennelijk toch echter. Als motten naar een vlam. In de aandachtseconomie staat tv toch op nummer 1.",1,Column | Ruggengraat van ons land zijn de Toppers - NRC,ja 
"Honderden pagina’s aan ambtelijk commentaar op het Hoofdlijnenakkoord van PVV, VVD, NSC en BBB zijn vrijgegeven. Er zijn grote vraagtekens op allerlei terreinen, van het buitenlandbeleid en defensie tot landbouw en sociale zekerheid.",1,"Juridische risico’s, blinde vlekken en meer kansenongelijkheid: ambtenaren zien vele losse eindjes in coalitie-afspraken - NRC",ja 
"Juichen, incasseren of beleefd applaudiseren: de aanhang van de verschillende partijen reageert op de exitpoll. „Met één zetel meer was het feest compleet geweest.”",1,"Wel of niet naar Brussel? De een is dolblij met ‘twee fucking zetels’, de andere partij verwerkt de exitpoll gelaten - NRC",ja 
"De zogeheten ‘nareis op nareis’ speelde een belangrijke rol in de val van het kabinet Rutte-IV zomer vorig jaar. Ook tijdens de campagne voor de Tweede Kamerverkiezingen bleef VVD-leider Dilan Yesilgöz volhouden dat het ging om ,,duizenden” asielzoekers, terwijl de Immigratie- en Naturalisatiedienst cijfers had waaruit bleek dat het om zeer beperkte aantallen ging.",1,IND wist na de val van het kabinet al dat het aantal nareizigers beperkt was - NRC,ja 
"Tijdens de eerste twee dagen van festival Best Kept Secret was het de New Yorkse St. Vincent die het meest indruk maakte, met een op haar nieuwe album gebouwde set. Ook Tramhaus en Slowdive maakten indruk, en gelukkig maar, want de headliners vielen tegen.",1,St. Vincent maakte de dienst uit op kabbelend festival Best Kept Secret - NRC,ja 
"Het was koud en nat op Terschelling, tijdens het openingsweekend van Oerol, het grootste locatietheaterfestival van Europa. Maar dat werd gecompenseerd door onvergetelijke beelden van ploegende robots, wolkenkrabbende acrobaten en een strand als landingsbaan.",1,Op Oerol vragen de robots waarom de mens überhaupt nog zijn bed uitkomt - NRC,ja 
"Philip Miller, componist In nauwe samenwerking met Zuid-Afrikaanse schoolmeisjes schiep Philip Miller het geluid- en videokunstwerk ‘Finding Beauty’, deze week te beleven in het Anne Frank Huis.",1,Zuid-Afrikaanse schoolmeisjes vertalen Anne Franks werk in muziek: 'Zij voelen verwantschap met haar in de uitsluiting en de vooroordelen' - NRC,ja 
"In Wenen is een nieuw museum geopend dat gewijd is aan het Wiener Aktionismus, dat in de jaren zestig Oostenrijk opschudde met voorstellingen vol bloed en uitwerpselen. Had het beter vergeten kunnen worden?",1,"Een stroom van kots, kak, pis en bloed: het Wiener Aktionismus was schokkend, ironisch, walgelijk – allemaal tegelijk - NRC",ja 
"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven. Geen wonder dat het in de kunsten wemelt van het wasgoed. Bij Brueghel ligt het slaafs op de bleek, bij Breitner frummelt het aan de wind.",1,Column | De kunst kan de was doen - NRC,ja 
"Hetzelfde liedje, maar dan ietsje sneller. Of juist langzamer. ‘Sped up’ en ‘slowed & reverb’ remixes zijn populair op het internet. Billie Eilish bracht zelfs haar complete album in een versnelde en vertraagde versie uit. Waar komt deze trend vandaan? En hoe ging deze trend van een DIY-fenomeen naar een verdienmodel?",1,Waarom Billie Eilish de trend van ‘sped up’ en ‘slowed’ volgt - NRC,ja 
De Luxemburgse Vicky Krieps is een van de meest gewilde actrices van Europa. Ze is gespecialiseerd in personages die „alleen hun blik hebben” en zo mannen een spiegel voorhouden.,1,"Vicky Krieps heeft geen roem en glorie nodig: ‘Als niemand me meer wil inhuren, blijf ik hetzelfde doen’ - NRC",ja 
Cees Dekker | hoogleraar biofysica Hoe is het leven ontstaan? Synthetische cellen maken dat inzichtelijk. „Als je zoiets zelf bouwt ga je begrijpen hoe het werkt.”,1,In zijn lab bouwt Cees Dekker van losse moleculen een levende cel die kan evolueren - NRC,ja 
"Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.",1,Net als mijnwerkers kunnen planten nikkel uit de grond halen – en zo meewerken aan de energietransitie - NRC,ja 
"China plant een golf aan nieuwe ruimtemissies naar planetoïden. Voor de wetenschap en om grondstoffen te winnen. Maar hoe leg je daar aan? Met borende pootjes, lasso’s of toch weer een harpoen?",1,Hoe vang je een planetoïde? China heeft grootse plannen op dat gebied - NRC,ja 
De Staatscommissie MDMA adviseert te onderzoeken of PTSS goed te behandelen is met mdma. Niet iedereen is het eens met dit advies.,1,‘Mdma en therapie mogelijk goed voor post-traumatische stress’ - NRC,ja 
"Directeur Robert Schuman Center for Advanced Studies Oorlog in Oekraïne, een ontploffing in het Midden-Oosten, Europa dat klem komt te zitten tussen de twee rivaliserende grootmachten. De wereld verandert en Europa moet mee, zegt politicoloog Erik Jones aan de vooravond van de Europese verkiezingen.",1,https://www.nrc.nl/nieuws/2024/06/04/politicoloog-erik-jones-wat-er-nu-gebeurt-is-groter-dan-de-val-van-de-muur-in-1989-a4738927,ja 
Nigerianen tonen opvallend veel begrip voor de staking die het hele land in het donker heeft gezet. „Van het minimumloon kun je niet eten.”,1,https://www.nrc.nl/nieuws/2024/06/04/vakbonden-zetten-nigerianen-in-het-donker-om-hoger-minimumloon-a4697688,ja 
Vijf jaar geleden trad de Europese Commissie onder leiding van Ursula von der Leyen aan. Het werd een periode van grote crises en onverwachte gebeurtenissen die een ferme reactie vereisten. Hoe deed de Commissie het?,1,https://www.nrc.nl/nieuws/2024/06/03/in-het-zicht-van-de-verkiezingen-liet-de-europese-commissie-haar-vastberadenheid-en-ambities-steeds-meer-varen-a4326284,ja 
"Griekenland stuurt asielzoekers die al aan land zijn terug de zee op en laat hen achter in rubberbootjes, hebben ngo’s en journalisten gedocumenteerd. Deze dinsdag buigt het Europees Hof voor de Rechten van de Mens zich over die illegale praktijk.",1,https://www.nrc.nl/nieuws/2024/06/03/driftback-griekenland-staat-terecht-voor-het-achterlaten-van-asielzoekers-in-stuurloze-opblaasbare-boten-a4350519,ja 
De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. Maandag kwam Nigel Farage met een verrassing: hij doet alsnog mee.,1,https://www.nrc.nl/nieuws/2024/06/03/slechts-nieuws-voor-tories-nigel-farage-mengt-zich-in-verkiezingsstrijd-verenigd-koninkrijk-a4286703,ja 
"Met Claudia Sheinbaum krijgt Mexico een president die zowel tegenpool als verlengstuk is van haar populistische voorganger. Weet ze als wetenschapper uit een elitaire familie, met haar ingetogen stijl en haast saaie publieke optredens, uit de schaduw van haar volkse mentor te treden?",1,https://www.nrc.nl/nieuws/2024/06/03/eerste-mexicaanse-presidenta-erft-van-haar-mentor-veel-macht-en-evenzoveel-problemen-a4200792,ja 
Verwachtingen voor een staakt-het-vuren zijn dit weekend flink getemperd. Ultrarechtse leden van de Israëlische regering dreigen met opstappen als Israël instemt met voorstel van de VS.,1,https://www.nrc.nl/nieuws/2024/06/02/vredesplan-vs-voor-gaza-conflict-stuit-op-verzet-a4200715,ja 
"India zucht onder de extreme hitte. Maar klimaatverandering was nauwelijks een thema bij de verkiezingen, waarvan dinsdag de uitslag wordt verwacht.",1,https://www.nrc.nl/nieuws/2024/06/03/de-hitte-in-new-delhi-beheerst-het-dagelijks-leven-maar-een-verkiezingsitem-was-het-klimaat-in-india-nauwelijks-a4200793,ja 
Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. „Vermindering van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.”,1,https://www.nrc.nl/nieuws/2024/06/03/verminderen-van-hulp-laat-afghaanse-vrouw-meer-lijden-a4252689,ja 
Duitsland Voor de vierde keer dit jaar bezocht de Duitse kanselier Olaf Scholz een overstromingsgebied. De verwoestende overstromingen in Beieren en Baden-Württemberg roepen bij sommigen de vraag op of Duitsland te passief reageert op dergelijke rampen.,1,https://www.nrc.nl/nieuws/2024/06/03/zandzakken-pompen-bassins-het-water-tegenhouden-was-kansloos-in-zuid-duitsland-a4334170,ja 
"De kandidaat van regeringspartij Morena kan, op basis van de eerste resultaten, rekenen op zo’n 60 procent van de stemmen. Sheinbaum lijkt daarmee de eerste vrouwelijke president van Mexico te worden.",1,https://www.nrc.nl/nieuws/2024/06/03/claudia-sheinbaum-stevent-af-op-overweldigende-overwinning-bij-presidentsverkiezingen-mexico-a4200770,ja 
"Hoewel Donald Trumps veroordeling uniek is in de geschiedenis, geldt dat niet voor het onderliggende schandaal: een buitenechtelijke affaire. Daarvoor hoeft hij geen electorale prijs te betalen, leren eerdere schuinsmarcheerders in het Witte Huis.",1,https://www.nrc.nl/nieuws/2024/06/02/lessen-voor-trump-bij-presidentiele-seksschandalen-duurt-eerlijkheid-het-langst-a4200718,ja 
"Het ambitieuze programma ‘Vision 2030’ moet Saoedi-Arabië opstuwen naar een innovatievere en diversere economie. Als het aan minister Khorayef ligt, krijgen meer Saoediërs een training bij Nederlandse bedrijven.",1,https://www.nrc.nl/nieuws/2024/06/03/nederland-heeft-een-inspirerende-rol-daar-willen-we-graag-van-leren-a4200751,ja 
"Londen is onvoldoende voorbereid op de gevolgen van klimaatverandering. Zo moet de waterkering Thames Barrier, die veel meer gebruikt wordt dan gedacht, eerder worden vervangen.",1,https://www.nrc.nl/nieuws/2024/06/02/een-nieuwe-waterkering-dijkverzwaringen-een-hitteplan-klimaatrisicos-dwingen-londen-tot-actie-a4200717,ja 
Een kleine groep witte Zuid-Afrikanen verwerpt de ‘regenboognatie’ en zoekt en vindt steun bij radicaal-rechts in Europa. „Ultrarechts roert in de wond van apartheid”.,1,https://www.nrc.nl/nieuws/2024/05/31/afrikaner-boeren-vinden-weer-gehoor-dankzij-radicaal-rechts-in-europa-a4200652,ja 
"Door middel van misleiding kunnen legers zich groter maken dan ze zijn. Het concept was bij het Westen wat uit de gratie geraakt, maar is door de oorlog in Oekraïne weer terug.",1,https://www.nrc.nl/nieuws/2024/06/01/hoe-zijden-opblaastanks-ervoor-zorgden-dat-misleiding-terugkeerde-in-de-westerse-oorlogsvoering-a4200687,ja 
Vrouwen op de Filippijnen strijden voor het recht op echtscheiding. De machtige katholieke kerk houdt dat tegen. Filippijnse vrouwen zijn terughoudend om te trouwen. „Ik bepaal zelf hoe ik mijn leven organiseer.”,1,https://www.nrc.nl/nieuws/2024/05/31/omdat-scheiden-niet-mag-trouwen-jonge-filippijnse-vrouwen-dan-maar-liever-niet-a4200293,ja 
"Uit vrees voor escalatie verbood Washington Kyiv de inzet van zijn wapens tegen doelen in Rusland. Nu krijgt het de vrije hand, althans in de belegerde regio rond de stad Charkiv.",1,https://www.nrc.nl/nieuws/2024/05/31/oekraine-mag-nu-ook-met-amerikaanse-wapens-beperkte-aanvallen-uitvoeren-in-rusland-zelf-a4200591,ja 
Na de veroordeling van presidentskandidaat Donald Trump is één ding zeker: de inzet voor de verkiezingen is verder verzwaard. Zowel de Republikeinen als de Democraten beweren dat het voortbestaan van de Amerikaanse rechtsstaat op het spel staat.,1,https://www.nrc.nl/nieuws/2024/05/31/nog-meer-op-het-spel-bij-de-amerikaanse-verkiezingen-na-trumps-veroordeling-a4200627,ja 
"Premier Sunak ziet graag de dienstplicht terug, ziet Annemarie Kas. Critici noemen het „jarenvijftignostalgie”.",1,https://www.nrc.nl/nieuws/2024/05/31/dure-plannen-van-sunak-voor-dienstplicht-stuiten-op-verzet-a4200594,ja 
In 2015 was het onmogelijk dat Barack Obama de hand van William Ruto zou schudden. Op zoek naar nieuwe partners in Afrika maken de Amerikanen de president van Kenia nu het hof.,1,https://www.nrc.nl/nieuws/2024/05/31/hoe-kenia-amerikas-beste-vriend-in-afrika-moet-worden-a4200607,ja 
Voor het eerst is een voormalig Amerikaans president strafrechtelijk veroordeeld. Beide zijden in de gepolariseerde VS zien electorale kansen na het vonnis. Maar Trump moet erger vrezen.,1,https://www.nrc.nl/nieuws/2024/05/31/trump-zaak-een-historisch-vonnis-met-ongewisse-gevolgen-a4200560,ja 
"Armoedebestrijding loopt vaak stuk op verkeerde aannames van mensen met geld, zegt Tim ‘S Jongers, zelf opgegroeid in armoede. Hij schreef er een boek over.",1,https://www.nrc.nl/nieuws/2024/05/27/ja-de-frikandel-kan-een-goeie-keuze-zijn-zegt-tim-s-jongers-die-opgroeide-in-armoede-a4200064,ja 
Voor deze rubriek sturen lezers foto’s in van hun ouders. Deze keer stuurde Peter Boomsma (1960) een door F.C.D. Popken gemaakte foto in van zijn ouders Hennie Boomsma-Wieten (1932-1999) en Jelle Boomsma (1927-2010).,1,https://www.nrc.nl/nieuws/2024/05/27/ze-ontmoetten-elkaar-in-het-oranje-hotel-in-leeuwarden-a4200057,ja 
"De Haagse buurttuin van Janneke Vreugdenhil is een democratie: iedereen heeft een zegje, iedereen een taak. En vervolgens loopt alles altijd anders.",1,https://www.nrc.nl/nieuws/2024/05/25/grote-wereld-in-het-klein-a4199660,ja 
"Voor zijn kinderboekje over klimaatverandering kreeg lector Kees Klomp de Over Hoop Prijs. „Scholen kúnnen het niet weghouden bij kinderen, het onderwerp is overal.”",1,https://www.nrc.nl/nieuws/2024/05/24/kees-klomp-schreef-een-prijswinnend-kinderboekje-over-het-klimaat-het-onderwerp-dat-scholen-liever-mijden-a4199607,ja 
"Schrijven betaalt de hypotheek niet, daarom is Walter van den Berg ook Salesforce Marketing Cloud Developer – een bullshitbaan?",1,https://www.nrc.nl/nieuws/2024/05/24/mannen-e-mailen-over-hun-pak-is-dat-nuttig-werk-a4199505,ja 
Dankzij laks toezicht werd Cyprus een populair vestigingsland voor online pornoplatforms. Schoorvoetend begint het eiland de industrie nu aan te pakken. De privacytoezichthouder onderzoekt hoe het moederbedrijf van Pornhub omgaat met gevoelige gegevens van gebruikers.,1,https://www.nrc.nl/nieuws/2024/05/29/cyprus-gaat-eindelijk-achter-big-porn-aan-a4200391,ja 
"Wie noodgedwongen zzp’er wordt, heeft het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.",1,https://www.nrc.nl/nieuws/2024/05/29/zelfstandigen-uit-noodzaak-hebben-het-minder-goed-dan-zzpers-die-bewust-voor-het-ondernemerschap-kiezen-a4200400,ja 
Tijdens de aandeelhoudersvergadering zijn de directieleden van de oliereus met een bijna Noord-Koreaanse meerderheid herkozen. Hun kruistocht tegen kritische ‘groene’ beleggers is daarmee beloond.,1,https://www.nrc.nl/nieuws/2024/05/29/klinkende-overwinning-op-kritische-beleggers-a4200413,ja 
"Fabrikanten halen geneesmiddelen van de Nederlandse markt, waardoor er steeds minder alternatieven beschikbaar zijn om de aanhoudende medicijntekorten op te lossen. Dat blijkt uit onderzoek van de NOS.",1,https://www.nrc.nl/nieuws/2024/05/29/zelfs-de-alternatieve-medicijnen-raken-op-a4200415,ja 
De Tsjechische miljardair Daniel Kretinsky wil Royal Mail volledig overnemen. Dat ligt gevoelig bij het Britse publiek.,1,https://www.nrc.nl/nieuws/2024/05/29/britse-post-komt-in-buitenlandse-handen-tsjechische-miljardair-wil-royal-mail-overnemen-a4200417,ja 
