Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg),Title
seq10-0,small,"De Achterpagina bezoekt bijzondere kleedkamers.  Vandaag het mooiste voetbalstadion van Nederland, De Kuip in Rotterdam, thuishaven van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. Vandaag het mooiste voetbalstadion van Nederland, <extra_id_0> thuishaven van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. Vandaag het mooiste voetbalstadion van Nederland, de thuishaven van Feyenoord","['De Kuip in Rotterdam,']",['de'],4,20,1,[0.9523809523809523],0.95,nrc
seq11-0,small,Van koffie tot herone Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot herone: in drie minuten zet dit filmpje de verslavingen van Amerikanen in de afgelopen 100 jaar op een rij.  Het begint braaf in de Verenigde Staten: in 1912 klaagt de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafene aan hun dranken,Van koffie <extra_id_0> '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot herone: in drie minuten zet dit filmpje de verslavingen van Amerikanen <extra_id_1> 100 jaar op een rij. Het begint braaf in de Verenigde Staten: <extra_id_2> de Amerikaanse <extra_id_3> aan voor het toevoegen van cafene aan hun dranken,Van koffie tot herone '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot herone: in drie minuten zet dit filmpje de verslavingen van Amerikanen in 100 jaar op een rij. Het begint braaf in de Verenigde Staten: zet de Amerikaanse overheid aan voor het toevoegen van cafene aan hun dranken,"['tot herone Screenshot', 'in de afgelopen', 'in 1912 klaagt', 'overheid Coca Cola']","['tot herone', 'in', 'zet', 'overheid']",12,20,1,"[0.5238095238095238, 0.8666666666666667, 0.9285714285714286, 0.5555555555555556]",0.72,nrc
seq12-0,small,"Identiteit Laat biologie niet je identiteit bepalen, schrijft Sophie Rutenfrans.  Immers, je cyclus bepaalt niet wie je bent","Identiteit Laat biologie <extra_id_0> schrijft Sophie Rutenfrans. Immers, je cyclus bepaalt niet wie je bent","Identiteit Laat biologie zich leiden, schrijft Sophie Rutenfrans. Immers, je cyclus bepaalt niet wie je bent","['niet je identiteit bepalen,']","['zich leiden,']",4,20,1,[0.7037037037037037],0.7,nrc
seq13-0,small,"Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets.  Vertrekkend vanaf het waterfietsstation tegenover het Amricain, passeerden wij de duiven die onder de brug bij de Leidsegracht zaten te broeden","Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje <extra_id_0> op een waterfiets. Vertrekkend vanaf het waterfietsstation tegenover <extra_id_1> wij de duiven <extra_id_2> brug bij de Leidsegracht zaten te broeden","Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje mee op een waterfiets. Vertrekkend vanaf het waterfietsstation tegenover de berg waar wij de duiven op de brug bij de Leidsegracht zaten te broeden","['door de stad', 'het Amricain', 'passeerden', 'die onder de']","['mee', 'de berg waar', 'op de']",9,20,1,"[0.9166666666666666, 0.75, 0.8]",0.82,nrc
seq14-0,small,KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus.  De koper Telefnica moet de strijd nu aangaan met grote Duitse concurrenten,<extra_id_0> markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus. De koper Telefnica moet de strijd nu aangaan met <extra_id_1>,markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus. De koper Telefnica moet de strijd nu aangaan met de Duitse vlag,"['KPN laat Duitse', 'grote Duitse concurrenten']","['', 'vlag']",6,20,1,"[1.0, 1.0]",1.0,nrc
seq15-0,small,Opnieuw strijd om Eksit  al is de poptempel al 34 jaar dicht Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek Eksit van journalist Kees Vermeer.  De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,Opnieuw strijd om Eksit al is de poptempel al <extra_id_0> Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek Eksit van journalist Kees Vermeer. De Sex Pistols op 14 <extra_id_1> een historisch en volledig uitverkocht <extra_id_2>,Opnieuw strijd om Eksit al is de poptempel al Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek Eksit van journalist Kees Vermeer. De Sex Pistols op 14 december is een historisch en volledig uitverkocht boek.,"['34 jaar dicht', 'december 1977 tijdens', 'optreden in Eksit']","['', 'december is', 'boek.']",9,20,1,"[1.0, 0.47619047619047616, 0.8823529411764706]",0.79,nrc
seq16-0,small,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij.  Nieuwe verhalen van jonge schrijvers op de grens van twee werelden,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij. Nieuwe verhalen van <extra_id_0> grens van twee werelden,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij. Nieuwe verhalen van de grens van twee werelden,['jonge schrijvers op de'],['de'],4,20,1,[0.9090909090909091],0.91,nrc
seq17-0,small,"Een paar dagen nadat de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en de Brit Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zon trein die op het Centraal Station op het punt stond te vertrekken.  Worden de passagiers daar nu ook elektronisch bekeken, jasje uittrekken, broekriem afdoen, poortje door, laptop openen, enz","Een paar dagen nadat de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, <extra_id_0> Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden <extra_id_1> die op het Centraal Station op het <extra_id_2> Worden de passagiers daar nu ook elektronisch bekeken, jasje <extra_id_3> poortje door, laptop openen, enz","Een paar dagen nadat de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van die op het Centraal Station op het eiland waren. Worden de passagiers daar nu ook elektronisch bekeken, jasje halen, poortje door, laptop openen, enz","['en de Brit', 'van zon trein', 'punt stond te vertrekken.', 'uittrekken', 'broekriem afdoen,']","['en', 'van', 'eiland waren.', 'halen,']",13,20,1,"[0.8, 0.7692307692307693, 0.72, 0.9]",0.8,nrc
seq18-0,small,Zware gevechten PKK en Turkse leger in N-Irak Rebellen van de Koerdische Arbeiderspartij PKK en het Turkse leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak.  De PKK zegt zaterdag een Turkse gevechtshelikopter te hebben neergeschoten bij de Iraaks-Turkse grens,Zware gevechten <extra_id_0> Turkse leger in N-Irak Rebellen van de Koerdische Arbeiderspartij PKK en <extra_id_1> hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak. De PKK zegt zaterdag een Turkse <extra_id_2> neergeschoten bij de Iraaks-Turkse grens,Zware gevechten van Turkse leger in N-Irak Rebellen van de Koerdische Arbeiderspartij PKK en de Iraakse Republiek hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak. De PKK zegt zaterdag een Turkse leger te worden neergeschoten bij de Iraaks-Turkse grens,"['PKK en', 'het Turkse leger', 'gevechtshelikopter te hebben']","['van', 'de Iraakse Republiek', 'leger te worden']",8,20,1,"[0.8333333333333334, 0.65, 0.6785714285714286]",0.72,nrc
seq19-0,small,"Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV.  De Franse president Chirac hoorde gisteren aan de Rivira welwillend het pleidooi van de Spaanse premier Aznar aan om mee te kunnen doen met de eerste ploeg landen die in 1999 de Economische en Monetaire Unie binnengaat","Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV. De Franse president Chirac hoorde gisteren aan de Rivira welwillend <extra_id_0> de Spaanse premier Aznar aan <extra_id_1> kunnen doen met de eerste ploeg landen die in 1999 <extra_id_2> Monetaire Unie binnengaat","Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV. De Franse president Chirac hoorde gisteren aan de Rivira welwillend dat de Spaanse premier Aznar aan de afspraken kunnen doen met de eerste ploeg landen die in 1999 de Monetaire Unie binnengaat","['het pleidooi van', 'om mee te', 'de Economische en']","['dat', 'de afspraken', 'de']",9,20,1,"[0.875, 0.8333333333333334, 0.8823529411764706]",0.86,nrc
seq20-0,small,"Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een zeer offensief elftal in het veld.  In de spits keert Nederlands duurste voetballer aller tijden, Jerrel Hasselbaink, terug",Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een zeer offensief elftal in het veld. In de <extra_id_0> duurste voetballer aller <extra_id_1>,Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een zeer offensief elftal in het veld. In de oefeninterland tegen Denemarken werd de duurste voetballer aller tijd,"['spits keert Nederlands', 'tijden', 'Jerrel Hasselbaink', 'terug']","['oefeninterland tegen Denemarken werd de', 'tijd']",7,20,1,"[0.7435897435897436, 0.3333333333333333]",0.54,nrc
seq21-0,small,"Stayer De Jong toont vormbehoud tijdens gedevalueerde strijd GRONINGEN, 12 FEBR.  Rintje Ritsma, Gianni Romme en Bob de Jong zijn afgelopen weekeinde in Groningen op de NK afstanden kampioen op respectievelijk de 1","Stayer De Jong toont <extra_id_0> strijd GRONINGEN, 12 <extra_id_1> Romme en Bob de Jong zijn afgelopen weekeinde in Groningen op de NK afstanden kampioen op respectievelijk de 1","Stayer De Jong toont in strijd GRONINGEN, 12 oktober - Romme en Bob de Jong zijn afgelopen weekeinde in Groningen op de NK afstanden kampioen op respectievelijk de 1","['vormbehoud tijdens gedevalueerde', 'FEBR. Rintje Ritsma', 'Gianni']","['in', 'oktober -']",7,20,1,"[0.9375, 0.9473684210526315]",0.94,nrc
seq22-0,small,Zomaar een nieuwsbericht van deze maand: Hillary Clinton bleek een priv-adres te hebben gebruikt voor e-mails over onder andere de aanval op de Amerikaanse ambassade in Benghazi in 2011.  Een commissie eiste de openbaarmaking van die mails,Zomaar een nieuwsbericht van deze maand: Hillary Clinton <extra_id_0> hebben gebruikt voor e-mails over onder andere de aanval op de Amerikaanse ambassade in <extra_id_1> Een commissie eiste de openbaarmaking van die mails,Zomaar een nieuwsbericht van deze maand: Hillary Clinton en zijn advocaat hebben gebruikt voor e-mails over onder andere de aanval op de Amerikaanse ambassade in Washington. Een commissie eiste de openbaarmaking van die mails,"['bleek een priv-adres te', 'Benghazi in 2011.']","['en zijn advocaat', 'Washington.']",7,20,1,"[0.782608695652174, 0.7647058823529411]",0.77,nrc
seq23-0,small,"Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds heeft een nieuwe vijand: marginalisering.  In de sterk veranderde wereldeconomie moet het IMF op zoek naar een nieuwe rol, nu minder landen een beroep doen op het fonds",Lener van laatste instantie zoekt nieuwe <extra_id_0> Monetair Fonds heeft een nieuwe vijand: marginalisering. In de sterk veranderde wereldeconomie moet <extra_id_1> op zoek naar een nieuwe <extra_id_2> landen een beroep doen op het fonds,Lener van laatste instantie zoekt nieuwe landen Het Monetair Fonds heeft een nieuwe vijand: marginalisering. In de sterk veranderde wereldeconomie moet we op zoek naar een nieuwe economie. Verder moeten landen een beroep doen op het fonds,"['rol Het Internationaal', 'het IMF', 'rol', 'nu minder']","['landen Het', 'we', 'economie. Verder moeten']",8,20,1,"[0.8181818181818182, 0.8571428571428571, 0.9130434782608695]",0.86,nrc
seq24-0,small,"Kerry: wel steun VS aan Irak, maar geen troepen De Amerikaanse minister van Buitenlandse Zaken John Kerry spreekt met de pers na een ontmoeting met de Palestijnse president Mahmoud Abbas Foto AP/ Brendan Smialowski De Verenigde Staten zullen Irak steunen in zijn gevecht tegen de militanten gelieerd aan Al-Qaeda die momenteel de macht hebben gegrepen in steden in het westen van het land, maar zullen geen troepen sturen.  Het is hun gevecht, zei de Amerikaanse minister van Buitenlandse Zaken John Kerry vanochtend in reactie op de gebeurtenissen, meldt persbureau AP","Kerry: wel steun VS aan Irak, maar geen troepen De Amerikaanse minister van Buitenlandse Zaken John Kerry spreekt met de pers na een ontmoeting met de Palestijnse president Mahmoud <extra_id_0> Brendan Smialowski De Verenigde Staten zullen Irak steunen in zijn gevecht tegen de militanten gelieerd aan Al-Qaeda die momenteel de macht hebben <extra_id_1> in het westen <extra_id_2> maar zullen <extra_id_3> Het is hun gevecht, zei de Amerikaanse minister van Buitenlandse <extra_id_4> vanochtend in reactie <extra_id_5> meldt persbureau AP","Kerry: wel steun VS aan Irak, maar geen troepen De Amerikaanse minister van Buitenlandse Zaken John Kerry spreekt met de pers na een ontmoeting met de Palestijnse president Mahmoud Abbas en Brendan Smialowski De Verenigde Staten zullen Irak steunen in zijn gevecht tegen de militanten gelieerd aan Al-Qaeda die momenteel de macht hebben gehad in het westen maar zullen niet steunen. Het is hun gevecht, zei de Amerikaanse minister van Buitenlandse Zaken John Kerry vanochtend in reactie op de brief, meldt persbureau AP","['Abbas Foto AP/', 'gegrepen in steden', 'van het land,', 'geen troepen sturen.', 'Zaken John Kerry', 'op de gebeurtenissen,']","['Abbas en', 'gehad', '', 'niet steunen.', 'Zaken John Kerry', 'op de brief,']",18,20,1,"[0.5714285714285714, 0.8333333333333334, 1.0, 0.6, 0.0, 0.47619047619047616]",0.58,nrc
seq25-0,small,"Zuid-Korea beschuldigt noorden van moorden SEOUL, 9 OKT.  Het Zuidkoreaanse ministerie van Defensie heeft Noord-Korea beschuldigd verantwoordelijk te zijn voor de dood van drie mensen in een oostelijk berggebied in het land","Zuid-Korea beschuldigt noorden van moorden SEOUL, 9 OKT. Het Zuidkoreaanse ministerie van Defensie heeft Noord-Korea <extra_id_0> zijn <extra_id_1> van drie mensen in een oostelijk berggebied in het land","Zuid-Korea beschuldigt noorden van moorden SEOUL, 9 OKT. Het Zuidkoreaanse ministerie van Defensie heeft Noord-Korea beschuldigt zijn vertegenwoordigers van drie mensen in een oostelijk berggebied in het land","['beschuldigd verantwoordelijk te', 'voor de dood']","['beschuldigt', 'vertegenwoordigers']",6,20,1,"[0.6451612903225806, 0.7222222222222222]",0.68,nrc
seq26-0,small,"Vroeger werd gedacht dat onze hersenen vooral rijpen voor de geboorte en in de eerste levensmaanden.  Maar niets is minder waar, zegt ontwikkelingspsycholoog dr","Vroeger werd gedacht dat onze hersenen vooral <extra_id_0> geboorte en in de eerste levensmaanden. Maar niets is minder waar, zegt <extra_id_1>","Vroeger werd gedacht dat onze hersenen vooral waren tijdens de geboorte en in de eerste levensmaanden. Maar niets is minder waar, zegt de dokter.","['rijpen voor de', 'ontwikkelingspsycholoog dr']","['waren tijdens de', 'dokter.']",5,20,1,"[0.6875, 0.9230769230769231]",0.81,nrc
seq27-0,small,Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg naar de plek van de crash bij Bournemouth.  Foto AP ,Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg naar de plek van de crash <extra_id_0>,Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg naar de plek van de crash,['bij Bournemouth. Foto AP'],[''],4,20,1,[1.0],1.0,nrc
seq28-0,small,"Socialer kabinet, maar niet radicaal Het nieuwe kabinet wil veel gaan verspijkeren in de staatshuishouding.  Met veel aandacht voor oude wijken, zorg en onderwijs","Socialer kabinet, maar niet <extra_id_0> nieuwe kabinet <extra_id_1> verspijkeren in de staatshuishouding. Met veel aandacht voor oude wijken, zorg en onderwijs","Socialer kabinet, maar niet het nieuwe kabinet te verspijkeren in de staatshuishouding. Met veel aandacht voor oude wijken, zorg en onderwijs","['radicaal Het', 'wil veel gaan']","['het', 'te']",5,20,1,"[0.8333333333333334, 0.9230769230769231]",0.88,nrc
seq29-0,small,Forum Barcelona voor vrede etcetera Het zomerfestival Forum 2004 in Barcelona moet een cultureel spektakel worden.  Maar stadspromotie en stadsontwikkeling overheersen,Forum Barcelona voor vrede etcetera Het zomerfestival Forum <extra_id_0> een cultureel spektakel worden. Maar stadspromotie en stadsontwikkeling overheersen,Forum Barcelona voor vrede etcetera Het zomerfestival Forum Barcelona kan een cultureel spektakel worden. Maar stadspromotie en stadsontwikkeling overheersen,['2004 in Barcelona moet'],['Barcelona kan'],4,20,1,[0.5454545454545454],0.55,nrc
seq30-0,small,"Schikking is dankbare munitie De Nederlandse justitie heeft haar onderzoek naar Ahold afgesloten.  Het juridische gevecht wordt scherper, de afstand tussen ex-bestuurders en bedrijf groter","Schikking is dankbare munitie De Nederlandse justitie heeft haar onderzoek naar Ahold afgesloten. <extra_id_0> wordt scherper, de afstand tussen <extra_id_1> bedrijf groter","Schikking is dankbare munitie De Nederlandse justitie heeft haar onderzoek naar Ahold afgesloten. De snelheid wordt scherper, de afstand tussen bedrijven en het bedrijf groter","['Het juridische gevecht', 'ex-bestuurders en']","['De snelheid', 'bedrijven en het']",5,20,1,"[0.7727272727272727, 0.8823529411764706]",0.83,nrc
seq31-0,small,"Nu valt het wel mee met de uniformiteit van die sleetse parade.  Het recentste jaarboek is zelfs een kleine revolutie, want voor het eerst is het nieuwe traditionalisme, dat Nederland heeft overspoeld, sterk vertegenwoordigd","Nu valt het wel mee met de uniformiteit van die sleetse parade. Het recentste jaarboek is zelfs een kleine <extra_id_0> het <extra_id_1> traditionalisme, dat Nederland heeft overspoeld, sterk vertegenwoordigd","Nu valt het wel mee met de uniformiteit van die sleetse parade. Het recentste jaarboek is zelfs een kleine verandering in het politieke traditionalisme, dat Nederland heeft overspoeld, sterk vertegenwoordigd","['revolutie', 'want voor', 'eerst is het nieuwe']","['verandering in', 'politieke']",7,20,1,"[0.7857142857142857, 1.0]",0.89,nrc
seq32-0,small,"Verzekeraar ASR wil uitvoeringsinstelling ROTTERDAM, 19 AUG.  De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is van plan een eigen uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten",Verzekeraar ASR wil <extra_id_0> AUG. De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is <extra_id_1> een eigen uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten,Verzekeraar ASR wil zich richten op AUG. De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is verplicht een eigen uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten,"['uitvoeringsinstelling ROTTERDAM', '19', 'van plan']","['zich richten op', 'verplicht']",5,20,1,"[0.7741935483870968, 1.0]",0.89,nrc
seq33-0,small,Internationale waarnemers hebben op een nieuwe locatie uraniumdeeltjes aangetroffen in Iran.  Isral en de VS zeggen al langer dat Teheran zich niet aan de afspraken van het atoomakkoord houdt,Internationale waarnemers hebben op <extra_id_0> uraniumdeeltjes aangetroffen <extra_id_1> en de VS zeggen al langer dat Teheran zich niet aan de afspraken van het atoomakkoord houdt,Internationale waarnemers hebben op uraniumdeeltjes aangetroffen Iran en de VS zeggen al langer dat Teheran zich niet aan de afspraken van het atoomakkoord houdt,"['een nieuwe locatie', 'in Iran. Isral']","['', 'Iran']",6,20,1,"[1.0, 0.7142857142857143]",0.86,nrc
seq34-0,small,"Uitglijder OM-topman in mediahype Harm Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken.  Daar komt hij van terug: Ik ben eerlijk en zeg ronduit: de fout lag bij mij","Uitglijder OM-topman in mediahype Harm Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken. Daar komt hij van terug: Ik ben <extra_id_0> de fout <extra_id_1>","Uitglijder OM-topman in mediahype Harm Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken. Daar komt hij van terug: Ik ben niet de fout","['eerlijk en zeg ronduit:', 'lag bij mij']","['niet', '']",7,20,1,"[0.8695652173913043, 1.0]",0.93,nrc
