Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq22-0,base,"gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een niet-Nederlandse achtergrond. Mail een korte toelichting naar lust@volkskrant.nl","gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een <extra_id_0> een korte toelichting naar lust@volkskrant.nl","gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een korte. Deze korte zijn een korte toelichting naar lust@volkskrant.nl",['niet-Nederlandse achtergrond. Mail'],['korte. Deze korte zijn'],3,11,[0.7941176470588235],0.79
seq23-0,base,gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden over liefde en lust? Mail <extra_id_0> toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden over liefde en lust? Mail en toelichting naar lust@volkskrant.nl,['een korte'],['en'],2,11,[0.7777777777777778],0.78
seq24-0,base,"...' is content gemaakt in opdracht van en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","...' is content <extra_id_0> en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","...' is content en en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.",['gemaakt in opdracht van'],['en'],4,11,[0.9130434782608695],0.91
seq25-0,base,m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter <extra_id_0> EU-parlement gefrustreerd achter,m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter EU-parlement gefrustreerd achter,['Zuckerberg laat'],[''],2,10,[1.0],1.0
seq26-0,base,en | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,<extra_id_0> Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['en | De'],['De'],3,10,[0.7142857142857143],0.71
seq27-0,base,s | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,s | De Volkskrant Wat zullen <extra_id_0> vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,s | De Volkskrant Wat zullen op vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['we eens eten'],['op'],3,10,[1.0],1.0
seq28-0,base,. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal 110 woorden) voor maandag,. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal <extra_id_0> maandag,. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal ) maandag,['110 woorden) voor'],[')'],3,10,[0.9411764705882353],0.94
seq29-0,base,Wie of wat zette je leven op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,Wie of wat <extra_id_0> op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,Wie of wat het voor op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,['zette je leven'],['het voor'],3,10,[0.7857142857142857],0.79
seq30-0,base,m Dump het aandeel of wees lastig: pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,m Dump het aandeel <extra_id_0> pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,m Dump het aandeel of wees lastig pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,['of wees lastig:'],['of wees lastig'],3,10,[0.06666666666666667],0.07
seq31-0,base,op verzoek van de boekenredactie de eerste tien pagina's van drie net verschenen boeken en geeft op basis daarvan advies.,op verzoek van de boekenredactie de eerste <extra_id_0> drie net verschenen boeken en geeft op basis daarvan advies.,op verzoek van de boekenredactie de eerste en drie net verschenen boeken en geeft op basis daarvan advies.,"['""tien pagina\'s van""']",['en'],3,9,[0.8947368421052632],0.89
seq32-0,base,Prikkelende opinies op een dag dat u er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,Prikkelende opinies op een <extra_id_0> er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,Prikkelende opinies op een een een er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,['dag dat u'],['een een'],3,9,[0.8888888888888888],0.89
seq33-0,base,m En weer is een verrader van Anne Frank ontmaskerd: was het dan toch Ans van ... Is zij de verrader van Anne Frank?,m En weer is een verrader <extra_id_0> was het dan toch Ans van ... Is zij de verrader van Anne Frank?,m En weer is een verrader van Anne Frank? Deze was het dan toch Ans van ... Is zij de verrader van Anne Frank?,['van Anne Frank ontmaskerd:'],['van Anne Frank? Deze'],4,9,[0.4230769230769231],0.42
seq34-0,base,"| De Volkskrant Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","| De Volkskrant Volkskrant.nl zet elke zondag de leukste, <extra_id_0> informatieve apps voor u op een rijtje. Deze week:","| De Volkskrant Volkskrant.nl zet elke zondag de leukste, een informatieve apps voor u op een rijtje. Deze week:",['handigste en meest'],['een'],3,9,[0.8333333333333334],0.83
seq35-0,base,"Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de volgende keer net iets minder opvalt. Vandaag:","Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de <extra_id_0> minder opvalt. Vandaag:","Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de ze week minder opvalt. Vandaag:",['volgende keer net iets'],['ze week'],4,9,[0.8181818181818182],0.82
seq36-0,base,"), naam bij de redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag","), <extra_id_0> redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag","), en redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag",['naam bij de'],['en'],3,9,[1.0],1.0
seq37-0,base,We genieten wat af met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,We <extra_id_0> met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,We lkom met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,['genieten wat af'],['lkom'],3,9,[1.0],1.0
seq38-0,base,' Tourverslaggever Marije Randewijk voorspelt elke dag op Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,' Tourverslaggever Marije Randewijk voorspelt <extra_id_0> Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,' Tourverslaggever Marije Randewijk voorspelt on Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,['elke dag op'],['on'],3,9,[0.9090909090909091],0.91
seq39-0,base,"di t/m zo 10-17u. Tel. 0900-8212132 (www.groningermuseum.nl). Haarlem, De Hallen (Grote Markt 16):",di t/m zo 10-17u. Tel. 0900-8212132 <extra_id_0> De Hallen (Grote Markt 16):,di t/m zo 10-17u. Tel. 0900-8212132 De Hallen (Grote Markt 16):,"['(www.groningermuseum.nl). Haarlem,']",[''],2,9,[1.0],1.0
seq40-0,base,van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van de dag door.,van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van <extra_id_0>,van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van de 4 Uur.,['de dag door.'],['Uur.'],3,9,[0.8333333333333334],0.83
seq41-0,base,".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) gaat voor V in gesprek met bekende en minder bekende Nederlanders over de rol die hun afkomst speelt in hun leven. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) gaat voor V in gesprek met bekende en minder bekende Nederlanders <extra_id_0> die hun afkomst speelt in hun leven. <extra_id_1> anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) gaat voor V in gesprek met bekende en minder bekende Nederlanders die hun afkomst speelt in hun leven. Het hebben anderen nog met","['over de rol', 'Hij spreekt onder']","['', 'Het hebben']",6,9,"[1.0, 0.7647058823529411]",0.88
seq42-0,base,"; di t/m vr 11-17u za zo 14-17u. Tel. 0475-333496 (www.museum.roermond.nl). Rotterdam, Boijmans Van Beuningen (Museumpark 18-20):","; di t/m vr 11-17u <extra_id_0> Tel. 0475-333496 (www.museum.roermond.nl). Rotterdam, Boijmans Van Beuningen (Museumpark 18-20):","; di t/m vr 11-17u Tel. 0475-333496 (www.museum.roermond.nl). Rotterdam, Boijmans Van Beuningen (Museumpark 18-20):",['za zo 14-17u.'],[''],3,9,[1.0],1.0
seq43-0,base,"? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:","? Berichten <extra_id_0> razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:","? Berichten zijn razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:",['verspreiden zich vaak'],['zijn'],3,9,[0.9047619047619048],0.9
seq44-0,base,"Groningen, Groninger Museum (Museumeiland): Van Kirchner tot Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964","Groningen, Groninger Museum <extra_id_0> Kirchner tot Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964","Groningen, Groninger Museum Kirchner tot Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964",['(Museumeiland): Van'],[''],2,9,[1.0],1.0
seq45-0,base,en Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,en Denkfouten in <extra_id_0> ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,en Denkfouten in Amsterdam ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,['het hedendaags'],['Amsterdam'],2,9,[0.7857142857142857],0.79
seq46-0,base," Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van <extra_id_0> scheiden. Vandaag:","Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de scheiden. Vandaag:",['de onzin te'],['de'],3,9,[0.8181818181818182],0.82
seq47-0,base,Houd moed. In het verleden wisten wetenschappers gigantische gezondheidscrises te bezweren. Deze week:,Houd moed. <extra_id_0> verleden wisten wetenschappers gigantische gezondheidscrises te bezweren. Deze week:,Houd moed. Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week verleden wisten wetenschappers gigantische gezondheidscrises te bezweren. Deze week:,['In het'],['Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week: Deze week'],2,9,[0.9932203389830508],0.99
seq48-0,base,}] }); //************************************************************************************************* $('#chart,}] }); //************************************************************************************************* $('#chart,}] }); //************************************************************************************************* $('#chart,[''],[],1,9,[],
seq49-0,base,"De Ombudsclown behandelt vragen, klachten en opmerkingen over zaken waaraan eigenlijk niets te doen is. '","De Ombudsclown behandelt vragen, klachten <extra_id_0> over zaken waaraan eigenlijk niets te doen is. '","De Ombudsclown behandelt vragen, klachten en over zaken waaraan eigenlijk niets te doen is. '",['en opmerkingen'],['en'],2,9,[0.8571428571428571],0.86
seq50-0,base,Elke dag tipt de redactie van de Volkskrant de beste programma's en films op televisie. Dit moet u vandaag zien.,Elke dag tipt de redactie <extra_id_0> de beste programma's en films op televisie. Dit moet u vandaag zien.,Elke dag tipt de redactie van de beste programma's en films op televisie. Dit moet u vandaag zien.,['van de Volkskrant'],['van'],3,8,[0.8235294117647058],0.82
seq51-0,base,De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,De <extra_id_0> in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,De politieke uitspraken in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,['Volkskrant checkt'],['politieke uitspraken'],2,8,[0.8],0.8
seq52-0,base,"Het leven door de ogen van de Posthuma de Boers - een foto uit het rijke naoorlogse archief van vader Eddy, met een tekst van dochter Eva.","Het leven door de ogen van de Posthuma <extra_id_0> foto uit het rijke naoorlogse archief van vader Eddy, met een tekst van dochter Eva.","Het leven door de ogen van de Posthuma en foto uit het rijke naoorlogse archief van vader Eddy, met een tekst van dochter Eva.",['de Boers - een'],['en'],4,8,[0.8571428571428571],0.86
seq53-0,base,"Mannen komen van Mars, vrouwen van Venus van John Gray. Regie Peter de Baan. Met Huub Stapel als psychiater die de verschillen tussen mannen en vrouwen voorlegt aan het publiek. Tournee","Mannen komen van Mars, vrouwen <extra_id_0> Gray. Regie Peter de Baan. Met Huub Stapel als psychiater die de verschillen tussen mannen en vrouwen voorlegt aan het publiek. Tournee","Mannen komen van Mars, vrouwen van Gray. Regie Peter de Baan. Met Huub Stapel als psychiater die de verschillen tussen mannen en vrouwen voorlegt aan het publiek. Tournee",['van Venus van John'],['van'],5,8,[0.8333333333333334],0.83
seq54-0,base,Reisjournalist Sander Groen verkent om de week een onvermoede bestemming in Nederland of net over de grens.,Reisjournalist Sander Groen verkent <extra_id_0> een onvermoede bestemming in Nederland of net over de grens.,Reisjournalist Sander Groen verkent een grens en een onvermoede bestemming in Nederland of net over de grens.,['om de week'],['een grens en'],3,8,[0.75],0.75
seq55-0,base,"- klopt dit wel? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:",- klopt dit wel? Berichten verspreiden <extra_id_0> ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:,- klopt dit wel? Berichten verspreiden - ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:,"['zich vaak razendsnel', 'of']",['-'],4,8,[1.0],1.0
seq56-0,base,"- Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","- Klopt dit wel? Berichten verspreiden zich razendsnel, <extra_id_0> of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","- Klopt dit wel? Berichten verspreiden zich razendsnel, zo of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:",['of ze nu kloppen'],['zo'],4,8,[0.875],0.88
seq57-0,base,"? | De Volkskrant Antwoord op lezersvragen over gezondheid, voeding, leefstijl en psyche. Deze week:","? | De Volkskrant Antwoord op lezersvragen over gezondheid, <extra_id_0> en psyche. Deze week:","? | De Volkskrant Antwoord op lezersvragen over gezondheid, en een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een e en psyche. Deze week:","['voeding', 'leefstijl']",['en een een een een een een een een een een een een een een een een een een een een een een een een een een een een een een e'],2,8,[0.9838709677419355],0.98
seq58-0,base,"Miss Saigon, de musicalklassieker over een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer te zien in Nederland. Met Stanley Burleson, Na-Young Jeon e.a. T/m","Miss Saigon, de musicalklassieker over een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer te zien in Nederland. Met Stanley Burleson, <extra_id_0>","Miss Saigon, de musicalklassieker over een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer te zien in Nederland. Met Stanley Burleson,",['Na-Young Jeon e.a. T/m'],[''],5,8,[1.0],1.0
seq59-0,base,"Raging Bull (Martin Scorsese). Meesterwerk uit 1983 opnieuw in de bioscoop te zien in het Filmmuseum in Amsterdam, dat een zomerprogr","Raging Bull <extra_id_0> uit 1983 opnieuw in de bioscoop te zien in het Filmmuseum in Amsterdam, dat een zomerprogr","Raging Bull was uit 1983 opnieuw in de bioscoop te zien in het Filmmuseum in Amsterdam, dat een zomerprogr",['(Martin Scorsese). Meesterwerk'],['was'],3,8,[0.9333333333333333],0.93
seq60-0,base,".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V Nederlanders over de rol die afkomst speelt in hun leven. Mede gebaseerd op deze serie verscheen vorig jaar zijn boek Kaaskoppen. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V <extra_id_0> rol die afkomst speelt in hun leven. Mede gebaseerd op deze serie verscheen <extra_id_1> boek Kaaskoppen. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V uijsje, de rol die afkomst speelt in hun leven. Mede gebaseerd op deze serie verscheen het boek Kaaskoppen. Hij spreekt onder anderen nog met","['Nederlanders over de', 'vorig jaar zijn']","['uijsje, de', 'het']",6,8,"[0.75, 1.0]",0.88
