Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq22-0,large,"gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een niet-Nederlandse achtergrond. Mail een korte toelichting naar lust@volkskrant.nl","gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een <extra_id_0> een korte toelichting naar lust@volkskrant.nl","gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een eigen titel en een korte toelichting naar lust@volkskrant.nl",['niet-Nederlandse achtergrond. Mail'],['eigen titel en'],3,11,[0.7941176470588235],0.79
seq23-0,large,gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden over liefde en lust? Mail <extra_id_0> toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden over liefde en lust? Mail op toelichting naar lust@volkskrant.nl,['een korte'],['op'],2,11,[0.8888888888888888],0.89
seq24-0,large,"...' is content gemaakt in opdracht van en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","...' is content <extra_id_0> en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","...' is content geproduceerd en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.",['gemaakt in opdracht van'],['geproduceerd'],4,11,[0.782608695652174],0.78
seq25-0,large,m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter <extra_id_0> EU-parlement gefrustreerd achter,m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter laat EU-parlement gefrustreerd achter,['Zuckerberg laat'],['laat'],2,10,[0.7333333333333333],0.73
seq26-0,large,en | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,<extra_id_0> Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,in de Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['en | De'],['in de'],3,10,[0.5714285714285714],0.57
seq27-0,large,s | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,s | De Volkskrant Wat zullen <extra_id_0> vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,s | De Volkskrant Wat zullen we vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['we eens eten'],['we'],3,10,[0.8333333333333334],0.83
seq28-0,large,. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal 110 woorden) voor maandag,. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal <extra_id_0> maandag,. Wat zou u doen? Onze vraag is: wat zou u doen? Mail uw antwoord (maximaal ) op de maandag,['110 woorden) voor'],[') op de'],3,10,[0.7647058823529411],0.76
seq29-0,large,Wie of wat zette je leven op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,Wie of wat <extra_id_0> op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,Wie of wat zijn men op het juiste spoor? In een serie interviews vraagt de Volkskrant mensen naar hun inspiratiebron.,['zette je leven'],['zijn men'],3,10,[0.6428571428571429],0.64
seq30-0,large,m Dump het aandeel of wees lastig: pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,m Dump het aandeel <extra_id_0> pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,m Dump het aandeel of wees lastig pensioenfondsen beleggen steeds kritischer Dump het aandeel of wees lastig,['of wees lastig:'],['of wees lastig'],3,10,[0.06666666666666667],0.07
seq31-0,large,op verzoek van de boekenredactie de eerste tien pagina's van drie net verschenen boeken en geeft op basis daarvan advies.,op verzoek van de boekenredactie de eerste <extra_id_0> drie net verschenen boeken en geeft op basis daarvan advies.,op verzoek van de boekenredactie de eerste en drie net verschenen boeken en geeft op basis daarvan advies.,"['""tien pagina\'s van""']",['en'],3,9,[0.8947368421052632],0.89
seq32-0,large,Prikkelende opinies op een dag dat u er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,Prikkelende opinies op een <extra_id_0> er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,Prikkelende opinies op een titel die er tijd voor heeft: de Volkskrant presenteert elke zondag een bijdrage van een vaste club auteurs.,['dag dat u'],['titel die'],3,9,[1.0],1.0
seq33-0,large,m En weer is een verrader van Anne Frank ontmaskerd: was het dan toch Ans van ... Is zij de verrader van Anne Frank?,m En weer is een verrader <extra_id_0> was het dan toch Ans van ... Is zij de verrader van Anne Frank?,m En weer is een verrader van Anne Frank? En was het dan toch Ans van ... Is zij de verrader van Anne Frank?,['van Anne Frank ontmaskerd:'],['van Anne Frank? En'],4,9,[0.4230769230769231],0.42
seq34-0,large,"| De Volkskrant Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","| De Volkskrant Volkskrant.nl zet elke zondag de leukste, <extra_id_0> informatieve apps voor u op een rijtje. Deze week:","| De Volkskrant Volkskrant.nl zet elke zondag de leukste, snelle en informatieve apps voor u op een rijtje. Deze week:",['handigste en meest'],['snelle en'],3,9,[0.7222222222222222],0.72
seq35-0,large,"Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de volgende keer net iets minder opvalt. Vandaag:","Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de <extra_id_0> minder opvalt. Vandaag:","Ccile Narinx en Arno Kantelberg bespreken elke week de stijl van een wereldstad. Opdat u, toerist, er de stijl minder opvalt. Vandaag:",['volgende keer net iets'],['stijl'],4,9,[0.9090909090909091],0.91
seq36-0,large,"), naam bij de redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag","), <extra_id_0> redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag","), en de redactie bekend Onze vraag is: wat zou u doen? Mail uw antwoord (max. 110 woorden) voor maandag",['naam bij de'],['en de'],3,9,[0.7272727272727273],0.73
seq37-0,large,We genieten wat af met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,We <extra_id_0> met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,We zijn met z'n allen. Jan Dirk van der Burg reist door Nederland en legt het allemaal vast.,['genieten wat af'],['zijn'],3,9,[0.8666666666666667],0.87
seq38-0,large,' Tourverslaggever Marije Randewijk voorspelt elke dag op Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,' Tourverslaggever Marije Randewijk voorspelt <extra_id_0> Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,' Tourverslaggever Marije Randewijk voorspelt op Volkskrant.nl wie de etappe in de Tour de France gaat winnen. Vandaag de,['elke dag op'],['op'],3,9,[0.8181818181818182],0.82
seq39-0,large,"di t/m zo 10-17u. Tel. 0900-8212132 (www.groningermuseum.nl). Haarlem, De Hallen (Grote Markt 16):",di t/m zo 10-17u. Tel. 0900-8212132 <extra_id_0> De Hallen (Grote Markt 16):,di t/m zo 10-17u. Tel. 0900-8212132 De Hallen (Grote Markt 16):,"['(www.groningermuseum.nl). Haarlem,']",[''],2,9,[1.0],1.0
seq40-0,large,van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van de dag door.,van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van <extra_id_0>,van de dagelijkse 4 Uur Nieuwsbreak. In deze rubriek nemen we met een interessant persoon het nieuws van de 4 Uur.,['de dag door.'],['Uur.'],3,9,[0.8333333333333334],0.83
seq41-0,large,".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) gaat voor V in gesprek met bekende en minder bekende Nederlanders over de rol die hun afkomst speelt in hun leven. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) gaat voor V in gesprek met bekende en minder bekende Nederlanders <extra_id_0> die hun afkomst speelt in hun leven. <extra_id_1> anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) gaat voor V in gesprek met bekende en minder bekende Nederlanders die hun afkomst speelt in hun leven. Het komt het anderen nog met","['over de rol', 'Hij spreekt onder']","['', 'Het komt het']",6,9,"[1.0, 0.7058823529411765]",0.85
seq42-0,large,"; di t/m vr 11-17u za zo 14-17u. Tel. 0475-333496 (www.museum.roermond.nl). Rotterdam, Boijmans Van Beuningen (Museumpark 18-20):","; di t/m vr 11-17u <extra_id_0> Tel. 0475-333496 (www.museum.roermond.nl). Rotterdam, Boijmans Van Beuningen (Museumpark 18-20):","; di t/m vr 11-17u ur. Tel. 0475-333496 (www.museum.roermond.nl). Rotterdam, Boijmans Van Beuningen (Museumpark 18-20):",['za zo 14-17u.'],['ur.'],3,9,[0.9230769230769231],0.92
seq43-0,large,"? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:","? Berichten <extra_id_0> razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:","? Berichten zijn razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:",['verspreiden zich vaak'],['zijn'],3,9,[0.9047619047619048],0.9
seq44-0,large,"Groningen, Groninger Museum (Museumeiland): Van Kirchner tot Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964","Groningen, Groninger Museum <extra_id_0> Kirchner tot Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964","Groningen, Groninger Museum Kirchner tot Kandinsky. Duits expressionisme uit de Nederlandse musea, 1919-1964",['(Museumeiland): Van'],[''],2,9,[1.0],1.0
seq45-0,large,en Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,en Denkfouten in <extra_id_0> ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,en Denkfouten in een ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,['het hedendaags'],['een'],2,9,[0.7857142857142857],0.79
seq46-0,large," Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van <extra_id_0> scheiden. Vandaag:","Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de scheiden. Vandaag:",['de onzin te'],['de'],3,9,[0.8181818181818182],0.82
seq47-0,large,Houd moed. In het verleden wisten wetenschappers gigantische gezondheidscrises te bezweren. Deze week:,Houd moed. <extra_id_0> verleden wisten wetenschappers gigantische gezondheidscrises te bezweren. Deze week:,Houd moed. Deze week: verleden wisten wetenschappers gigantische gezondheidscrises te bezweren. Deze week:,['In het'],['Deze week:'],2,9,[0.8],0.8
seq48-0,large,}] }); //************************************************************************************************* $('#chart,}] }); //************************************************************************************************* $('#chart,}] }); //************************************************************************************************* $('#chart,[''],[],1,9,[],
seq49-0,large,"De Ombudsclown behandelt vragen, klachten en opmerkingen over zaken waaraan eigenlijk niets te doen is. '","De Ombudsclown behandelt vragen, klachten <extra_id_0> over zaken waaraan eigenlijk niets te doen is. '","De Ombudsclown behandelt vragen, klachten en klachten over zaken waaraan eigenlijk niets te doen is. '",['en opmerkingen'],['en klachten'],2,9,[0.6428571428571429],0.64
seq50-0,large,Elke dag tipt de redactie van de Volkskrant de beste programma's en films op televisie. Dit moet u vandaag zien.,Elke dag tipt de redactie <extra_id_0> de beste programma's en films op televisie. Dit moet u vandaag zien.,Elke dag tipt de redactie van de beste programma's en films op televisie. Dit moet u vandaag zien.,['van de Volkskrant'],['van'],3,8,[0.8235294117647058],0.82
seq51-0,large,De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,De <extra_id_0> in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,De ze staat in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,['Volkskrant checkt'],['ze staat'],2,8,[0.8235294117647058],0.82
seq52-0,large,"Het leven door de ogen van de Posthuma de Boers - een foto uit het rijke naoorlogse archief van vader Eddy, met een tekst van dochter Eva.","Het leven door de ogen van de Posthuma <extra_id_0> foto uit het rijke naoorlogse archief van vader Eddy, met een tekst van dochter Eva.","Het leven door de ogen van de Posthuma e foto uit het rijke naoorlogse archief van vader Eddy, met een tekst van dochter Eva.",['de Boers - een'],['e'],4,8,[0.9285714285714286],0.93
seq53-0,large,"Mannen komen van Mars, vrouwen van Venus van John Gray. Regie Peter de Baan. Met Huub Stapel als psychiater die de verschillen tussen mannen en vrouwen voorlegt aan het publiek. Tournee","Mannen komen van Mars, vrouwen <extra_id_0> Gray. Regie Peter de Baan. Met Huub Stapel als psychiater die de verschillen tussen mannen en vrouwen voorlegt aan het publiek. Tournee","Mannen komen van Mars, vrouwen van Gray. Regie Peter de Baan. Met Huub Stapel als psychiater die de verschillen tussen mannen en vrouwen voorlegt aan het publiek. Tournee",['van Venus van John'],['van'],5,8,[0.8333333333333334],0.83
seq54-0,large,Reisjournalist Sander Groen verkent om de week een onvermoede bestemming in Nederland of net over de grens.,Reisjournalist Sander Groen verkent <extra_id_0> een onvermoede bestemming in Nederland of net over de grens.,Reisjournalist Sander Groen verkent ook een onvermoede bestemming in Nederland of net over de grens.,['om de week'],['ook'],3,8,[0.8],0.8
seq55-0,large,"- klopt dit wel? Berichten verspreiden zich vaak razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:",- klopt dit wel? Berichten verspreiden <extra_id_0> ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:,- klopt dit wel? Berichten verspreiden ook ook omdat ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Deze week:,"['zich vaak razendsnel', 'of']",['ook ook omdat'],4,8,[0.8],0.8
seq56-0,large,"- Klopt dit wel? Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","- Klopt dit wel? Berichten verspreiden zich razendsnel, <extra_id_0> of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","- Klopt dit wel? Berichten verspreiden zich razendsnel, ook of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:",['of ze nu kloppen'],['ook'],4,8,[0.875],0.88
seq57-0,large,"? | De Volkskrant Antwoord op lezersvragen over gezondheid, voeding, leefstijl en psyche. Deze week:","? | De Volkskrant Antwoord op lezersvragen over gezondheid, <extra_id_0> en psyche. Deze week:","? | De Volkskrant Antwoord op lezersvragen over gezondheid, het eerste en psyche. Deze week:","['voeding', 'leefstijl']",['het eerste'],2,8,[0.9],0.9
seq58-0,large,"Miss Saigon, de musicalklassieker over een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer te zien in Nederland. Met Stanley Burleson, Na-Young Jeon e.a. T/m","Miss Saigon, de musicalklassieker over een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer te zien in Nederland. Met Stanley Burleson, <extra_id_0>","Miss Saigon, de musicalklassieker over een Amerikaanse soldaat die verliefd wordt op een Vietnamees meisje is na vijftien jaar weer te zien in Nederland. Met Stanley Burleson, en een andere.",['Na-Young Jeon e.a. T/m'],['andere.'],5,8,[0.7727272727272727],0.77
seq59-0,large,"Raging Bull (Martin Scorsese). Meesterwerk uit 1983 opnieuw in de bioscoop te zien in het Filmmuseum in Amsterdam, dat een zomerprogr","Raging Bull <extra_id_0> uit 1983 opnieuw in de bioscoop te zien in het Filmmuseum in Amsterdam, dat een zomerprogr","Raging Bull zijn uit 1983 opnieuw in de bioscoop te zien in het Filmmuseum in Amsterdam, dat een zomerprogr",['(Martin Scorsese). Meesterwerk'],['zijn'],3,8,[0.9666666666666667],0.97
seq60-0,large,".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V Nederlanders over de rol die afkomst speelt in hun leven. Mede gebaseerd op deze serie verscheen vorig jaar zijn boek Kaaskoppen. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V <extra_id_0> rol die afkomst speelt in hun leven. Mede gebaseerd op deze serie verscheen <extra_id_1> boek Kaaskoppen. Hij spreekt onder anderen nog met",".' Schrijver Robert Vuijsje (Alleen maar nette mensen, Beste vriend) interviewt voor V uijsje de rol die afkomst speelt in hun leven. Mede gebaseerd op deze serie verscheen ste boek Kaaskoppen. Hij spreekt onder anderen nog met","['Nederlanders over de', 'vorig jaar zijn']","['uijsje de', 'ste']",6,8,"[0.75, 1.0]",0.88
seq61-0,large,? De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke uitspraken op waarheidsgehalte. Vandaag:,? De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke <extra_id_0> Vandaag:,? De Volkskrant checkt in aanloop naar de verkiezingen op 15 maart politieke verkiezingen. Vandaag:,['uitspraken op waarheidsgehalte.'],['verkiezingen.'],3,8,[0.8064516129032258],0.81
