Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
"De eerste race van het seizoen zit er op, maar wanneer mogen we ons weer verheugen op Max Verstappen en co? Bekijk hieronder de F1-kalender en zie gelijk hoe laat de wekker gezet moet worden.","De eerste race van het seizoen zit er op, maar wanneer mogen we ons weer <extra_id_0> Verstappen <extra_id_1> hieronder de F1-kalender en <extra_id_2> laat de wekker gezet moet worden.","['verheugen op Max', 'en co? Bekijk', 'zie gelijk hoe']",9,25.0,12
"BN'er@homeNederland zit voorlopig vooral thuis en veel BNers dus ook. Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft","BN'er@homeNederland zit <extra_id_0> en veel <extra_id_1> Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft","['voorlopig vooral thuis', 'BNers dus ook.']",6,25.0,11
Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. In ons dossier vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 1,<extra_id_0> in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. <extra_id_1> vind je alle artikelen <extra_id_2> in de Drechtsteden. Mist u iets? Tip <extra_id_3> 1,"['Het kabinet heeft', 'In ons dossier', 'over het coronavirus', 'de redactie: dd.redactie@ad.nl.']",12,25.0,11
"Deze zomer staat in het teken van onze Buitenkansjes! Speel elke dag mee voor nieuwe cadeaus. Van een Stella e-bike (t.w.v  2499,-) tot aan VVV cadeaukaarten, vouchers voor Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","Deze zomer staat in het teken van onze Buitenkansjes! Speel <extra_id_0> nieuwe cadeaus. Van een Stella <extra_id_1> tot aan VVV cadeaukaarten, vouchers voor Fletcher Hotels <extra_id_2> van Saskia Noort, je wilt niets missen.","['elke dag mee voor', 'e-bike (t.w.v 2499,-)', 'of het e-book']",10,25.0,11
. Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,. Meld je aan voor de AD sportnieuwsbrief en <extra_id_0> van het belangrijkste sportnieuws,['ontvang dagelijks een overzicht'],4,25.0,11
"Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, mooiste en opvallendste posts van BNers en celebritys.","Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek <extra_id_0> redactie <extra_id_1> je af voor de gekste, mooiste <extra_id_2> van BNers en celebritys.","['Regiobytes struint de', 'het web voor', 'en opvallendste posts']",9,25.0,11
.  Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,. Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks <extra_id_0> lijf. <extra_id_1> ze,"['iemand tegen het', 'Deze keer kwamen']",6,25.0,11
Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 1,Zorgverleners op <extra_id_0> in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van <extra_id_1> ziekenhuis in Dordrecht en geeft <extra_id_2> in zijn werk. Deel 1,"['de intensive care staan', 'het Albert Schweitzer', 'dagelijks een inkijkje']",10,25.0,11
"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In <extra_id_0> worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van <extra_id_1> deze te vergroten en <extra_id_2> bladeren.","['deze rubriek', 'de beelden om', 'er doorheen te']",8,25.0,10
Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart liveblog te volgen. Hier brengen we je op de hoogte van al het overige WK-nieuws.,Het WK dendert in volle vaart door. Vandaag staan <extra_id_0> wedstrijden op het programma. Uiteraard zijn deze duels in een apart liveblog te volgen. Hier <extra_id_1> op <extra_id_2> het overige WK-nieuws.,"['er opnieuw drie', 'brengen we je', 'de hoogte van al']",10,25.0,10
. We houden je op de hoogte in ons liveblog. De gebeurtenissen van de afgelopen dagen lees je hier terug.,. We houden je op de hoogte in <extra_id_0> gebeurtenissen van de afgelopen <extra_id_1> je hier terug.,"['ons liveblog. De', 'dagen lees']",5,25.0,10
In de rubriek En nu ik! worden bekenden en onbekenden uit het Groene Hart geportretteerd. Vandaag:,In <extra_id_0> ik! worden bekenden en onbekenden uit het Groene Hart geportretteerd. Vandaag:,['de rubriek En nu'],4,25.0,10
Veel sporters berichten graag over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken en delen op social media. Dit artikel wordt gedurende de dag vernieuwd.,Veel sporters berichten graag over hun bezigheden buiten de velden en zalen. In de rubriek Sportbytes kijken we wat bekende sporters meemaken <extra_id_0> op <extra_id_1> artikel <extra_id_2> dag vernieuwd.,"['en delen', 'social media. Dit', 'wordt gedurende de']",8,25.0,10
In de rubriek Sportbytes houden we in de gaten wat bekende sporters meemaken n delen op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,In de rubriek Sportbytes houden we <extra_id_0> wat bekende <extra_id_1> delen op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,"['in de gaten', 'sporters meemaken n']",6,25.0,10
Hoe goed heb jij deze week het nieuws uit Utrecht gevolgd? Speel de quiz en test je kennis met 7 vragen.,Hoe goed heb jij deze week het nieuws uit Utrecht gevolgd? Speel de <extra_id_0> je kennis <extra_id_1> vragen.,"['quiz en test', 'met 7']",5,25.0,10
". <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/","<extra_id_0> <a href=""https://t.co/axyyfHaEPO"">https://t.co/axyyfHaEPO</a> <a href=""https://twitter.com/hashtag/",['.'],1,25.0,10
Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,Fotograaf Maartje Brockbernd en verslaggever Robin Nanninga <extra_id_0> het lijf. Deze keer kwamen ze,['lopen wekelijks iemand tegen'],4,25.0,10
In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de Oude Kerk zo scheef en wa,In Delftse mysteries geven we antwoorden op voor de hand liggende vragen. Waarom staat de <extra_id_0> scheef <extra_id_1>,"['Oude Kerk zo', 'en wa']",5,25.0,9
Vrijwel elke dag staat de sportwereld bol van de evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks op een rijtje welke evenementen speciale aandacht verdienen.,Vrijwel elke dag staat de sportwereld <extra_id_0> evenementen en wordt het lastig om nog bij te houden wat cht interessant is. Daarom zetten wij dagelijks <extra_id_1> welke <extra_id_2> verdienen.,"['bol van de', 'op een rijtje', 'evenementen speciale aandacht']",9,25.0,9
Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Op het tweede gezichtFotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een <extra_id_0> Vandaag:,['kijkje achter het nieuws.'],4,25.0,9
"In deze serie zoeken we BNers op die eens in de schijnwerpers stonden, maar nu verdwenen zijn van het podium. Vandaag:","In deze serie <extra_id_0> BNers op die eens in de schijnwerpers stonden, <extra_id_1> zijn van het podium. Vandaag:","['zoeken we', 'maar nu verdwenen']",5,25.0,9
"Het voetbal ligt op Duitsland na in alle grote competities nog stil, maar ondanks de coronacrisis gaan de zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij. Lees hier al het transfernieuws van de voorbije dagen en weken terug. 18-05","Het voetbal ligt op Duitsland na in alle grote competities nog stil, maar <extra_id_0> coronacrisis gaan de zaken en vooral de transfergeruchten gewoon <extra_id_1> houden we <extra_id_2> Lees hier al het transfernieuws van de <extra_id_3> weken terug. 18-05","['ondanks de', 'door. In TransferTalk', 'alle geruchten bij.', 'voorbije dagen en']",11,25.0,9
maffia-kopstuk Omar L. te laten ontsnappen. Die poging is mislukt. De politie heeft vier mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,maffia-kopstuk Omar <extra_id_0> ontsnappen. Die poging is mislukt. De <extra_id_1> mannen opgepakt die mogelijk betrokken zijn bij de uitbraakpoging.,"['L. te laten', 'politie heeft vier']",6,25.0,9
"Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:","Wie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je <extra_id_0> vraagt <extra_id_1> om verder te komen. Zij geven hn beste <extra_id_2>","['om meer loon', 'en wat helpt', 'tips. Vandaag:']",8,25.0,9
"De zware jongens halen de voorpaginas, de boefjes niet. Sander Sonnemans doet elke week verslag van een doodnormale Rotterdamse rechtszaak.","<extra_id_0> jongens halen de voorpaginas, de boefjes <extra_id_1> doet elke week verslag van een doodnormale Rotterdamse rechtszaak.","['De zware', 'niet. Sander Sonnemans']",5,25.0,9
Ben je er niet aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is het nieuws van,Ben <extra_id_0> aan toegekomen om al het nieuws uit Rotterdam en omstreken vandaag te volgen? Dit is <extra_id_1>,"['je er niet', 'het nieuws van']",6,25.0,9
Kamp Amersfoort was in de oorlog voor velen een helse plek. Wie waren zij en wat overkwam hen? In deel,Kamp Amersfoort was in de oorlog voor velen een helse plek. Wie waren zij <extra_id_0> overkwam <extra_id_1>,"['en wat', 'hen? In deel']",5,25.0,9
David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen hun lessen voor een leuker leven.,David en Arjan (r.) van geluksplatform 365 Dagen Succesvol delen <extra_id_0> leuker leven.,['hun lessen voor een'],4,25.0,9
over de voortgang van de coronacrisis. Het kabinet krijgt ruime steun van de bevolking voor de aanpak van het virus.,over de <extra_id_0> de coronacrisis. Het kabinet krijgt ruime steun van de bevolking voor <extra_id_1> het virus.,"['voortgang van', 'de aanpak van']",5,25.0,9
"Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane geproduceerd vanuit zogenoemd dragersmateriaal, zoals kleding. De politie heeft zeventien verdachten aangehouden.","Nijeveen de grootste cocanewasserij in Nederland ooit ontmanteld. In het drugslab werd cocane <extra_id_0> dragersmateriaal, zoals kleding. De politie heeft <extra_id_1>","['geproduceerd vanuit zogenoemd', 'zeventien verdachten aangehouden.']",6,25.0,9
In de rubriek Van wieg tot graf vertellen we het verhaal achter een familiebericht. Deze keer het levensverhaal van,In de rubriek Van wieg tot graf vertellen we het verhaal achter <extra_id_0> Deze keer <extra_id_1>,"['een familiebericht.', 'het levensverhaal van']",5,25.0,9
"maakt elke dag vele afwegingen om de krant, site en app zo goed mogelijk te maken. Hoofdredacteur Paul van den Bosch zal deze journalistieke keuzes op regelmatige basis toelichten op deze plek. Vandaag:",maakt elke dag vele afwegingen om de <extra_id_0> app zo goed mogelijk te maken. Hoofdredacteur Paul van den <extra_id_1> deze journalistieke keuzes op <extra_id_2> op deze plek. Vandaag:,"['krant, site en', 'Bosch zal', 'regelmatige basis toelichten']",8,25.0,9
"Hans van der Beek doet elke dag verslag van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:","Hans van der Beek <extra_id_0> van feesten, presentaties en andere belangrijke bijeenkomsten in Amsterdam. Vandaag:",['doet elke dag verslag'],4,25.0,9
De deelnemers aan de internationale Libi-conferentie in Berlijn zijn het eens geworden over een wapenstilstand in het Noord-Afrikaanse land. Dat melden verschillende Duitse media.,De deelnemers aan de internationale Libi-conferentie in Berlijn zijn het eens geworden over een wapenstilstand in <extra_id_0> Dat <extra_id_1> media.,"['het Noord-Afrikaanse land.', 'melden verschillende Duitse']",6,25.0,9
Columnist Dennis Captein schrijft elke zaterdag een column over het leven in Alphen. Vandaag schrijft hij over,Columnist Dennis Captein schrijft elke zaterdag een column over <extra_id_0> Vandaag schrijft hij over,['het leven in Alphen.'],4,25.0,9
"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (75) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt met de jaren. Omdat acteur <extra_id_0> (75) een <extra_id_1> is, beantwoordt hij uw vragen.","['Joost Prinsen', 'eind op weg']",5,25.0,9
De transferperiode in Europa is geopend en dus regent het nieuwtjes over spelers die hun contract verlengen of juist wisselen van club. Mis de komende maanden niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,De transferperiode in Europa is geopend en dus regent het <extra_id_0> die hun contract verlengen of juist wisselen van club. Mis de komende maanden niets van alle <extra_id_1> in <extra_id_2> TransferTalk.,"['nieuwtjes over spelers', 'geruchten en voltooide transfers', 'onze dagelijkse rubriek']",10,25.0,9
Leo van der Velde schrijft wekelijks een brief aan kleindochter Rachel (7) waarin hij haar vertelt over het Den Haag van toen.,Leo <extra_id_0> schrijft wekelijks een brief aan kleindochter Rachel (7) waarin hij haar <extra_id_1> Den Haag van toen.,"['van der Velde', 'vertelt over het']",6,25.0,9
"- Elk dorp kent ze: mensen die iets bijzonders doen voor de gemeenschap. In hun werk, hobby of als vrijwilliger. Deze week:","- Elk dorp kent <extra_id_0> iets <extra_id_1> de gemeenschap. In hun werk, hobby of als vrijwilliger. Deze week:","['ze: mensen die', 'bijzonders doen voor']",6,25.0,9
"Het grote graven is weer begonnen! Molloot Gudo Tienhooven deelt elk weekend zijn bevindingen over Wie is de Mol?. Hij praat je bij over complotten, vreemde acties en de laatste theorien.",Het <extra_id_0> is weer begonnen! Molloot Gudo Tienhooven deelt elk weekend zijn bevindingen over Wie is de Mol?. Hij praat je bij over <extra_id_1> en <extra_id_2>,"['grote graven', 'complotten, vreemde acties', 'de laatste theorien.']",8,25.0,9
.  Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,. Maartje <extra_id_0> STRAATFotograaf <extra_id_1> verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,"['Brockbernd VAN DE', 'Maartje Brockbernd en']",6,25.0,9
. Volg alle ontwikkelingen rond het virus in ons liveblog. Hier lees je het vorige blog nog eens terug.,. Volg alle ontwikkelingen <extra_id_0> virus in ons liveblog. Hier lees je het <extra_id_1> eens terug.,"['rond het', 'vorige blog nog']",5,25.0,9
Onze verslaggevers Arjan Schouten en Rik Spekenbrink volgen het Formule 1-circuit op de voet. In blogs melden ze wat hen verbaast in de wereld van pks en glitter en glamour.,Onze verslaggevers Arjan Schouten <extra_id_0> Spekenbrink volgen het Formule 1-circuit op de voet. In blogs melden <extra_id_1> verbaast <extra_id_2> van pks en glitter en glamour.,"['en Rik', 'ze wat hen', 'in de wereld']",8,25.0,9
Parlementarirs ondervragen wekelijks op dinsdagmiddag tijdens het vragenuurtje kabinetsleden over actuele kwesties. Vandaag onder meer op de agenda:,Parlementarirs ondervragen wekelijks op dinsdagmiddag tijdens het vragenuurtje kabinetsleden over actuele <extra_id_0> op de agenda:,['kwesties. Vandaag onder meer'],4,25.0,9
"lockquote class=""twitter-tweet"" lang=""nl""><p lang=""en"" dir=""ltr""><a href=""https://twitter.com/hashtag/","lockquote class=""twitter-tweet"" lang=""nl""><p lang=""en"" <extra_id_0>","['dir=""ltr""><a href=""https://twitter.com/hashtag/']",2,25.0,9
17-jarigen: ze staan op de springplank naar volwassenheid. Charlotte de Heij gaat voor deze rubriek in gesprek met zon groentje uit het Groene Hart. Vandaag:,17-jarigen: ze staan op de springplank naar volwassenheid. Charlotte de Heij gaat voor <extra_id_0> gesprek met zon groentje uit <extra_id_1> Vandaag:,"['deze rubriek in', 'het Groene Hart.']",6,25.0,9
"Hoewel de sport steeds meer wordt opgestart, houdt het coronavirus een ijzeren greep op de sportwereld. In dit liveblog houden we de laatste nieuwsberichten bij.","Hoewel de sport steeds meer wordt opgestart, houdt het coronavirus een ijzeren greep op <extra_id_0> dit liveblog <extra_id_1> laatste nieuwsberichten bij.","['de sportwereld. In', 'houden we de']",6,25.0,9
. Met behulp van statistiekenbureaus Gracenote en Opta blikken we met de leukste feitjes vooruit op de,. Met <extra_id_0> en Opta blikken we met de leukste feitjes vooruit op de,['behulp van statistiekenbureaus Gracenote'],4,25.0,9
"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","De <extra_id_0> nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit <extra_id_1> in <extra_id_2> League B van deze en volgende week. Ook vermelden we hier komende week <extra_id_3> stand n het programma van de belangrijkste oefeninterlands.","['Nations League, de', 'is het programma', 'League A en', 'alle uitslagen, de']",12,25.0,9
Mensen zitten thuis vanwege het coronavirus. In een serie verhalen vragen we mensen wat dat met ze doet. Vandaag:,Mensen zitten thuis vanwege het coronavirus. In <extra_id_0> verhalen vragen we mensen wat <extra_id_1> doet. Vandaag:,"['een serie', 'dat met ze']",5,25.0,9
Vakantie is lekker! Toch? Niet altijd. De mooiste stukjes van Europa worden tegenwoordig onder de voet gelopen door drommen toeristen. Deel,Vakantie is lekker! Toch? Niet altijd. De mooiste stukjes <extra_id_0> tegenwoordig onder de voet gelopen door <extra_id_1> Deel,"['van Europa worden', 'drommen toeristen.']",5,25.0,9
#shirt #Internationaledagvandevluchteling #refugee #whocares #welkom #marHaban #tshirt #trots #therefugeecompany #koopdatshirt #linkinbio,#shirt #Internationaledagvandevluchteling #refugee #whocares #welkom #marHaban #tshirt #trots <extra_id_0>,['#therefugeecompany #koopdatshirt #linkinbio'],3,25.0,9
Sandra Phlippen is chef economie. Elke week behandelt ze een onderwerp dat haar opvalt in de economie.,Sandra Phlippen is chef economie. Elke week behandelt ze <extra_id_0> opvalt in de economie.,['een onderwerp dat haar'],4,25.0,8
"Het centrum van Den Haag is vanochtend afgesloten door het leger met vrachtwagens en roadblocks voor de komst van duizenden boeren die demonstreren tegen de stikstofregels. Trams en bussen rijden om, autos kunnen de binnenstad niet meer in of uit. Volg de ontwikkelingen in ons liveblog.",Het centrum van Den Haag is vanochtend afgesloten door het leger met vrachtwagens en roadblocks voor de komst <extra_id_0> die demonstreren tegen de stikstofregels. Trams en <extra_id_1> autos <extra_id_2> niet meer in of uit. <extra_id_3> in ons liveblog.,"['van duizenden boeren', 'bussen rijden om,', 'kunnen de binnenstad', 'Volg de ontwikkelingen']",12,25.0,8
worden getest. Dit betekent dat de aantallen een minder goed beeld geven van de verspreiding van het coronavirus dan in de eerste dagen.,worden getest. Dit betekent dat de aantallen een minder goed beeld <extra_id_0> verspreiding van <extra_id_1> in de eerste dagen.,"['geven van de', 'het coronavirus dan']",6,25.0,8
"Is het nou mooi, of lelijk? Of eigenlijk allebei? Journalist en schrijver Mark van Wonderen trekt de regio in op zoek naar plekken die misschien niet het aantrekkelijkst zijn, maar die wel een verhaal vertellen. Vandaag aflevering","Is het nou mooi, <extra_id_0> eigenlijk allebei? <extra_id_1> Mark van Wonderen trekt <extra_id_2> op zoek naar plekken die misschien niet het aantrekkelijkst zijn, maar die wel een verhaal vertellen. Vandaag aflevering","['of lelijk? Of', 'Journalist en schrijver', 'de regio in']",9,25.0,8
 VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever <extra_id_0> lopen wekelijks iemand tegen het lijf. <extra_id_1> ze,"['Robin Nanninga', 'Deze keer kwamen']",5,25.0,8
De transferperiode in Europa kruipt richting het einde en dus regent het nieuwtjes over spelers die nog wisselen van club. Mis de komende weken niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,De transferperiode in Europa kruipt richting het einde en <extra_id_0> nieuwtjes over spelers die nog wisselen van <extra_id_1> komende weken niets van alle geruchten en voltooide transfers in onze <extra_id_2>,"['dus regent het', 'club. Mis de', 'dagelijkse rubriek TransferTalk.']",9,25.0,8
De Britse premier Theresa May stelt de voor morgen geplande stemming over het brexitakkoord in het Lagerhuis op het laatste moment uit.,De Britse premier Theresa <extra_id_0> voor morgen geplande stemming over het brexitakkoord in het <extra_id_1> laatste moment uit.,"['May stelt de', 'Lagerhuis op het']",6,25.0,8
"Nederland zit voorlopig vooral thuis en veel BNers dus ook. Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft",Nederland zit <extra_id_0> en veel BNers dus ook. <extra_id_1> of kijken zij om de dag door te komen? Vandaag geeft,"['voorlopig vooral thuis', 'Wat lezen, luisteren']",6,25.0,8
Als gevolg van een ernstige mishandeling in een woonwijk in Assen is vandaag een man overleden. Vijf omwonenden zijn opgepakt. Volgens de politie waren de vijf op de man afgegaan omdat ze hem verdachten van een zedendelict.,Als gevolg van een ernstige mishandeling in <extra_id_0> Assen is vandaag een man overleden. <extra_id_1> opgepakt. Volgens de politie waren de vijf op de man afgegaan omdat ze hem verdachten <extra_id_2>,"['een woonwijk in', 'Vijf omwonenden zijn', 'van een zedendelict.']",9,25.0,8
"Het eiland Tiengemeten in het Haringvliet was eeuwenlang een agrarisch eldorado. Een gesoleerd thuis ook voor boeren(knechten), dienstbodes, vrijbuiters en weekenders. Totdat het een natuureiland werd en voor de","Het eiland Tiengemeten in het Haringvliet was eeuwenlang een agrarisch eldorado. <extra_id_0> voor boeren(knechten), <extra_id_1> weekenders. Totdat het een natuureiland werd en voor de","['Een gesoleerd thuis ook', 'dienstbodes, vrijbuiters en']",7,25.0,8
BlogVerslaggevers Tim Reedijk en Danil Dwarswaard volgen de voetbalsters van Oranje tijdens het WK in Frankrijk. Dagelijks schrijven ze een blog over wat hen opvalt en bezighoudt. Vandaag:,BlogVerslaggevers Tim Reedijk en Danil Dwarswaard volgen de voetbalsters van Oranje tijdens <extra_id_0> Dagelijks schrijven ze een blog <extra_id_1> opvalt en bezighoudt. Vandaag:,"['het WK in Frankrijk.', 'over wat hen']",7,25.0,8
"Wekelijks worden we bedolven onder de nieuwe films, boeken, muziek, festivals, dvds en games. Tijd om het kaf van het koren te scheiden. Met deze week:","Wekelijks worden we bedolven onder de nieuwe films, boeken, muziek, festivals, dvds en <extra_id_0> het kaf van het koren te scheiden. <extra_id_1>","['games. Tijd om', 'Met deze week:']",6,25.0,8
"Sara, de anderhalf jaar oude dochter van Emine en Bram Verbrugge, heeft de zeldzame spierziekte MDC1A waarvoor geen behandeling bestaat. Vader Bram doet verslag. Vandaag deel","Sara, de anderhalf jaar oude dochter van Emine en Bram Verbrugge, heeft de <extra_id_0> waarvoor geen behandeling <extra_id_1> doet verslag. Vandaag deel","['zeldzame spierziekte MDC1A', 'bestaat. Vader Bram']",6,25.0,8
Miljoenen Nederlanders herontdekken deze maand hun eigen land. Edwin Winkels is een van hen. Hij doet dagelijks verslag. Vandaag deel,Miljoenen Nederlanders herontdekken <extra_id_0> hun eigen land. Edwin Winkels <extra_id_1> hen. Hij doet dagelijks verslag. Vandaag deel,"['deze maand', 'is een van']",5,25.0,8
