Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
. Olga Zuiderhoek en Peter Faber spelen spelletjes in een geraffineerde dialoog van Paul Haenen vol cabaret-effecten en moderne relatiepraat.,. Olga Zuiderhoek en Peter Faber spelen spelletjes in een <extra_id_0> van Paul Haenen <extra_id_1> moderne relatiepraat.,"['geraffineerde dialoog', 'vol cabaret-effecten en']",5,25.0,13
. Ben jij ook op zoek naar een baan en wil je jezelf graag pitchen? Of heb jij misschien de ideale baan voor,. Ben <extra_id_0> zoek naar een baan en wil <extra_id_1> pitchen? Of heb jij misschien de ideale baan voor,"['jij ook op', 'je jezelf graag']",6,25.0,12
. Vrolijke revue met de grootste hits van Irving Berlin in een lichtvoetig biografisch kader en Jon van Eerd als bezienswaardig middelpunt.,<extra_id_0> met de grootste hits van Irving Berlin in een lichtvoetig biografisch kader <extra_id_1> Eerd als bezienswaardig middelpunt.,"['. Vrolijke revue', 'en Jon van']",6,25.0,11
dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke dag op de hoogte van de campagne. Inschrijven voor de nieuwsbrief kan ook.,dagen <extra_id_0> Kamerverkiezingen. De Haagse Stemming houdt je elke dag op de <extra_id_1> campagne. Inschrijven voor de nieuwsbrief kan ook.,"['zijn er Tweede', 'hoogte van de']",6,25.0,11
". Pijnlijke grappen in het rookkamertje van een ziekenhuis, door Rik Hoogendoorn en Bruun Kuijt (Echte Mannen).",. Pijnlijke grappen in het rookkamertje van <extra_id_0> Hoogendoorn en Bruun Kuijt (Echte Mannen).,"['een ziekenhuis, door Rik']",4,25.0,11
". Vera Mann schittert in een eenpersoonsmusical over de verongelukte prinses, al hadden de liedjes puntiger gekund.",". Vera Mann schittert <extra_id_0> de verongelukte prinses, al hadden de liedjes puntiger gekund.",['in een eenpersoonsmusical over'],4,25.0,11
"van de Olympische Spelen, net als op alle andere wedstrijddagen, een live fotoblog bij waarin we de mooiste foto's uit Londen selecteren.","van de Olympische Spelen, net als op alle andere wedstrijddagen, een <extra_id_0> waarin we de <extra_id_1> Londen selecteren.","['live fotoblog bij', ""mooiste foto's uit""]",6,25.0,11
- NRC Kunst op reis Waar leefden kunstenaars? Op reis naar de plekken waar zij hun stempel drukten. Deze week,- NRC Kunst <extra_id_0> Waar <extra_id_1> reis naar de plekken waar zij hun stempel drukten. Deze week,"['op reis', 'leefden kunstenaars? Op']",5,25.0,11
Deze rubriek belicht elke woensdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Deze week:,Deze rubriek belicht elke woensdag kwesties uit het bedrijfsleven waarover de rechter <extra_id_0> week:,['zich onlangs uitsprak. Deze'],4,25.0,11
. Dat blijkt uit cijfers die het Centraal Bureau voor de Statistiek (CBS) vandaag heeft gepubliceerd.,. Dat <extra_id_0> het Centraal Bureau voor de Statistiek (CBS) vandaag heeft gepubliceerd.,['blijkt uit cijfers die'],4,25.0,10
"De hele maand mei woont en werkt Arnon Grunberg in het Stedelijk Museum Amsterdam, met een groep kunstenaars. Hij schrijft daar dagelijks over.","De hele maand mei woont <extra_id_0> Grunberg in <extra_id_1> Amsterdam, met een groep kunstenaars. Hij schrijft daar dagelijks over.","['en werkt Arnon', 'het Stedelijk Museum']",6,25.0,10
"Pieter Steinz heeft ALS, een zeldzame neurologische ziekte waarbij je in toenemend tempo verlamd raakt. In deze serie verbindt hij het verloop van zijn ziekte met de boeken die hij (her)leest. Vandaag:","Pieter Steinz heeft ALS, een zeldzame neurologische ziekte waarbij je <extra_id_0> verlamd raakt. In deze serie verbindt hij het <extra_id_1> ziekte met <extra_id_2> die hij (her)leest. Vandaag:","['in toenemend tempo', 'verloop van zijn', 'de boeken']",8,25.0,10
Redacteur Merlijn Kerkhof (28) laat iedere dinsdag zien wat de schoonheid van klassieke muziek is. Vandaag:,Redacteur Merlijn Kerkhof (28) laat iedere dinsdag zien <extra_id_0> klassieke muziek is. Vandaag:,['wat de schoonheid van'],4,25.0,10
Tijdens de zomermaanden gaat de Achterpagina op zoek naar zinnige en onzinnige vakantiefabels. Vandaag:,Tijdens de zomermaanden gaat de Achterpagina <extra_id_0> en onzinnige vakantiefabels. Vandaag:,['op zoek naar zinnige'],4,25.0,10
". Justin Sullivan/Getty Images/AFP == FOR NEWSPAPERS, INTERNET, TELCOS & TELEVISION USE ONLY == AFP","<extra_id_0> == FOR NEWSPAPERS, INTERNET, TELCOS & TELEVISION USE ONLY == AFP",['. Justin Sullivan/Getty Images/AFP'],4,25.0,10
dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke ochtend op de hoogte van de campagne. Inschrijven voor de nieuwsbrief kan ook.,dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming <extra_id_0> ochtend op de hoogte van de campagne. Inschrijven voor <extra_id_1> ook.,"['houdt je elke', 'de nieuwsbrief kan']",6,25.0,10
1. e2-e4 c7-c5 2. Pg1-f3 Pb8-c6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. Pb1-c3 d7-d6 6. Lc1-g5 e7-e6 7. Dd1-d2,1. e2-e4 c7-c5 2. Pg1-f3 Pb8-c6 3. <extra_id_0> 4. Pf3xd4 Pg8-f6 <extra_id_1> 6. Lc1-g5 e7-e6 7. Dd1-d2,"['d2-d4 c5xd4', '5. Pb1-c3 d7-d6']",5,25.0,10
". Indrukwekkend spelende Anne-Wil Blankers tiranniseert haar zeven dochters in grimmig, erotisch geladen drama van het Nationale Toneel.","<extra_id_0> Blankers tiranniseert haar zeven dochters in grimmig, erotisch geladen drama van het Nationale Toneel.",['. Indrukwekkend spelende Anne-Wil'],4,25.0,10
". Hans Liberg verbindt muziek uit alle tijden en windstreken aan een spervuur van grappen, en speelt ook op verzoek.",". Hans Liberg verbindt muziek uit alle <extra_id_0> windstreken aan een spervuur van grappen, en speelt <extra_id_1>","['tijden en', 'ook op verzoek.']",5,25.0,10
- NRC De laatste bladzijde In deze rubriek elk weekeinde een necrologie van iemand die recent is overleden.,- NRC De laatste bladzijde In deze rubriek elk weekeinde een necrologie van <extra_id_0> overleden.,['iemand die recent is'],4,25.0,10
". Die ene leraar die je interesse wekte, de eerste baas die je de kneepjes van het vak bijbracht of de wijsgeer die je inspireerde met zijn boeken. Elke carrire kent wel zon leermeester (m/v). Voor",". Die <extra_id_0> je interesse wekte, de eerste baas die je de kneepjes van het vak bijbracht of de <extra_id_1> inspireerde met zijn boeken. Elke carrire <extra_id_2> leermeester (m/v). Voor","['ene leraar die', 'wijsgeer die je', 'kent wel zon']",9,25.0,10
". Veelzijdige cabaret-solo van Lenette van Dongen over de keus tussen vrije expressie en de dwang van de discipline, trefzeker opgedist in confrences, verhalen en liedjes.",. Veelzijdige cabaret-solo van Lenette van Dongen over de keus tussen vrije expressie en de dwang van de <extra_id_0> in <extra_id_1> liedjes.,"['discipline, trefzeker opgedist', 'confrences, verhalen en']",6,25.0,10
". MARION In zijn liefdevolle derde speelfilm portretteert Manuel Poirier een gewoon meisje dat erachter moet komen dat ze een gewoon meisje is. De tienjarige Marion woont met haar ouders in een eenvoudige gemeenschap op het Normandische platteland en steelt het hart van een deftig echtpaar uit Parijs, dat haar een betere toekomst in de grote stad belooft. Gesteund door een sterk gecomponeerd scenario en met een geduldig gevoel voor het absurde, ontvouwt Poirier een spel van toevalligheden en manipulaties.",. MARION In zijn liefdevolle derde <extra_id_0> Poirier een gewoon meisje dat erachter moet komen <extra_id_1> gewoon meisje is. De tienjarige Marion woont met haar ouders in een eenvoudige gemeenschap op <extra_id_2> en steelt het hart van een deftig echtpaar uit <extra_id_3> een betere toekomst in de grote stad belooft. Gesteund door <extra_id_4> gecomponeerd scenario <extra_id_5> geduldig gevoel voor het <extra_id_6> een spel van toevalligheden en manipulaties.,"['speelfilm portretteert Manuel', 'dat ze een', 'het Normandische platteland', 'Parijs, dat haar', 'een sterk', 'en met een', 'absurde, ontvouwt Poirier']",20,25.0,10
"Fotograaf Kadir van Lohuizen (1963) reist in veertig weken van het zuiden van Vuurland, over de Pan-American Highway, naar Alaska. Hij bezoekt de vele migranten die langs de route leven en werken. Deel","Fotograaf Kadir van Lohuizen (1963) reist in veertig weken van <extra_id_0> Vuurland, over de Pan-American Highway, naar <extra_id_1> bezoekt de vele <extra_id_2> de route leven en werken. Deel","['het zuiden van', 'Alaska. Hij', 'migranten die langs']",8,25.0,9
" Tot 8 november voelt NRC in Kort Amerikaans iedere dag een kiezer aan de tand. Van Latino tot Afro-Amerikaan, van jong tot oud, wie kiezen de Amerikanen tot president?","Tot 8 november voelt NRC in Kort Amerikaans iedere <extra_id_0> de tand. Van Latino tot Afro-Amerikaan, van <extra_id_1> wie kiezen de Amerikanen tot president?","['dag een kiezer aan', 'jong tot oud,']",7,25.0,9
- NRC Ophef Iedere week bespreekt de redactie wetenschap hier ophef in de wetenschap. Deze week: een,- NRC <extra_id_0> de redactie wetenschap hier ophef in de wetenschap. Deze week: een,['Ophef Iedere week bespreekt'],4,25.0,9
"? In de rubriek De Wrap bespreken we wekelijks trends, recepten, restaurants en al het andere wat voedsel en drankjes zo smakelijk kan maken.","? In de rubriek De Wrap bespreken <extra_id_0> recepten, restaurants en al het andere <extra_id_1> drankjes zo smakelijk kan maken.","['we wekelijks trends,', 'wat voedsel en']",6,25.0,9
. GRIDLOCK'D Verbazend genuanceerd en realistisch regiedebuut van zwarte acteur Vondie Curtis Hall maakt zelfs van de kort na de opnamen vermoorde gangstarapper Tupac Shakur een sympathiek personage. In verkommerd Detroit zoekt Shakur met neurotische junkie Tim Roth naar door bureaucratische hindernissen belemmerde medische hulp voor aan overdosis bezweken vriendin.,. <extra_id_0> en <extra_id_1> zwarte acteur Vondie Curtis <extra_id_2> van de kort na de opnamen vermoorde gangstarapper Tupac Shakur een sympathiek personage. In verkommerd Detroit zoekt Shakur met neurotische junkie Tim Roth naar door bureaucratische hindernissen belemmerde medische hulp voor aan <extra_id_3>,"[""GRIDLOCK'D Verbazend genuanceerd"", 'realistisch regiedebuut van', 'Hall maakt zelfs', 'overdosis bezweken vriendin.']",12,25.0,9
". Engelse musical over de rock-carrire van Buddy Holly, waarin de vrolijke muziek de boventoon voert.","<extra_id_0> de rock-carrire van Buddy Holly, waarin de vrolijke muziek de boventoon voert.",['. Engelse musical over'],4,25.0,9
" Op de plaats van de rubriek Jong! deze zomer elke week de rubriek Oud! waarin ouderen vertellen over zichzelf, hun liefdes en de lessen van het leven. Deze week:","Op de plaats van de rubriek Jong! deze zomer elke week de rubriek <extra_id_0> over zichzelf, hun <extra_id_1> lessen van het leven. Deze week:","['Oud! waarin ouderen vertellen', 'liefdes en de']",7,25.0,9
Bert Pol is verbonden aan de afdeling Communicatiewetenschap van de Universiteit Twente en vennoot van Tabula Rasa Den Haag.,Bert Pol is verbonden aan <extra_id_0> van <extra_id_1> Twente en vennoot van Tabula Rasa Den Haag.,"['de afdeling Communicatiewetenschap', 'de Universiteit']",5,25.0,9
"- NRC Pieter Steinz heeft ALS, een zeldzame neurologische ziekte waarbij je in toenemend tempo verlamd raakt. In deze serie verbindt hij het verloop van zijn ziekte met de boeken die hij (her)leest. Vandaag:","- NRC Pieter Steinz heeft ALS, een zeldzame neurologische <extra_id_0> in toenemend tempo verlamd raakt. In deze serie verbindt hij het verloop <extra_id_1> met de <extra_id_2> hij (her)leest. Vandaag:","['ziekte waarbij je', 'van zijn ziekte', 'boeken die']",8,25.0,9
 - NRC Dit ben ik Iedereen heeft verschillende identiteiten. Hoe worden we wie we zijn? Deze week:,- NRC Dit ben <extra_id_0> identiteiten. Hoe worden we wie we zijn? Deze week:,['ik Iedereen heeft verschillende'],4,25.0,9
"De volkse Resedabuurt en de gegoede Gaspeldoornbuurt in Eindhoven zijn elkaars buren. Buurten met zulke grote inkomensverschillen, pal naast elkaar  dat komt in het opgedeelde Nederland anno 2012 nog maar zelden voor. Waarin verschillen ze? Wat hebben ze gemeen? Verslaggevers Sheila Kamerman en Dick Wittenberg vroegen het aan de mensen die er wonen. Aflevering",De volkse Resedabuurt en de gegoede Gaspeldoornbuurt in Eindhoven <extra_id_0> Buurten met zulke <extra_id_1> naast elkaar dat komt in het opgedeelde <extra_id_2> nog maar zelden voor. Waarin verschillen ze? Wat hebben ze gemeen? <extra_id_3> en Dick Wittenberg <extra_id_4> aan de mensen die er wonen. Aflevering,"['zijn elkaars buren.', 'grote inkomensverschillen, pal', 'Nederland anno 2012', 'Verslaggevers Sheila Kamerman', 'vroegen het']",14,25.0,9
"; De waker, de slaper & de dromer Youp van 't Hek, grof en potisch tegelijk, over de verburgerlijking van een groep studenten die had gezworen nooit in de rat race verzeild te zullen raken.","; De waker, de slaper & de dromer Youp <extra_id_0> grof en potisch tegelijk, over de verburgerlijking van een groep <extra_id_1> gezworen nooit <extra_id_2> race verzeild te zullen raken.","[""van 't Hek,"", 'studenten die had', 'in de rat']",9,25.0,9
"Cijfers over de wereldeconomie zijn er dagelijks. Het verhaal daar achter vertellen onze correspondenten, elke",Cijfers over de wereldeconomie zijn er dagelijks. Het verhaal daar achter <extra_id_0>,"['vertellen onze correspondenten, elke']",4,25.0,9
is genoemd in het webnieuws in de afgelopen week. De grafiek wordt meerdere malen per dag geupdate. U kunt klikken op alle gekleurde onderdelen van de grafiek om een overzicht te zien van de artikelen en om door te klikken naar het oorspronkelijke artikel. Themas,is genoemd in het webnieuws in de afgelopen week. De grafiek wordt meerdere malen per dag geupdate. <extra_id_0> op alle gekleurde onderdelen <extra_id_1> grafiek om een overzicht te zien van de artikelen <extra_id_2> te klikken <extra_id_3> artikel. Themas,"['U kunt klikken', 'van de', 'en om door', 'naar het oorspronkelijke']",11,25.0,9
"uur. Beeldend kunstenaar Jan DIBBETS (1941) start op het strand de Slufter nabij Maasvlakte 2 het eerste "" Portscapes-project "". De "" remake "" van zijn 40 jaar geleden opgenomen film "" 12 hours Tide Object with Correction of Perspective "". Een shovel tekent op het strand een figuur uit, die op televisiebeeld als een rechthoek wordt ervaren door de perspectivische vertekening. De opkomende vloed wist het figuur weer uit. Vincent Mentzel Zondagmorgen 0","uur. Beeldend kunstenaar Jan DIBBETS (1941) start <extra_id_0> de Slufter nabij Maasvlakte 2 het eerste "" Portscapes-project "". De "" remake "" van zijn 40 jaar geleden opgenomen film "" 12 hours <extra_id_1> Correction of Perspective <extra_id_2> tekent op het strand een figuur uit, die op televisiebeeld als een <extra_id_3> door de perspectivische <extra_id_4> vloed wist het <extra_id_5> Vincent Mentzel Zondagmorgen 0","['op het strand', 'Tide Object with', '"". Een shovel', 'rechthoek wordt ervaren', 'vertekening. De opkomende', 'figuur weer uit.']",18,25.0,9
. Ellen Vogel en Roos Ouwehand houden elkaar mooi in evenwicht in een stuk van Donald Margulies over een jonge schrijfster die in de leer wil bij haar grote voorbeeld.,. Ellen Vogel en Roos Ouwehand houden <extra_id_0> evenwicht in een <extra_id_1> Donald Margulies over een jonge <extra_id_2> de leer wil bij haar grote voorbeeld.,"['elkaar mooi in', 'stuk van', 'schrijfster die in']",8,25.0,8
kenniscentrum Raam op Rusland. Hij schrijft om de week met redacteur geopolitiek Michel Kerres over de kantelende wereldorde.,kenniscentrum Raam op Rusland. Hij <extra_id_0> met redacteur geopolitiek Michel Kerres over de kantelende wereldorde.,['schrijft om de week'],4,25.0,8
". THINGS TO DO IN DENVER WHEN YOU'RE DEAD Kleine schoonheidsfoutjes mogen de pret niet drukken in Gary Fleders debuut over een ontwapenende ex-gangster die na een mislukte opdracht-om-het-af-te-leren zijn dood krijgt aangezegd. Andy Garcia, Christopher Walken en Christopher Lloyd schitteren in een tarantineske misdaadkomedie met melancholieke ondertoon.",". THINGS TO DO IN DENVER WHEN YOU'RE DEAD Kleine schoonheidsfoutjes mogen de pret niet drukken in Gary <extra_id_0> een ontwapenende <extra_id_1> een mislukte opdracht-om-het-af-te-leren zijn dood krijgt aangezegd. Andy Garcia, <extra_id_2> Christopher Lloyd schitteren <extra_id_3> misdaadkomedie met melancholieke ondertoon.","['Fleders debuut over', 'ex-gangster die na', 'Christopher Walken en', 'in een tarantineske']",12,25.0,8
Foto uitsluitend vrij van rechten voor redactioneel gebruik ter promotie van het programma tot 1 maand na uitzending. Commercieel gebruik verboden. SBS,Foto uitsluitend vrij van <extra_id_0> gebruik ter promotie van het programma tot 1 <extra_id_1> Commercieel gebruik verboden. SBS,"['rechten voor redactioneel', 'maand na uitzending.']",6,25.0,8
. Martijn Katan is biochemicus en emeritus hoogleraar voedingsleer aan de Vrije Universiteit Amsterdam.,. Martijn Katan is <extra_id_0> voedingsleer aan de Vrije Universiteit Amsterdam.,['biochemicus en emeritus hoogleraar'],4,25.0,8
"Nederland telt eindeloos veel subsidieregelingen, fondsen en potjes ter ondersteuning van bijzondere projecten. Vandaag:","Nederland telt eindeloos veel subsidieregelingen, fondsen en potjes ter ondersteuning <extra_id_0>",['van bijzondere projecten. Vandaag:'],4,25.0,8
mensen overleden aan de gevolgen van het coronavirus. Volg hier het laatste nieuws rond de pandemie. Dit blog over de belangrijkste ontwikkelingen rond het coronavirus op,mensen overleden aan de gevolgen van het coronavirus. <extra_id_0> laatste nieuws rond de pandemie. Dit blog over de belangrijkste ontwikkelingen rond <extra_id_1>,"['Volg hier het', 'het coronavirus op']",6,25.0,8
"Als er geen paard meer te vinden is binnen de partij, komt er een Gronings paard om aan te spannen.","Als er geen paard meer te vinden is binnen de partij, komt er <extra_id_0> paard <extra_id_1> spannen.","['een Gronings', 'om aan te']",5,25.0,8
"vandaag in NRC Boeken Vandaag in de Boekenbijlage, die wekelijks op vrijdag in het hart van NRC Handelsblad verschijnt:","vandaag in NRC <extra_id_0> de Boekenbijlage, die wekelijks op vrijdag in het hart van <extra_id_1> verschijnt:","['Boeken Vandaag in', 'NRC Handelsblad']",5,25.0,8
Een gebergte in de Nederlandse literatuur is het oeuvre van S. Vestdijk wel genoemd. Van zijn tweenvijftig romans horen er heel wat tot de pieken in dat gebergte. H.Br. Corstius en Maarten 't Hart herlezen er ieder zesentwintig en doen om beurten verslag van hun ervaring. Vandaag:,Een gebergte in de Nederlandse literatuur is het oeuvre van S. Vestdijk wel genoemd. Van zijn tweenvijftig romans horen er heel wat tot de pieken in <extra_id_0> Corstius en Maarten <extra_id_1> er ieder zesentwintig <extra_id_2> beurten <extra_id_3> ervaring. Vandaag:,"['dat gebergte. H.Br.', ""'t Hart herlezen"", 'en doen om', 'verslag van hun']",12,25.0,8
fatsoenlijke Amerikaanse arts die in Parijs zijn spoorloos verdwenen vrouw zoekt en zich geconfronteerd ziet met xenofobie en terreur.,<extra_id_0> die in Parijs zijn spoorloos verdwenen vrouw zoekt en zich geconfronteerd ziet met xenofobie <extra_id_1>,"['fatsoenlijke Amerikaanse arts', 'en terreur.']",5,25.0,8
De Amsterdamse wijk Slotervaart weerspiegelt de culturele verschillen van het moderne Nederland. Twee keer per week bericht deze krant over het gewone leven in de,De Amsterdamse wijk Slotervaart weerspiegelt de culturele verschillen van het moderne Nederland. Twee <extra_id_0> bericht deze krant over <extra_id_1> in de,"['keer per week', 'het gewone leven']",6,25.0,8
en Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,en <extra_id_0> dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,['Deze rubriek belicht elke'],4,25.0,8
"Driekwart van de Nederlandse beroepsbevolking behoort tot de wereldelite, de rest is ziek of arbeidsongeschikt. Om dat te verbeteren verdienen ook arbeidsomstandigheden meer aandacht. Aflevering","Driekwart van de Nederlandse <extra_id_0> de wereldelite, de rest is ziek of arbeidsongeschikt. Om dat <extra_id_1> ook arbeidsomstandigheden meer aandacht. Aflevering","['beroepsbevolking behoort tot', 'te verbeteren verdienen']",6,25.0,8
1. e2-e4 e7-e5 2. Pg1-f3 Pb8-c6 3. Lf1-b5 a7-a6 4. Lb5-a4 Pg8-f6 5. 0-0 Lf8-e7 6. Tf1-e1 b7-b5 7. La4-b3 0-0 8.,1. e2-e4 e7-e5 2. <extra_id_0> Lf1-b5 <extra_id_1> Pg8-f6 5. 0-0 Lf8-e7 6. Tf1-e1 b7-b5 7. La4-b3 0-0 8.,"['Pg1-f3 Pb8-c6 3.', 'a7-a6 4. Lb5-a4']",6,25.0,8
; op deze pagina een selectie uit de fotos die tot nu toe binnen zijn gekomen. Deelnemen kan tot,; op deze <extra_id_0> uit de fotos die tot <extra_id_1> binnen zijn gekomen. Deelnemen kan tot,"['pagina een selectie', 'nu toe']",5,25.0,8
Schrijver Arnon Grunberg leeft veertien dagen dag en nacht in de gesloten jeugdinstelling De Koppeling in Amsterdam. Hij schrijft elke dag over het leven daar. Deel,Schrijver <extra_id_0> veertien dagen <extra_id_1> in de gesloten jeugdinstelling De Koppeling in Amsterdam. Hij schrijft elke dag over het leven daar. Deel,"['Arnon Grunberg leeft', 'dag en nacht']",6,25.0,8
"t Say a Word (Gary Fleder, 2001, VS). Psychiater Michael Douglas dient, om zijn door Sean Bean ontvoerde dochter te redden,","t Say a Word (Gary Fleder, 2001, VS). Psychiater Michael Douglas dient, om zijn door <extra_id_0> dochter <extra_id_1>","['Sean Bean ontvoerde', 'te redden,']",5,25.0,8
Redacteur Margot Poll signaleert welke boeken er ook nog zijn verschenen en kiest er steeds zes om kort te bespreken. Deze week,Redacteur Margot Poll signaleert welke boeken er <extra_id_0> verschenen en kiest er steeds <extra_id_1> te bespreken. Deze week,"['ook nog zijn', 'zes om kort']",6,25.0,8
"Down Periscope (David S. Ward, 1996, VS). Onderbroekenlol op een onderzeer vertoont verwantschap met","Down Periscope (David S. Ward, 1996, VS). Onderbroekenlol op een <extra_id_0>",['onderzeer vertoont verwantschap met'],4,25.0,8
"s. Michael J. Fox komt zijn ouders, kinderen en zichzelf tegen wanneer hij, met behulp van de tijdmachine van Christopher Lloyd, zowel in 2015 als in 1955 de vloek op zijn familie probeert te corrigeren.","s. Michael J. Fox komt zijn ouders, kinderen en zichzelf tegen wanneer hij, met <extra_id_0> tijdmachine van Christopher Lloyd, zowel in <extra_id_1> 1955 de vloek op <extra_id_2> te corrigeren.","['behulp van de', '2015 als in', 'zijn familie probeert']",9,25.0,8
. Reageren? Nuanceren en argumenteren verplicht. Volledige naamsvermelding. Geplaatst in: Strafrecht,. Reageren? Nuanceren en argumenteren <extra_id_0> Geplaatst in: Strafrecht,['verplicht. Volledige naamsvermelding.'],3,25.0,8
de Europese Unie. Volg in dit blog de laatste ontwikkelingen over de echtscheiding tussen het VK en de EU.,<extra_id_0> Volg in dit blog de laatste ontwikkelingen over de echtscheiding tussen het VK en <extra_id_1>,"['de Europese Unie.', 'de EU.']",5,25.0,8
. In het Commentaar geeft NRC zijn mening over belangrijke nieuwsfeiten. De commentatoren schrijven deze artikelen in samenspraak met de hoofdredactie.,. In het Commentaar geeft NRC zijn mening over belangrijke <extra_id_0> commentatoren schrijven deze artikelen in <extra_id_1> hoofdredactie.,"['nieuwsfeiten. De', 'samenspraak met de']",5,25.0,8
". SCHEIDSLIJN Ton Wiggers, artistiek leider van Introdans in Arnhem heeft met zijn nieuw ballet 'Scheidslijn' voor een regelrechte verrassing gezorgd. Buiten krachtige mannendansen zijn er twee ontroerende solo's voor Hilde Machtelinckx en Mirjam Diedrich. Van Diedrich is er ook een nieuw, vlot lopend werk 'Mijmering'.",". SCHEIDSLIJN Ton Wiggers, artistiek leider van Introdans in Arnhem heeft met zijn nieuw ballet 'Scheidslijn' voor een regelrechte verrassing gezorgd. Buiten krachtige mannendansen zijn <extra_id_0> solo's voor Hilde Machtelinckx <extra_id_1> Van Diedrich is er <extra_id_2> vlot <extra_id_3>","['er twee ontroerende', 'en Mirjam Diedrich.', 'ook een nieuw,', ""lopend werk 'Mijmering'.""]",12,25.0,8
1. e2-e4 c7-c5 2. Pg1-f3 d7-d6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. Pb1-c3 a7-a6 6. Lc1-g5 e7-e6 7. f2-f4,1. e2-e4 c7-c5 2. Pg1-f3 d7-d6 3. <extra_id_0> 4. Pf3xd4 Pg8-f6 5. <extra_id_1> Lc1-g5 e7-e6 7. f2-f4,"['d2-d4 c5xd4', 'Pb1-c3 a7-a6 6.']",5,25.0,8
