Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq14-0,small,(1) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),(1) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) <extra_id_0> (13008) EU (11888) Jaarverslag (11247),(1) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Investingen (13008) EU (11888) Jaarverslag (11247),['Omzetcijfers (13588) Arbeidsmarkt'],['Investingen'],3,7,[0.9090909090909091],0.91
seq15-0,small,g | Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,g | Het Financieele <extra_id_0> gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,g | Het Financieele het gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,['Dagblad FD.nl maakt'],['het'],3,7,[0.9473684210526315],0.95
seq16-0,small,) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14598) Verenigde Staten (13861) Omzetcijfers (13488) Arbeidsmarkt (12979) EU (11793) Jaarverslag (11240),<extra_id_0> (27514) Multinationals (18118) Investeringen (16523) Aandelen (14598) Verenigde Staten (13861) Omzetcijfers (13488) Arbeidsmarkt (12979) EU (11793) Jaarverslag (11240),) Investeringen (27514) Multinationals (18118) Investeringen (16523) Aandelen (14598) Verenigde Staten (13861) Omzetcijfers (13488) Arbeidsmarkt (12979) EU (11793) Jaarverslag (11240),[') Internationale economie'],[') Investeringen'],3,7,[0.64],0.64
seq17-0,small,"Lees meer in FD Persoonlijk , het weekend magazine van Het Financieele Dagblad over ... mensen, cultuur, lifestyle, reizen, carrire en personal finance.","Lees meer in FD Persoonlijk , het weekend magazine van Het Financieele Dagblad over ... mensen, cultuur, lifestyle, reizen, <extra_id_0> finance.","Lees meer in FD Persoonlijk , het weekend magazine van Het Financieele Dagblad over ... mensen, cultuur, lifestyle, reizen, het finance.",['carrire en personal'],['het'],3,7,[0.9473684210526315],0.95
seq18-0,small,) Internationale economie (27514) Multinationals (18100) Investeringen (16357) Aandelen (14416) Verenigde Staten (13847) Omzetcijfers (13453) Arbeidsmarkt (12910) EU (1162,) Internationale economie <extra_id_0> Investeringen (16357) Aandelen (14416) Verenigde Staten (13847) Omzetcijfers (13453) Arbeidsmarkt (12910) EU (1162,) Internationale economie s (13453) Investeringen (16357) Aandelen (14416) Verenigde Staten (13847) Omzetcijfers (13453) Arbeidsmarkt (12910) EU (1162,['(27514) Multinationals (18100)'],['s (13453)'],3,6,[0.8333333333333334],0.83
seq19-0,small,(1) Internationale economie (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU (11762) Jaarverslag (11238),<extra_id_0> (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU (11762) Jaarverslag (11238),) Investeringen (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU (11762) Jaarverslag (11238),['(1) Internationale economie'],[') Investeringen'],3,6,[0.6666666666666666],0.67
seq20-0,small,e serie 'Coronakronieken' vertellen mensen over de impact van corona op hun professionele en persoonlijke leven. Vandaag:,e serie 'Coronakronieken' vertellen mensen over de impact van corona op hun <extra_id_0> leven. Vandaag:,e serie 'Coronakronieken' vertellen mensen over de impact van corona op hun een leven. Vandaag:,['professionele en persoonlijke'],['een'],3,6,[0.896551724137931],0.9
seq21-0,small,(1) Internationale economie (27514) Multinationals (18103) Investeringen (16376) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12923) EU (11642) Jaarverslag (11233),(1) Internationale <extra_id_0> (18103) Investeringen (16376) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12923) EU (11642) Jaarverslag (11233),(1) Internationale s (18103) Investeringen (16376) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12923) EU (11642) Jaarverslag (11233),['economie (27514) Multinationals'],['s'],3,6,[0.967741935483871],0.97
seq22-0,small,) Internationale economie (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU (11762) Jaarverslag (11238),) Internationale economie (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU <extra_id_0>,) Internationale economie (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU,['(11762) Jaarverslag (11238)'],[''],3,6,[1.0],1.0
seq23-0,small,20 Annemiek Leclaire Welk gesprek zette je aan het denken of in beweging? Welke conversatie had grote invloed? In de serie Het gesprek van je leven vraagt journalist Annemiek Leclaire mensen naar dat gesprek. In deze,20 Annemiek Leclaire Welk gesprek zette je aan het denken of in beweging? Welke conversatie had grote invloed? In de serie Het gesprek van <extra_id_0> Annemiek Leclaire mensen naar dat gesprek. In deze,20 Annemiek Leclaire Welk gesprek zette je aan het denken of in beweging? Welke conversatie had grote invloed? In de serie Het gesprek van 20 Annemiek Leclaire mensen naar dat gesprek. In deze,['je leven vraagt journalist'],['20'],5,6,[1.0],1.0
seq24-0,small,gen (1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),gen <extra_id_0> (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),gen a (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['(1) Internationale economie'],['a'],3,6,[0.9629629629629629],0.96
seq25-0,small, Iedere week bespreekt FD Persoonlijk een woning die op zoek is naar een nieuwe eigenaar. Deze week een,Iedere week bespreekt FD Persoonlijk een woning die op zoek is naar <extra_id_0> Deze week een,Iedere week bespreekt FD Persoonlijk een woning die op zoek is naar FD Deze week een,['een nieuwe eigenaar.'],['FD'],3,6,[1.0],1.0
seq26-0,small,) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14715) Verenigde Staten (13862) Omzetcijfers (13596) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie <extra_id_0> Investeringen (16629) Aandelen (14715) Verenigde Staten (13862) Omzetcijfers (13596) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie s (14715) Investeringen (16629) Aandelen (14715) Verenigde Staten (13862) Omzetcijfers (13596) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),['(27514) Multinationals (18134)'],['s (14715)'],3,6,[0.8333333333333334],0.83
seq27-0,small,) Internationale economie (27514) Multinationals (18134) Investeringen (16634) Aandelen (14723) Verenigde Staten (13862) Omzetcijfers (13,) Internationale economie (27514) <extra_id_0> Investeringen (16634) Aandelen (14723) Verenigde Staten (13862) Omzetcijfers (13,) Internationale economie (27514) Internationale Wirtschaft (27514) Investeringen (16634) Aandelen (14723) Verenigde Staten (13862) Omzetcijfers (13,['Multinationals (18134)'],['Internationale Wirtschaft (27514)'],2,6,[0.6060606060606061],0.61
seq28-0,small,u graag via ons gratis telefoonnummer 0800 666 6667 (ma t/m vrij 07.30  18.00 / za 07.30 - 11.30).,u <extra_id_0> gratis telefoonnummer 0800 666 6667 (ma t/m vrij 07.30 18.00 / za 07.30 - 11.30).,u vrij gratis telefoonnummer 0800 666 6667 (ma t/m vrij 07.30 18.00 / za 07.30 - 11.30).,['graag via ons'],['vrij'],3,6,[0.8461538461538461],0.85
