Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq10-0,large,en | Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,en | Het Financieele Dagblad FD.nl maakt gebruik van cookies om <extra_id_0> het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,en | Het Financieele Dagblad FD.nl maakt gebruik van cookies om op het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,['de website en'],['op'],3,8,[1.0],1.0
seq11-0,large,) FD Persoonlijk (1) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) FD Persoonlijk (1) Internationale economie (27514) <extra_id_0> Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) FD Persoonlijk (1) Internationale economie (27514) De Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),['Multinationals (18103) Investeringen (16375)'],['De'],4,8,[0.9772727272727273],0.98
seq12-0,large,Welk gesprek zette je aan het denken of in beweging? In de serie Het gesprek van je leven deze keer,Welk gesprek zette je aan het denken of in beweging? In de serie Het gesprek van je <extra_id_0>,Welk gesprek zette je aan het denken of in beweging? In de serie Het gesprek van je denken.,['leven deze keer'],['denken.'],3,7,[0.7333333333333333],0.73
seq13-0,large,) Internationale economie (27514) Multinationals (18114) Investeringen (16493) Aandelen (14560) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12968) EU (11755) Jaarverslag (11238),) Internationale economie (27514) Multinationals (18114) <extra_id_0> (14560) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12968) EU (11755) Jaarverslag (11238),) Internationale economie (27514) Multinationals (18114) Industrie (14560) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12968) EU (11755) Jaarverslag (11238),['Investeringen (16493) Aandelen'],['Industrie'],3,7,[0.7666666666666667],0.77
seq14-0,large,(1) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),(1) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) <extra_id_0> (13008) EU (11888) Jaarverslag (11247),(1) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Industrie (13008) EU (11888) Jaarverslag (11247),['Omzetcijfers (13588) Arbeidsmarkt'],['Industrie'],3,7,[0.9090909090909091],0.91
seq15-0,large,g | Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,g | Het Financieele <extra_id_0> gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,g | Het Financieele werkt met de gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,['Dagblad FD.nl maakt'],['werkt met de'],3,7,[0.8947368421052632],0.89
seq16-0,large,) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14598) Verenigde Staten (13861) Omzetcijfers (13488) Arbeidsmarkt (12979) EU (11793) Jaarverslag (11240),<extra_id_0> (27514) Multinationals (18118) Investeringen (16523) Aandelen (14598) Verenigde Staten (13861) Omzetcijfers (13488) Arbeidsmarkt (12979) EU (11793) Jaarverslag (11240),Industrie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14598) Verenigde Staten (13861) Omzetcijfers (13488) Arbeidsmarkt (12979) EU (11793) Jaarverslag (11240),[') Internationale economie'],['Industrie'],3,7,[0.8],0.8
seq17-0,large,"Lees meer in FD Persoonlijk , het weekend magazine van Het Financieele Dagblad over ... mensen, cultuur, lifestyle, reizen, carrire en personal finance.","Lees meer in FD Persoonlijk , het weekend magazine van Het Financieele Dagblad over ... mensen, cultuur, lifestyle, reizen, <extra_id_0> finance.","Lees meer in FD Persoonlijk , het weekend magazine van Het Financieele Dagblad over ... mensen, cultuur, lifestyle, reizen, en finance.",['carrire en personal'],['en'],3,7,[0.8947368421052632],0.89
seq18-0,large,) Internationale economie (27514) Multinationals (18100) Investeringen (16357) Aandelen (14416) Verenigde Staten (13847) Omzetcijfers (13453) Arbeidsmarkt (12910) EU (1162,) Internationale economie <extra_id_0> Investeringen (16357) Aandelen (14416) Verenigde Staten (13847) Omzetcijfers (13453) Arbeidsmarkt (12910) EU (1162,) Internationale economie (1162) Investeringen (16357) Aandelen (14416) Verenigde Staten (13847) Omzetcijfers (13453) Arbeidsmarkt (12910) EU (1162,['(27514) Multinationals (18100)'],['(1162)'],3,6,[0.8666666666666667],0.87
seq19-0,large,(1) Internationale economie (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU (11762) Jaarverslag (11238),<extra_id_0> (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU (11762) Jaarverslag (11238),Industrie (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU (11762) Jaarverslag (11238),['(1) Internationale economie'],['Industrie'],3,6,[0.8148148148148148],0.81
seq20-0,large,e serie 'Coronakronieken' vertellen mensen over de impact van corona op hun professionele en persoonlijke leven. Vandaag:,e serie 'Coronakronieken' vertellen mensen over de impact van corona op hun <extra_id_0> leven. Vandaag:,e serie 'Coronakronieken' vertellen mensen over de impact van corona op hun eigen leven. Vandaag:,['professionele en persoonlijke'],['eigen'],3,6,[0.8620689655172413],0.86
seq21-0,large,(1) Internationale economie (27514) Multinationals (18103) Investeringen (16376) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12923) EU (11642) Jaarverslag (11233),(1) Internationale <extra_id_0> (18103) Investeringen (16376) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12923) EU (11642) Jaarverslag (11233),(1) Internationale Handelsmarkt (18103) Investeringen (16376) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12923) EU (11642) Jaarverslag (11233),['economie (27514) Multinationals'],['Handelsmarkt'],3,6,[0.8709677419354839],0.87
seq22-0,large,) Internationale economie (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU (11762) Jaarverslag (11238),) Internationale economie (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU <extra_id_0>,) Internationale economie (27514) Multinationals (18114) Investeringen (16494) Aandelen (14562) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12969) EU -Binnenmarkt.,['(11762) Jaarverslag (11238)'],['-Binnenmarkt.'],3,6,[0.9259259259259259],0.93
seq23-0,large,20 Annemiek Leclaire Welk gesprek zette je aan het denken of in beweging? Welke conversatie had grote invloed? In de serie Het gesprek van je leven vraagt journalist Annemiek Leclaire mensen naar dat gesprek. In deze,20 Annemiek Leclaire Welk gesprek zette je aan het denken of in beweging? Welke conversatie had grote invloed? In de serie Het gesprek van <extra_id_0> Annemiek Leclaire mensen naar dat gesprek. In deze,20 Annemiek Leclaire Welk gesprek zette je aan het denken of in beweging? Welke conversatie had grote invloed? In de serie Het gesprek van de gesprek van de gesprek Annemiek Leclaire mensen naar dat gesprek. In deze,['je leven vraagt journalist'],['de gesprek van de gesprek'],5,6,[0.7692307692307693],0.77
seq24-0,large,gen (1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),gen <extra_id_0> (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),gen oeg (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['(1) Internationale economie'],['oeg'],3,6,[0.9259259259259259],0.93
seq25-0,large, Iedere week bespreekt FD Persoonlijk een woning die op zoek is naar een nieuwe eigenaar. Deze week een,Iedere week bespreekt FD Persoonlijk een woning die op zoek is naar <extra_id_0> Deze week een,Iedere week bespreekt FD Persoonlijk een woning die op zoek is naar FD. Deze week een,['een nieuwe eigenaar.'],['FD.'],3,6,[0.95],0.95
seq26-0,large,) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14715) Verenigde Staten (13862) Omzetcijfers (13596) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie <extra_id_0> Investeringen (16629) Aandelen (14715) Verenigde Staten (13862) Omzetcijfers (13596) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie (16629) Investeringen (16629) Aandelen (14715) Verenigde Staten (13862) Omzetcijfers (13596) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),['(27514) Multinationals (18134)'],['(16629)'],3,6,[0.9],0.9
seq27-0,large,) Internationale economie (27514) Multinationals (18134) Investeringen (16634) Aandelen (14723) Verenigde Staten (13862) Omzetcijfers (13,) Internationale economie (27514) <extra_id_0> Investeringen (16634) Aandelen (14723) Verenigde Staten (13862) Omzetcijfers (13,) Internationale economie (27514) Internationale Investeringen (16634) Aandelen (14723) Verenigde Staten (13862) Omzetcijfers (13,['Multinationals (18134)'],['Internationale'],2,6,[0.6363636363636364],0.64
seq28-0,large,u graag via ons gratis telefoonnummer 0800 666 6667 (ma t/m vrij 07.30  18.00 / za 07.30 - 11.30).,u <extra_id_0> gratis telefoonnummer 0800 666 6667 (ma t/m vrij 07.30 18.00 / za 07.30 - 11.30).,u it de gratis telefoonnummer 0800 666 6667 (ma t/m vrij 07.30 18.00 / za 07.30 - 11.30).,['graag via ons'],['it de'],3,6,[0.8461538461538461],0.85
